metros,habitaciones,banios,antiguedad,zona,tipo_vivienda,fecha_publicacion,precio
145.5,3,3,0.4,Norte,Casa,2024-05-30,2554513
90.4,6,2,10.0,Norte,Departamento,2026-06-14,1599954
102.6,3,1,4.0,Sur,Departamento,2025-11-26,1357230
81.5,1,5,7.2,Centro,Casa,2025-05-17,2709420
28.0,1,2,5.3,Centro,Departamento,2025-10-09,1417946
54.9,3,1,7.5,Centro,Estudio,2024-09-08,1705957
37.6,1,1,1.1,Sur,Departamento,2024-03-09,568369
28.0,3,3,0.9,Sur,Casa,2026-03-31,1086216
62.2,1,1,10.5,Sur,Estudio,2026-07-24,660981
163.0,2,2,5.0,Sur,Casa,2024-02-04,2457104
108.2,4,1,5.1,Norte,Estudio,2024-02-20,1514251
161.6,3,1,0.7,Sur,Casa,2025-06-26,2337716
126.4,2,2,8.3,Centro,Departamento,2024-02-11,2706339
141.3,7,1,7.4,Centro,Departamento,2025-11-30,2938904
74.0,2,1,0.2,Sur,Casa,2026-07-05,1512400
131.0,2,5,0.9,Norte,Estudio,2024-09-28,1964589
139.1,5,1,6.9,Sur,Casa,2024-10-12,2107678
86.9,1,1,0.7,Sur,Casa,2026-04-17,1612753
132.4,3,4,2.7,Sur,Casa,2024-12-11,2026133
132.6,4,2,1.2,Sur,Departamento,2024-08-21,1662011
88.0,4,3,6.1,Sur,Loft,2024-03-22,1393581
65.1,3,2,6.4,Norte,Estudio,2026-03-25,1116233
62.6,1,1,7.7,Centro,Casa,2026-06-17,2049728
113.5,3,1,12.1,Norte,Departamento,2024-03-17,1783146
123.1,3,1,4.3,Centro,Casa,2026-02-17,2989792
78.3,5,1,0.4,Norte,Departamento,2024-06-04,1622094
111.1,2,2,17.6,Oriente,Estudio,2024-05-14,1262098
132.8,2,1,7.7,Centro,Departamento,2025-01-04,2547567
134.7,4,2,4.3,Centro,Departamento,2025-02-27,2747229
172.1,4,3,7.7,Norte,Departamento,2026-04-08,2297079
161.1,2,1,2.3,Norte,Estudio,2025-11-09,2337605
69.9,1,1,3.8,Sur,Departamento,2024-05-20,1108609
177.3,2,3,10.8,Sur,Casa,2025-07-20,2793644
88.8,1,1,9.1,Sur,Departamento,2026-04-29,1194988
151.8,1,1,25.5,Sur,Casa,2025-10-04,2521674
112.7,2,3,3.1,Norte,Casa,2024-08-10,2221432
93.5,2,1,7.6,Oriente,Casa,2024-05-04,1631800
37.7,1,4,6.2,Centro,Departamento,2025-03-14,1552365
103.1,5,1,0.4,Centro,Departamento,2025-04-03,2435980
47.6,6,1,2.6,Centro,Casa,2024-12-08,2177133
148.7,3,2,26.8,Sur,Departamento,2024-04-15,1955827
170.7,3,1,4.6,Norte,Estudio,2024-04-24,2352705
78.1,1,1,1.0,Centro,Loft,2025-05-28,2285480
122.1,4,2,5.7,Norte,Departamento,2026-07-04,1862368
81.0,2,2,12.1,Centro,Casa,2025-08-02,2235243
84.9,2,1,18.2,Sur,Estudio,2025-03-01,1031966
141.0,4,1,9.4,Norte,Casa,2026-06-22,2334823
108.5,3,1,2.9,Norte,Casa,2025-10-31,2231972
179.6,2,3,10.1,Norte,Estudio,2025-11-27,2511472
90.7,3,3,9.2,Sur,Departamento,2025-07-12,1312381
150.0,5,1,23.0,Norte,Departamento,2026-01-09,2102348
113.9,3,1,9.1,Centro,Departamento,2025-05-01,2474294
141.8,3,3,6.1,Centro,Departamento,2025-08-26,2802040
92.1,1,2,1.8,Oriente,Casa,2025-08-21,1827625
108.0,2,1,6.9,Oriente,Casa,2025-12-31,1906470
105.4,2,5,2.8,Sur,Casa,2026-05-21,1862383
76.6,4,1,1.2,Norte,Casa,2024-10-12,1687468
136.5,2,1,20.8,Oriente,Estudio,2025-11-09,1626134
136.0,2,3,4.1,Sur,Casa,2024-01-31,2165671
133.7,3,2,14.6,Sur,Departamento,2025-05-31,1743986
171.5,3,1,13.5,Norte,Loft,2026-05-21,2534933
168.0,3,3,4.1,Norte,Loft,2025-09-17,2545083
95.0,3,1,3.6,Centro,Departamento,2024-09-16,2400432
124.9,1,3,10.6,Oriente,Departamento,2025-08-11,2141628
85.1,3,5,0.2,Norte,Estudio,2024-12-13,1530780
110.9,4,3,11.6,Centro,Departamento,2025-02-24,2391023
86.0,3,2,2.5,Norte,Loft,2024-08-09,1693420
174.8,2,2,1.8,Sur,Estudio,2025-08-29,2229741
124.5,2,1,2.2,Centro,Loft,2024-07-11,2733636
101.3,4,4,16.6,Oriente,Casa,2025-03-06,1711112
157.7,5,2,19.9,Sur,Departamento,2026-06-30,2111440
28.0,4,1,4.1,Sur,Casa,2026-01-04,882621
29.4,3,2,9.5,Norte,Departamento,2025-02-05,1060530
141.8,7,3,45.0,Sur,Estudio,2026-07-28,1334373
112.4,4,1,1.6,Sur,Departamento,2024-01-14,1568368
120.0,2,1,7.0,Sur,Departamento,2026-07-20,1799253
56.9,1,1,1.9,Centro,Casa,2024-12-07,2192076
109.1,3,2,24.4,Norte,Estudio,2026-03-07,1443240
190.1,4,1,0.6,Centro,Casa,2026-07-08,3487749
143.0,1,4,0.5,Norte,Casa,2025-08-06,2996573
116.8,1,2,4.4,Norte,Casa,2025-08-15,2368438
92.4,1,2,0.9,Centro,Casa,2025-12-27,2713743
94.2,6,3,3.3,Centro,Departamento,2024-08-20,2240372
28.0,5,2,14.3,Sur,Departamento,2024-06-21,737875
120.3,2,1,3.7,Centro,Casa,2024-11-29,2967234
143.8,2,1,0.3,Oriente,Casa,2025-04-09,2306269
47.0,2,3,30.3,Sur,Casa,2025-12-21,832706
83.5,1,3,1.3,Norte,Departamento,2024-09-06,1871461
63.7,1,1,6.7,Sur,Casa,2025-07-01,1288486
71.4,2,1,6.7,Centro,Departamento,2024-01-04,1851116
112.1,5,2,4.0,Oriente,Casa,2024-01-30,1764343
28.0,5,2,0.1,Norte,Casa,2026-07-26,1250903
134.6,1,3,5.2,Sur,Departamento,2026-04-04,1947409
140.2,3,1,2.7,Centro,Departamento,2026-04-17,2688522
100.0,3,2,9.9,Norte,Casa,2024-11-14,2051369
28.0,1,2,0.5,Norte,Casa,2025-05-13,1188087
70.1,3,2,11.8,Oriente,Estudio,2025-10-16,897211
159.3,3,2,9.5,Sur,Casa,2024-09-03,2248693
28.0,1,1,9.7,Norte,Departamento,2025-12-23,840141
96.1,5,1,9.7,Norte,Departamento,2025-11-03,1826940
62.8,3,5,24.2,Norte,Casa,2025-01-30,1527954
142.2,2,3,1.0,Norte,Departamento,2025-02-25,2332201
83.0,3,2,0.7,Norte,Loft,2024-10-25,1551325
126.2,3,2,0.7,Centro,Loft,2026-02-18,2928300
132.6,1,1,6.4,Oriente,Casa,2026-08-15,2324465
183.4,1,5,1.0,Oriente,Casa,2026-08-27,3335901
101.9,2,2,6.6,Centro,Casa,2026-01-18,2638008
125.0,2,1,7.2,Sur,Departamento,2024-12-04,1718800
50.6,2,4,1.0,Centro,Departamento,2026-01-27,1899386
157.6,3,1,14.4,Sur,Casa,2024-08-25,2193538
79.6,2,1,3.8,Norte,Casa,2026-05-19,1876271
87.6,6,2,10.0,Sur,Estudio,2024-09-16,992696
109.1,5,3,10.1,Sur,Casa,2025-01-25,1884078
47.5,2,3,1.6,Sur,Departamento,2024-03-31,797780
119.2,1,1,20.0,Centro,Departamento,2024-03-19,2677008
148.7,2,2,2.8,Oriente,Casa,2025-01-17,2337441
121.7,3,1,28.9,Centro,Casa,2025-06-17,2674938
46.4,1,2,0.8,Centro,Casa,2024-01-17,1977304
105.0,6,1,0.1,Sur,Estudio,2026-03-31,1305368
139.7,6,1,1.7,Norte,Casa,2024-04-20,2489998
34.9,3,1,5.4,Oriente,Casa,2026-08-26,949465
67.0,1,3,6.7,Oriente,Casa,2024-09-20,1504222
145.1,5,2,9.3,Norte,Casa,2025-01-02,2511144
120.8,4,1,7.9,Oriente,Departamento,2024-06-04,1590776
126.5,4,1,3.4,Norte,Casa,2026-03-10,2278193
184.4,4,3,11.0,Norte,Departamento,2025-12-11,2533713
128.7,5,1,0.6,Norte,Departamento,2024-03-17,2273313
136.3,1,3,0.3,Oriente,Loft,2024-04-12,2471866
218.4,1,3,1.2,Centro,Casa,2025-08-13,4540744
101.4,3,2,1.2,Centro,Estudio,2026-04-20,2244231
78.1,1,1,4.4,Norte,Departamento,2024-04-16,1381771
127.1,4,2,8.2,Oriente,Casa,2024-08-02,1802755
127.6,3,1,34.1,Oriente,Loft,2025-06-12,1664537
88.9,5,1,2.3,Sur,Estudio,2024-04-15,934982
68.7,1,1,8.1,Oriente,Casa,2024-10-22,1441672
202.4,4,2,1.4,Oriente,Estudio,2024-01-10,2406477
123.1,6,4,0.5,Norte,Departamento,2025-04-29,2196739
80.7,1,3,0.3,Norte,Departamento,2025-11-24,1584715
146.6,2,3,11.6,Sur,Estudio,2025-02-03,1767105
105.6,2,2,35.4,Sur,Departamento,2024-09-05,1277907
99.9,4,4,24.3,Norte,Loft,2025-02-15,1838978
132.5,7,1,5.1,Centro,Casa,2025-05-09,2970472
58.3,4,1,0.4,Sur,Loft,2024-06-09,1221353
124.1,3,1,1.6,Norte,Departamento,2024-04-18,1964687
186.5,2,2,14.3,Oriente,Casa,2024-06-25,2924947
128.6,3,3,2.2,Centro,Departamento,2026-08-13,2605933
95.0,4,2,7.9,Centro,Casa,2025-12-02,2619969
89.7,1,1,3.2,Oriente,Casa,2024-05-01,1784331
93.6,2,2,6.4,Centro,Casa,2024-10-19,2521104
99.8,5,1,14.7,Centro,Casa,2025-02-03,2611392
94.9,1,2,5.2,Sur,Casa,2024-06-24,1771379
146.7,3,2,44.0,Oriente,Casa,2026-04-06,1779153
40.7,7,2,4.1,Centro,Departamento,2026-07-01,1510658
144.5,1,3,4.0,Norte,Departamento,2024-08-25,2682880
94.8,2,1,6.0,Sur,Departamento,2024-01-17,1425995
125.1,1,1,0.5,Oriente,Casa,2024-09-15,2482447
64.9,2,2,14.7,Norte,Estudio,2025-07-19,1035095
163.1,5,1,4.3,Centro,Departamento,2026-02-23,2869634
159.8,2,1,10.7,Centro,Casa,2024-11-25,3242210
148.4,5,3,6.9,Centro,Casa,2024-09-22,3180211
49.4,1,1,7.9,Centro,Departamento,2024-08-29,1649581
143.2,2,3,8.9,Sur,Casa,2024-01-03,2382845
126.2,6,2,2.6,Centro,Departamento,2024-01-14,2880953
45.8,7,4,14.4,Norte,Estudio,2025-02-19,1073157
109.0,4,1,0.0,Sur,Casa,2025-08-22,1791618
124.6,2,2,0.7,Sur,Casa,2024-01-13,1905168
132.2,5,3,12.0,Centro,Estudio,2024-07-13,2600519
117.1,2,1,24.6,Oriente,Departamento,2026-06-01,1540839
121.6,7,1,2.6,Sur,Casa,2026-08-18,1965269
168.9,7,1,1.4,Sur,Estudio,2025-09-14,2018172
159.0,2,2,6.0,Centro,Estudio,2025-05-21,2757457
28.0,3,5,1.3,Centro,Departamento,2025-07-19,1634103
97.3,3,1,0.2,Oriente,Departamento,2024-12-25,1296426
103.4,4,1,6.1,Norte,Casa,2024-07-14,2125513
39.9,5,2,1.0,Norte,Casa,2024-12-30,1423117
113.8,3,1,8.4,Norte,Departamento,2025-11-09,1925046
160.0,3,3,4.1,Sur,Casa,2025-10-04,2371242
66.5,4,1,23.8,Oriente,Departamento,2025-10-18,943886
123.5,5,3,7.4,Norte,Loft,2025-08-13,2045770
73.4,4,3,11.1,Oriente,Casa,2024-02-28,1546417
83.1,5,4,5.7,Centro,Departamento,2025-08-30,2138929
169.1,3,1,9.4,Sur,Casa,2026-05-04,2351610
88.3,2,3,14.9,Sur,Estudio,2025-09-21,1014019
128.5,2,3,6.1,Centro,Casa,2025-07-16,3011016
35.2,4,1,6.1,Centro,Departamento,2024-08-05,1420191
184.5,3,3,1.6,Norte,Departamento,2026-02-07,2689073
134.1,2,4,0.2,Oriente,Departamento,2025-03-14,2060037
102.7,3,1,2.9,Sur,Departamento,2024-09-12,1360448
133.0,2,1,6.6,Oriente,Departamento,2025-04-20,1818450
53.6,2,2,13.1,Oriente,Departamento,2024-04-28,898119
157.3,3,1,6.1,Norte,Loft,2026-06-17,2455144
97.0,2,1,25.1,Sur,Estudio,2025-11-12,893251
101.8,1,1,8.8,Centro,Departamento,2024-11-12,2469547
90.3,3,1,15.9,Centro,Departamento,2026-02-09,2197447
86.8,7,2,45.0,Oriente,Casa,2024-02-22,1365358
137.8,1,1,21.2,Sur,Loft,2025-01-09,2080824
120.2,5,1,26.9,Centro,Departamento,2025-09-23,2257823
136.1,2,3,4.8,Norte,Departamento,2024-01-23,2287821
109.6,4,2,1.6,Sur,Casa,2025-11-18,1809986
130.5,1,3,3.9,Oriente,Estudio,2026-03-04,1815881
93.2,2,1,0.8,Sur,Departamento,2025-07-30,1332645
199.2,5,2,1.1,Norte,Departamento,2024-07-18,2712996
47.3,2,2,0.2,Norte,Casa,2025-12-27,1343388
160.4,7,2,0.0,Norte,Estudio,2024-11-24,2114447
164.7,1,2,20.8,Sur,Casa,2025-12-14,2574256
75.9,1,1,31.4,Oriente,Casa,2025-09-01,1542447
199.2,2,4,10.1,Norte,Estudio,2024-03-31,2655184
149.8,1,3,7.8,Centro,Estudio,2024-04-06,3035791
148.8,2,1,6.1,Centro,Casa,2024-01-15,3101621
111.1,1,2,32.8,Sur,Departamento,2024-03-10,1619356
101.3,3,1,3.5,Oriente,Departamento,2024-10-17,1359332
101.6,3,3,13.7,Centro,Estudio,2024-01-25,2087597
125.6,6,2,2.5,Centro,Departamento,2026-06-29,2667571
166.0,2,2,2.5,Sur,Departamento,2026-06-08,2430292
117.3,5,2,11.1,Centro,Departamento,2024-06-16,2550812
73.5,1,3,13.0,Oriente,Departamento,2024-10-29,1203174
143.0,3,5,1.1,Norte,Loft,2025-12-20,2524530
146.8,2,1,9.6,Centro,Departamento,2025-10-02,3037647
136.2,1,3,9.1,Oriente,Casa,2025-07-18,2307835
139.8,4,2,2.0,Centro,Estudio,2026-08-17,2473794
99.2,6,3,23.0,Norte,Estudio,2025-09-02,1439595
72.8,2,1,6.1,Centro,Loft,2025-10-11,2087047
75.3,2,3,3.8,Centro,Casa,2025-05-02,2349758
44.6,2,1,3.7,Centro,Casa,2025-05-24,1832788
119.5,2,5,3.8,Centro,Departamento,2024-10-09,2800726
106.7,1,2,0.5,Centro,Casa,2025-05-20,2790402
92.4,2,3,12.6,Centro,Estudio,2026-06-09,1988640
28.0,1,2,26.6,Sur,Departamento,2024-12-31,523454
60.1,1,2,19.4,Sur,Departamento,2024-05-09,917432
154.8,3,1,4.1,Norte,Estudio,2025-08-04,1989068
83.4,1,1,11.4,Norte,Departamento,2026-01-31,1470376
124.4,2,1,3.7,Norte,Casa,2026-07-19,2284460
54.4,5,1,1.4,Oriente,Departamento,2025-06-09,932798
167.5,4,1,4.1,Oriente,Departamento,2026-02-03,2200222
104.2,4,2,4.2,Centro,Departamento,2024-08-30,2240132
121.6,3,3,1.8,Centro,Departamento,2025-02-15,2682458
203.0,3,1,4.5,Centro,Estudio,2025-02-10,3230327
170.7,2,4,5.4,Centro,Departamento,2024-11-18,3254264
97.7,1,1,2.7,Sur,Casa,2025-11-25,1962152
86.3,2,2,0.5,Norte,Departamento,2026-05-07,1562129
97.0,2,1,2.3,Centro,Departamento,2024-11-12,2220397
130.4,5,1,18.5,Norte,Casa,2024-05-11,2200168
105.8,4,3,7.3,Norte,Casa,2026-03-11,2082190
94.2,1,1,3.4,Centro,Departamento,2026-04-04,2393058
168.7,1,2,2.7,Oriente,Casa,2026-06-25,2850334
105.4,3,2,9.2,Centro,Estudio,2024-09-04,1933487
202.0,2,1,1.8,Oriente,Casa,2025-11-28,2938812
113.6,5,4,2.2,Centro,Casa,2025-11-25,2903587
181.4,3,1,15.9,Oriente,Loft,2026-02-05,2436275
124.3,1,2,5.1,Oriente,Estudio,2026-02-21,1886008
148.5,4,2,1.5,Oriente,Casa,2026-07-12,2507246
81.0,3,5,0.2,Oriente,Casa,2025-04-07,1743037
75.8,2,3,30.3,Sur,Casa,2024-03-14,1416409
128.4,2,1,0.0,Sur,Departamento,2024-07-05,1820804
149.5,7,1,6.5,Sur,Departamento,2026-05-10,2119990
111.6,2,1,9.1,Centro,Casa,2026-03-30,2894721
58.5,1,2,7.0,Norte,Casa,2024-01-11,1698861
55.6,3,3,4.2,Norte,Departamento,2024-12-22,1317526
52.9,4,1,16.6,Oriente,Estudio,2024-08-25,616568
39.3,3,1,18.4,Norte,Departamento,2024-11-07,911633
114.4,4,2,4.4,Norte,Departamento,2025-09-11,1850545
155.0,3,1,6.1,Sur,Casa,2025-05-09,2320369
109.5,5,2,6.2,Norte,Casa,2025-04-11,2071347
28.0,3,1,9.6,Centro,Casa,2025-02-26,1728045
102.4,3,2,1.9,Norte,Loft,2025-09-14,1685789
103.5,2,2,0.6,Norte,Estudio,2025-10-24,1751444
193.8,4,1,4.7,Centro,Estudio,2024-02-12,3071235
51.7,1,1,0.9,Norte,Estudio,2024-05-13,1046230
94.4,4,3,5.4,Norte,Estudio,2024-11-26,1607630
178.2,2,2,13.6,Norte,Estudio,2025-02-26,2420708
128.0,7,2,5.2,Norte,Casa,2026-08-24,2539613
132.5,3,2,6.5,Sur,Casa,2026-05-14,1918785
114.6,3,1,7.7,Norte,Casa,2025-09-21,2356221
123.2,2,1,11.5,Oriente,Departamento,2024-02-04,1794605
141.1,3,2,7.2,Oriente,Casa,2024-04-07,2228394
77.6,2,3,4.7,Norte,Loft,2025-03-19,1788273
145.1,2,2,4.5,Norte,Departamento,2025-07-23,2166420
55.1,7,2,1.7,Norte,Departamento,2025-10-02,1339572
123.1,1,5,4.6,Oriente,Casa,2024-05-17,2505704
117.1,4,1,12.0,Sur,Casa,2026-05-11,1625164
85.3,7,3,4.2,Oriente,Casa,2025-04-23,1798063
109.1,1,2,3.7,Norte,Estudio,2025-07-29,1868907
85.1,1,1,6.7,Sur,Departamento,2024-02-08,1509926
67.1,6,2,1.5,Norte,Departamento,2026-03-10,1304419
95.9,3,3,0.7,Sur,Casa,2025-06-10,1847445
65.8,4,2,10.5,Centro,Departamento,2024-08-04,1862530
122.9,2,2,2.8,Sur,Departamento,2024-11-05,1651844
64.0,1,1,2.5,Oriente,Loft,2024-12-08,1168660
138.5,3,1,16.7,Centro,Loft,2024-01-27,2684304
62.7,2,3,19.6,Sur,Casa,2026-07-02,1237065
87.3,4,1,5.7,Centro,Estudio,2026-02-17,1824483
85.0,1,2,8.0,Sur,Casa,2026-05-09,1713327
163.0,3,1,27.4,Centro,Estudio,2024-12-09,2559518
123.2,3,2,4.1,Oriente,Casa,2025-06-25,1912952
101.5,3,3,16.0,Centro,Casa,2025-03-20,2537658
129.9,4,4,10.7,Oriente,Loft,2025-04-06,2001852
28.0,2,1,24.3,Oriente,Casa,2025-07-25,748901
108.3,2,1,2.1,Sur,Departamento,2025-03-13,1498370
189.9,2,1,13.2,Sur,Departamento,2026-01-20,2460150
115.3,5,1,1.4,Sur,Casa,2024-02-27,1975522
112.7,1,2,13.2,Oriente,Departamento,2024-07-05,1747541
131.9,1,3,3.1,Norte,Estudio,2026-05-15,2072249
145.8,5,3,0.5,Sur,Estudio,2026-05-05,1750291
30.1,2,1,14.2,Centro,Casa,2026-03-04,1760602
42.7,4,3,0.4,Sur,Departamento,2024-12-23,691926
118.4,1,1,15.0,Centro,Casa,2025-03-18,2880492
81.4,3,1,1.7,Sur,Casa,2024-01-25,1397307
162.5,1,1,6.7,Sur,Casa,2024-09-28,2686707
97.4,5,3,0.3,Norte,Estudio,2025-12-05,1487088
32.6,7,1,0.6,Norte,Estudio,2024-11-28,957309
59.3,1,1,2.4,Sur,Loft,2025-04-10,987112
28.0,1,1,3.6,Sur,Departamento,2024-04-29,393527
100.6,1,4,1.6,Norte,Departamento,2025-04-26,1961281
102.5,3,1,1.0,Sur,Departamento,2025-12-01,1389813
93.0,2,4,1.2,Oriente,Departamento,2025-07-08,1350709
153.2,2,2,5.4,Centro,Departamento,2025-06-23,2910339
157.9,4,1,0.5,Centro,Casa,2026-06-06,3211866
103.2,3,1,19.4,Centro,Casa,2024-08-15,2487377
28.0,1,1,19.9,Sur,Estudio,2024-10-17,350000
134.7,2,1,0.5,Norte,Departamento,2025-08-27,2086830
132.2,2,1,9.9,Sur,Estudio,2025-04-10,1649224
122.4,5,1,9.2,Sur,Casa,2026-08-07,1943915
149.3,2,1,6.5,Norte,Departamento,2024-02-27,2207744
63.4,5,4,2.3,Oriente,Casa,2024-04-28,1493605
190.4,1,1,6.5,Sur,Casa,2024-11-27,3110131
71.6,2,1,15.4,Norte,Casa,2025-03-20,1717339
140.0,1,1,2.8,Norte,Casa,2026-05-13,2689764
42.5,2,1,12.6,Norte,Estudio,2025-04-24,826747
72.8,2,1,5.0,Centro,Casa,2025-02-28,2287796
170.7,3,2,17.8,Centro,Departamento,2024-06-10,3162839
99.6,7,1,7.7,Oriente,Departamento,2025-02-25,1633425
143.6,1,1,14.0,Norte,Departamento,2025-05-30,2443113
119.5,1,3,24.3,Norte,Departamento,2025-07-20,2055133
105.8,1,2,4.5,Sur,Casa,2025-08-10,2005078
164.6,3,1,9.0,Sur,Estudio,2025-02-20,1812877
100.5,1,2,28.4,Oriente,Loft,2024-06-01,1817029
38.8,4,1,44.6,Sur,Departamento,2024-05-28,448535
77.9,4,1,6.6,Norte,Departamento,2024-05-30,1403779
132.0,5,2,23.0,Norte,Casa,2025-08-23,2226317
125.8,1,1,3.7,Oriente,Estudio,2026-04-10,1656912
47.3,1,2,4.1,Sur,Casa,2026-05-06,1193423
81.0,5,4,22.2,Oriente,Casa,2024-10-29,1464639
86.7,2,2,8.0,Centro,Casa,2024-03-18,2564054
95.4,1,2,14.3,Oriente,Loft,2025-09-03,1554821
55.0,6,2,3.7,Sur,Departamento,2024-02-07,995538
84.9,3,3,13.2,Centro,Loft,2025-08-30,2379351
80.9,1,5,15.4,Sur,Loft,2025-01-06,1273037
140.9,2,1,4.0,Sur,Casa,2026-03-24,2362445
142.4,4,4,5.8,Centro,Estudio,2025-08-29,2576938
104.2,2,1,3.3,Norte,Departamento,2025-12-18,1781934
94.3,5,2,17.6,Oriente,Departamento,2025-01-28,1408240
115.6,1,2,9.7,Norte,Casa,2026-03-26,2459332
77.3,1,5,1.5,Norte,Estudio,2025-05-24,1503469
64.1,3,1,25.1,Norte,Casa,2025-08-29,1544522
72.4,4,3,8.6,Norte,Casa,2024-12-15,1778952
84.6,3,1,4.0,Oriente,Departamento,2025-03-11,1433804
63.5,3,3,8.0,Sur,Casa,2026-03-25,1333821
116.5,1,1,2.0,Centro,Casa,2025-01-16,3209640
139.2,3,1,3.1,Oriente,Departamento,2024-01-21,1969492
46.5,1,2,15.7,Oriente,Departamento,2025-01-02,662404
111.0,7,1,3.0,Norte,Estudio,2025-01-15,1937955
101.2,4,2,31.6,Oriente,Casa,2025-02-09,1558057
123.7,3,1,2.2,Centro,Departamento,2024-03-09,2708217
109.5,3,2,18.1,Oriente,Departamento,2024-05-05,1486295
51.9,2,1,18.4,Sur,Departamento,2024-11-10,818814
59.5,6,3,10.3,Sur,Departamento,2025-02-15,952395
111.2,2,3,2.1,Centro,Departamento,2024-01-29,2579076
151.2,2,3,3.8,Oriente,Estudio,2025-01-12,1890527
28.0,2,2,6.0,Centro,Casa,2024-11-06,1924205
123.8,1,1,12.3,Centro,Casa,2024-02-03,3099923
157.6,5,3,32.5,Centro,Departamento,2024-08-30,2899529
103.9,1,3,9.3,Sur,Loft,2024-09-23,1573563
132.0,7,5,9.8,Centro,Casa,2024-05-19,3095971
81.9,3,3,12.6,Oriente,Departamento,2025-12-30,1279382
105.2,2,1,5.0,Sur,Estudio,2024-03-11,1240623
45.2,1,5,2.1,Centro,Departamento,2025-07-14,1935460
28.0,5,2,19.3,Centro,Estudio,2025-10-07,1232709
147.7,3,3,34.1,Centro,Departamento,2026-02-20,2692225
70.6,1,2,14.1,Sur,Departamento,2025-06-13,1213967
91.8,4,2,2.7,Oriente,Casa,2025-06-10,1482005
54.5,3,1,8.5,Centro,Estudio,2026-01-07,1586138
53.6,4,1,9.7,Oriente,Departamento,2026-04-08,876791
103.0,4,1,4.6,Centro,Departamento,2024-07-23,2240980
80.8,6,4,9.3,Oriente,Departamento,2026-02-11,1389922
125.1,7,2,29.8,Oriente,Departamento,2025-03-24,1778948
128.1,3,2,5.8,Sur,Departamento,2024-04-05,1790739
122.8,4,2,6.4,Sur,Departamento,2025-08-17,1617944
119.5,5,1,9.8,Oriente,Estudio,2026-08-05,1505975
173.1,6,2,6.0,Centro,Departamento,2024-05-16,3221016
67.3,7,2,15.7,Centro,Departamento,2024-01-15,1994570
107.8,4,2,4.6,Centro,Casa,2026-06-08,2643887
155.3,3,2,8.7,Norte,Departamento,2025-08-01,2247463
160.6,3,2,13.3,Sur,Departamento,2024-07-31,2086866
