edad,ingreso,visitas,compras,gasto_total,ciudad,fecha_registro,gasto_siguiente_mes
48,108509,4,1,1776,CDMX,2022-03-30,2261
45,30763,8,3,2243,Puebla,2022-01-19,1535
37,76762,7,4,4131,Monterrey,2025-11-10,3404
27,25762,5,2,1260,CDMX,2025-09-10,1906
46,69133,5,1,1493,Guadalajara,2021-03-05,1949
31,46449,5,2,1913,Guadalajara,2022-08-22,1856
24,12996,6,2,1084,Guadalajara,2024-09-30,1337
28,48870,8,4,3812,Monterrey,2024-02-17,2528
55,28328,10,3,2701,CDMX,2025-08-21,2115
41,39011,7,2,1238,Puebla,2022-08-18,1395
52,108096,8,2,3061,Guadalajara,2025-01-17,2713
32,27604,14,3,1636,Guadalajara,2026-02-20,1879
49,28425,4,1,777,Guadalajara,2022-09-29,1552
31,102790,7,2,2217,CDMX,2022-01-01,2759
36,52031,8,3,2867,CDMX,2024-02-13,2439
68,108268,3,1,1833,Guadalajara,2023-01-21,1840
47,57890,6,3,2480,Monterrey,2026-02-21,1403
32,31147,3,1,1196,Monterrey,2022-12-04,1559
37,47378,2,1,1193,Monterrey,2021-02-22,1829
42,92232,12,4,4482,CDMX,2022-02-10,3149
53,79519,8,2,3065,Puebla,2021-10-12,2651
32,49043,5,2,1857,Monterrey,2021-05-21,1788
18,50265,7,1,709,Puebla,2021-09-17,1069
35,46265,4,1,1035,Guadalajara,2023-01-13,1874
38,36412,7,3,1758,Puebla,2023-08-27,1873
39,132315,6,1,1989,CDMX,2022-01-19,2420
54,49202,5,2,1826,CDMX,2023-12-22,2136
42,27407,4,2,1151,CDMX,2021-02-14,2223
48,38361,5,2,1285,CDMX,2024-09-30,1846
25,71212,11,6,4339,CDMX,2025-08-10,2678
48,68171,5,1,1298,CDMX,2025-11-11,1296
63,45684,5,1,657,Guadalajara,2022-10-14,1834
47,34765,7,2,1984,CDMX,2025-04-10,2269
41,49627,4,2,1807,Guadalajara,2021-01-22,1910
40,20737,3,1,856,CDMX,2023-02-22,1553
59,25104,6,2,1654,Monterrey,2024-03-16,1363
27,73917,5,3,2157,CDMX,2023-08-15,2051
37,38316,7,1,1024,CDMX,2023-06-28,1837
44,59441,6,3,3085,Puebla,2021-04-14,2467
47,91702,11,5,5102,Guadalajara,2024-08-03,2432
33,68457,2,1,1415,Monterrey,2025-08-24,2311
42,49543,6,2,1698,Monterrey,2022-11-16,1871
35,146384,4,2,2478,Guadalajara,2023-03-26,2528
39,69096,7,2,2450,CDMX,2021-09-24,2118
36,40854,9,3,2632,Guadalajara,2023-12-18,2152
24,71421,10,4,3020,CDMX,2024-04-30,2762
38,60456,11,2,1148,Monterrey,2025-10-28,1612
49,31571,5,2,1312,Puebla,2023-01-27,914
26,50894,6,1,822,Puebla,2025-01-28,1163
35,45035,4,2,2186,CDMX,2025-07-24,2291
46,17840,4,2,1544,CDMX,2024-07-04,1374
25,44863,5,2,1488,CDMX,2022-09-13,1451
40,42382,7,4,2830,CDMX,2023-05-01,2352
25,39131,8,3,3705,Guadalajara,2022-02-27,2211
52,21046,7,2,1936,Monterrey,2025-09-29,2060
66,40851,6,2,1237,CDMX,2021-12-20,1456
62,48031,5,2,1734,Puebla,2024-03-31,966
35,51658,5,1,951,Monterrey,2022-05-02,1446
47,27346,7,3,1315,CDMX,2021-03-24,2291
39,67854,4,1,1359,Monterrey,2022-03-30,1679
39,26243,5,2,2411,Puebla,2023-04-13,1868
57,43695,4,1,1361,CDMX,2023-09-19,2125
22,95878,5,1,1616,Guadalajara,2021-12-12,1771
51,34342,6,3,2095,Guadalajara,2022-12-09,2170
37,37703,6,3,2433,Guadalajara,2022-12-25,2013
55,85108,8,1,1683,CDMX,2026-01-16,2388
40,40241,8,4,1972,Monterrey,2024-05-17,1235
30,42082,9,5,2022,Guadalajara,2022-01-23,1211
41,54923,10,4,4477,Monterrey,2021-07-02,1950
47,84054,3,1,1540,Monterrey,2025-11-22,1879
38,15799,5,1,1092,CDMX,2021-09-15,1840
44,32030,7,3,2396,Monterrey,2022-09-30,2267
32,29218,5,2,2115,Puebla,2021-09-16,2272
18,28079,4,2,1365,Puebla,2023-07-08,1296
49,31606,6,3,2530,CDMX,2023-12-15,2107
46,31864,6,2,2168,CDMX,2025-12-28,2250
40,57217,10,5,4727,Monterrey,2023-03-05,3277
39,31068,6,3,2016,CDMX,2025-01-23,1686
50,52198,4,1,1331,Guadalajara,2023-06-22,2005
33,60217,6,1,1134,Puebla,2025-12-04,1365
30,33724,3,0,337,CDMX,2022-04-19,1320
36,52414,8,4,3496,CDMX,2023-10-21,2788
52,113409,3,1,2033,Guadalajara,2021-06-25,2086
21,57816,6,2,2180,Monterrey,2022-08-27,1753
52,35366,4,2,1206,CDMX,2023-12-17,1933
30,47417,3,1,1279,CDMX,2024-07-06,1951
25,30670,11,3,2619,CDMX,2021-04-20,2296
53,56307,3,1,1131,Monterrey,2024-07-25,1669
37,76208,2,0,762,Monterrey,2026-02-25,1584
22,32242,2,1,1153,CDMX,2021-03-20,1847
34,44048,4,1,1248,CDMX,2021-10-02,2290
49,86565,4,2,2343,Guadalajara,2021-07-23,2255
52,38016,4,1,722,CDMX,2025-08-29,2045
33,53963,6,2,1308,CDMX,2025-12-03,2146
43,29055,7,2,1952,CDMX,2022-08-15,2408
47,32261,5,3,2702,Guadalajara,2024-10-01,1919
30,37732,7,3,2592,CDMX,2024-11-21,2244
42,145533,5,1,2061,Monterrey,2025-04-13,2150
38,39954,8,1,1120,Guadalajara,2022-11-26,2641
32,37610,5,1,929,CDMX,2021-12-24,1770
32,36990,4,2,1558,CDMX,2022-07-02,2112
39,45125,7,3,1936,Monterrey,2026-01-26,2188
38,68048,5,2,2073,CDMX,2025-06-25,1667
31,53892,8,3,2265,CDMX,2022-07-26,1922
33,137161,5,2,3012,CDMX,2021-08-27,2570
51,54551,5,2,2103,CDMX,2021-09-24,1920
41,101083,9,2,2020,Puebla,2025-10-19,1308
49,56295,4,2,2520,CDMX,2022-11-14,2212
52,66356,8,4,2460,CDMX,2025-11-24,2499
45,23818,4,2,1699,Monterrey,2022-10-30,2039
65,46003,2,0,460,Guadalajara,2024-11-21,1189
28,47360,5,1,1353,CDMX,2021-04-21,2152
48,43413,6,3,1198,Guadalajara,2022-05-01,966
34,16707,10,5,4314,Puebla,2025-05-28,2473
60,76139,4,2,2499,CDMX,2022-11-04,2520
58,40394,4,2,2220,Monterrey,2025-07-12,1627
18,39378,3,1,645,CDMX,2021-06-05,1727
26,43149,2,1,960,Monterrey,2022-01-11,1609
46,43737,3,1,1070,Monterrey,2024-05-21,1504
47,60087,6,2,1741,Monterrey,2023-11-13,1540
47,25964,4,2,2041,Monterrey,2024-08-23,1687
37,30776,4,1,836,CDMX,2025-07-13,1337
43,56688,7,2,2308,CDMX,2021-08-31,2508
46,52722,4,2,2029,Guadalajara,2022-12-20,2026
37,40606,10,3,1572,Monterrey,2021-12-10,1889
50,36792,3,1,840,CDMX,2023-08-26,1645
18,32299,7,3,2020,CDMX,2022-06-04,1930
46,47611,6,3,2478,Guadalajara,2022-04-09,2666
26,88465,3,1,1713,Monterrey,2022-07-30,1574
50,28882,10,4,2758,Puebla,2023-06-09,2231
35,104994,3,1,1863,CDMX,2025-04-03,2452
27,74756,4,1,1114,CDMX,2022-08-17,1978
42,39086,6,1,492,Monterrey,2025-05-13,1140
27,72514,3,1,1314,Guadalajara,2025-04-16,1665
27,23554,9,2,1701,Monterrey,2024-10-28,1419
19,20624,7,3,1961,Puebla,2021-10-30,1174
38,25722,5,2,1194,Puebla,2022-03-16,1320
44,39940,2,1,1125,Monterrey,2021-03-04,1271
50,41660,6,3,3410,Monterrey,2023-10-21,2672
36,37889,4,0,1010,CDMX,2025-09-08,2109
51,51519,6,2,1554,Guadalajara,2025-11-01,515
38,16855,4,1,666,CDMX,2021-11-24,1135
37,62798,6,1,1632,Monterrey,2023-07-06,2194
45,24109,5,2,1527,Monterrey,2023-11-10,1775
51,35227,6,3,2633,Monterrey,2026-02-20,2041
34,39878,5,1,1268,Guadalajara,2024-09-09,1859
35,27499,5,2,1963,CDMX,2022-05-22,2362
36,24699,7,2,1215,Guadalajara,2022-09-13,1828
39,29642,4,1,1119,CDMX,2024-08-29,2419
27,48729,7,3,2893,Monterrey,2025-11-01,2155
50,65841,5,1,1396,Guadalajara,2024-02-16,2124
33,64998,9,4,3977,CDMX,2022-10-04,2246
44,29815,6,2,1396,Guadalajara,2022-01-06,1612
28,32998,7,2,1603,Monterrey,2022-01-10,1454
42,30937,7,2,1420,CDMX,2021-11-18,2369
43,61384,6,3,2973,Monterrey,2021-05-05,3082
33,17699,5,3,1774,Puebla,2025-12-25,1542
62,91051,2,1,1631,CDMX,2025-09-06,1744
42,38469,4,1,838,CDMX,2022-12-13,1706
59,33131,3,1,959,Monterrey,2022-02-15,1678
50,58089,8,1,1166,Puebla,2023-11-29,1625
30,82151,6,3,2710,CDMX,2025-09-02,2600
33,58180,8,1,1256,Monterrey,2023-09-19,2191
43,82981,3,1,1447,Monterrey,2023-05-18,1126
39,52427,5,1,1135,Puebla,2025-06-14,1885
39,90655,4,1,1184,CDMX,2025-11-08,1738
35,91362,6,1,1763,CDMX,2026-01-14,2101
18,46642,5,1,1004,Puebla,2021-06-15,1953
35,100670,5,3,2825,CDMX,2023-01-21,2301
18,53229,2,1,1033,CDMX,2025-06-13,1330
42,51198,3,1,1342,Guadalajara,2021-11-24,1433
29,30923,8,4,2258,Guadalajara,2026-02-04,1751
29,42430,4,1,1165,Monterrey,2025-01-19,2010
35,72315,8,4,4172,CDMX,2024-09-12,3243
41,25430,7,2,2147,Puebla,2024-08-01,1677
21,67834,4,1,1542,CDMX,2021-09-11,2106
18,58355,5,2,2107,Monterrey,2023-08-15,2540
25,56319,3,1,998,CDMX,2026-03-11,1589
18,16265,5,1,1045,Guadalajara,2022-11-30,2074
26,46554,5,2,2193,CDMX,2025-03-03,2230
57,67787,7,3,3081,CDMX,2024-03-05,2531
25,33474,2,1,1130,CDMX,2022-02-04,1851
46,51285,9,4,3170,Monterrey,2022-07-22,2402
22,14928,4,2,1265,Guadalajara,2026-01-18,1251
42,68576,4,2,2376,CDMX,2021-10-19,2145
34,35199,6,2,2111,Puebla,2021-06-13,1785
37,75787,8,2,1686,Puebla,2021-08-31,1477
45,19509,9,4,3456,Puebla,2021-09-04,2236
59,69295,3,1,1388,CDMX,2023-10-08,2102
40,43544,9,2,2057,CDMX,2021-01-29,2198
39,73409,8,3,2836,CDMX,2026-03-03,2240
26,30858,11,2,2011,CDMX,2024-01-31,2091
45,35982,7,1,1196,CDMX,2024-09-03,2497
35,150426,9,3,3937,Guadalajara,2023-02-07,2650
48,32371,10,5,2346,CDMX,2023-03-16,1901
37,34440,7,1,1144,CDMX,2021-06-12,1925
59,42690,7,2,1749,Puebla,2022-10-10,1849
18,29399,9,2,1195,Guadalajara,2023-07-26,1481
34,88897,7,3,3226,CDMX,2021-06-11,2573
49,116135,3,1,1569,Monterrey,2025-08-01,1907
34,34474,3,1,1158,CDMX,2023-08-04,1958
28,20681,3,0,207,Guadalajara,2021-06-25,1242
35,88079,7,3,2569,CDMX,2022-08-02,2462
21,85323,6,2,2488,Guadalajara,2024-04-28,1595
39,73927,4,2,2207,Guadalajara,2024-07-30,1610
67,87400,6,3,3183,Guadalajara,2021-11-17,1495
52,31769,5,3,1552,CDMX,2022-11-02,2094
25,45060,7,2,1975,Monterrey,2023-08-29,2326
28,24537,5,3,2278,Puebla,2025-04-09,2025
33,24123,6,1,1027,CDMX,2022-10-14,1916
50,80062,8,3,2766,CDMX,2024-07-03,2706
28,35033,3,1,1200,CDMX,2022-06-09,1960
30,153244,6,2,2938,Puebla,2023-12-05,2145
49,50873,1,1,1284,Puebla,2021-01-24,1153
48,35589,3,2,2153,CDMX,2023-12-01,1895
34,73053,4,1,1417,Puebla,2024-01-04,1490
25,120648,5,1,2038,CDMX,2025-04-01,2775
19,62509,7,2,2015,Guadalajara,2023-04-23,2467
30,26674,3,2,1762,Guadalajara,2021-10-18,1638
18,59012,6,2,1712,Puebla,2024-08-06,1678
47,97519,11,3,3354,CDMX,2024-12-05,2690
30,38307,7,3,3004,CDMX,2021-12-17,2229
44,33296,6,2,1614,Guadalajara,2025-07-10,1086
60,81489,7,2,2408,CDMX,2026-02-12,2028
52,52574,5,3,2720,CDMX,2023-03-05,1852
24,28247,9,4,2117,Guadalajara,2021-02-07,1762
48,40543,12,2,1842,Puebla,2024-10-05,1622
52,33596,3,2,2116,Monterrey,2022-01-08,1974
29,56848,5,2,1707,Monterrey,2021-07-05,1857
27,51784,9,2,1196,Monterrey,2024-05-03,1778
37,87136,6,3,2947,Monterrey,2024-09-02,1926
19,69901,10,3,2323,Monterrey,2021-09-12,2402
56,22432,5,2,2210,Monterrey,2021-07-24,1562
18,60084,1,0,601,Monterrey,2022-05-11,1457
25,76762,4,1,1423,CDMX,2022-06-17,2283
35,61571,6,3,2249,CDMX,2023-08-12,1875
35,82046,5,2,2221,Monterrey,2021-01-28,1666
40,37243,8,1,928,CDMX,2024-12-08,1979
41,30473,6,2,1297,Puebla,2024-09-26,1120
35,78045,3,0,780,Guadalajara,2025-07-01,1645
52,28775,4,2,1313,CDMX,2025-04-25,1961
18,16651,8,3,2836,Puebla,2022-08-25,1938
38,81851,10,3,2167,CDMX,2024-01-30,2139
29,34129,10,5,3557,Guadalajara,2024-06-03,2549
40,42065,8,4,2558,CDMX,2024-06-18,2273
41,24368,2,1,656,Puebla,2021-02-13,928
27,25267,8,2,2153,Guadalajara,2024-11-29,1967
30,27494,5,1,559,Monterrey,2025-08-20,1485
48,40932,9,4,4063,CDMX,2022-09-08,2843
42,58983,5,3,1810,Monterrey,2024-06-30,1809
30,15539,5,1,828,Monterrey,2021-12-26,1533
62,71402,8,2,2827,Guadalajara,2025-09-11,2202
66,27146,7,2,832,Puebla,2021-11-06,933
20,28763,11,3,1529,Guadalajara,2022-02-04,1224
42,68798,5,3,3352,Guadalajara,2022-08-16,2712
68,47225,8,3,2533,Monterrey,2023-08-02,1890
47,22738,5,2,1347,Monterrey,2023-08-07,1703
41,123290,8,3,3185,CDMX,2024-11-14,2031
36,31879,5,1,805,Monterrey,2024-11-07,1548
32,55473,8,1,1233,CDMX,2021-02-17,1855
35,54173,5,1,1462,Guadalajara,2022-10-28,2872
31,99276,8,3,2759,Monterrey,2025-05-18,1829
47,39033,4,2,1752,CDMX,2022-07-05,1719
33,81149,10,5,5155,Monterrey,2024-09-06,3203
33,33828,4,2,2353,CDMX,2022-09-26,2648
24,85911,5,2,1964,Puebla,2025-02-06,989
37,33473,5,2,1754,Guadalajara,2024-02-28,1816
27,40900,4,1,966,Guadalajara,2021-11-05,1903
36,126498,2,1,1808,Monterrey,2023-03-06,1824
51,57439,3,1,1160,Guadalajara,2025-01-16,1854
42,51786,6,3,2152,Monterrey,2021-11-09,1815
44,150396,9,4,2908,CDMX,2023-12-14,2050
42,58728,5,1,893,Guadalajara,2026-02-27,1343
39,32596,4,2,1381,Guadalajara,2021-10-12,1488
36,70779,3,1,1387,Puebla,2023-03-18,1231
34,27151,7,2,2013,CDMX,2021-09-08,2906
47,86177,3,2,1987,Guadalajara,2024-06-04,1705
25,89589,6,2,2150,Guadalajara,2025-06-18,1688
54,36810,1,0,368,Guadalajara,2024-03-19,1394
38,35812,9,0,4293,CDMX,2023-01-28,2745
29,53544,5,1,1172,Guadalajara,2021-04-29,2219
32,49369,6,3,2435,CDMX,2022-06-01,2148
30,30066,7,2,2274,CDMX,2025-06-17,2296
40,65124,4,1,1249,Puebla,2022-12-01,1634
29,17660,5,1,747,CDMX,2021-03-17,1775
52,39481,3,1,764,Guadalajara,2024-07-24,1321
29,40056,1,0,401,Monterrey,2022-02-21,1267
18,42760,9,4,2867,Monterrey,2021-09-17,2748
29,57160,8,4,4544,Guadalajara,2021-01-08,2560
18,26529,5,1,863,Monterrey,2021-11-04,1457
38,65792,6,3,3056,Guadalajara,2025-11-30,2020
51,44798,8,2,2090,Guadalajara,2024-05-19,2110
46,35415,9,2,2248,Monterrey,2026-01-31,2150
22,24750,7,3,1524,Monterrey,2025-08-27,1876
29,27131,4,1,1204,Guadalajara,2026-01-25,1181
59,58698,6,3,2563,Guadalajara,2024-06-30,2061
42,30275,5,1,941,Guadalajara,2021-02-16,1575
38,50620,12,3,2311,CDMX,2025-12-01,2043
51,83366,9,5,3768,Monterrey,2023-04-27,2506
67,82152,15,7,4992,CDMX,2022-06-22,2418
54,106959,0,0,1070,Guadalajara,2024-12-16,1661
40,42271,5,1,1169,Monterrey,2022-11-04,1855
42,28493,5,2,1620,Guadalajara,2022-11-23,1257
45,81655,5,1,1305,CDMX,2022-12-10,2051
31,57228,9,3,2508,Monterrey,2022-06-22,2634
25,85989,4,2,2982,CDMX,2022-11-13,2486
39,49293,1,0,493,Monterrey,2022-12-20,1526
27,89127,5,1,1479,Monterrey,2022-05-26,1982
37,74846,5,1,1706,Guadalajara,2024-12-17,1762
39,70137,5,1,1218,Monterrey,2025-02-15,1491
66,63055,3,1,1260,CDMX,2023-12-04,1857
28,59805,5,1,1157,CDMX,2022-06-23,2403
37,55079,7,4,3009,Puebla,2023-06-03,2193
36,54883,7,1,1334,Guadalajara,2023-03-03,1634
43,80426,5,2,2321,Guadalajara,2023-05-20,2376
51,37949,4,2,1435,Monterrey,2023-06-17,1647
32,116756,6,3,3068,Monterrey,2022-03-21,2150
28,46485,9,4,3149,Guadalajara,2026-03-08,2222
18,80233,7,3,2555,Guadalajara,2024-07-10,1711
27,46858,2,1,1118,CDMX,2022-09-18,1413
44,43333,2,0,433,CDMX,2022-11-18,1880
39,135418,7,2,2408,CDMX,2024-08-05,1765
26,41996,8,3,2411,Guadalajara,2024-06-28,2099
34,25884,3,1,734,Puebla,2022-09-15,751
38,34302,12,6,4719,CDMX,2022-09-17,2900
44,41831,5,2,1662,Guadalajara,2025-03-01,1605
31,144004,4,1,1934,CDMX,2021-07-10,2402
35,54360,3,1,1092,Guadalajara,2023-01-07,970
18,78226,2,1,1354,Puebla,2024-09-28,1557
24,29709,5,1,925,Puebla,2021-02-10,1429
57,58472,2,1,1260,CDMX,2025-11-30,1614
18,68579,10,4,3162,CDMX,2023-09-21,2425
34,120670,5,2,2214,Puebla,2022-08-06,2191
41,34609,4,1,1253,Guadalajara,2022-10-04,1538
34,66287,7,3,3105,Monterrey,2022-10-21,2432
28,57028,4,1,1245,CDMX,2022-05-18,1672
37,29412,5,1,1116,Puebla,2024-11-01,1551
38,48546,7,2,1911,CDMX,2022-07-10,2347
37,42970,3,1,1040,Guadalajara,2023-08-13,2383
18,15326,8,4,2835,CDMX,2021-01-04,2616
36,66127,4,2,2905,Guadalajara,2021-05-27,2511
28,64223,4,1,1471,Monterrey,2024-10-20,2384
31,39361,5,2,2069,Monterrey,2023-01-01,1692
41,25102,7,2,1424,Guadalajara,2023-11-07,1946
