id_venta,id_cliente,id_producto,id_sucursal,fecha,cantidad
5190,23,110,5,2025-09-09,2
5191,8,113,4,2025-09-01,5
5192,41,716,6,2025-01-18,2
5193,33,103,7,2025-04-15,1
5194,26,104,3,2025-10-19,3
5195,21,118,5,2025-06-23,7
5196,8,120,1,2025-02-08,5
5197,48,116,6,2025-02-12,4
5198,34,103,4,2025-03-20,2
5199,17,117,4,2025-10-19,1
5200,22,114,5,2025-02-20,2
5201,38,111,2,2025-09-28,2
5202,38,103,5,2025-07-23,2
5203,24,120,6,2025-10-04,5
5204,16,109,3,2025-09-05,1
5205,9014,101,2,2025-04-10,1
5206,35,105,4,2025-09-06,4
5207,32,109,2,2025-02-20,3
5208,4,102,3,2025-03-29,4
5209,25,107,6,2025-03-05,1
5210,32,110,1,2025-02-09,2
5211,50,119,6,2025-01-28,4
5212,28,102,2,2025-02-26,5
5213,18,112,8,2025-02-06,3
5214,29,119,6,2025-04-25,4
5215,10,117,3,2025-01-22,4
5216,5,119,5,2025-01-19,2
5217,36,104,1,2025-10-24,2
5218,52,117,1,2025-01-27,3
5219,44,120,8,2025-01-23,1
5220,31,107,7,2025-01-10,5
5221,3,110,2,2025-02-09,5
5222,52,111,3,2025-06-08,3
5223,24,110,2,2025-09-06,3
5224,16,106,4,2025-08-09,3
5225,47,120,3,2025-06-24,5
5226,39,120,3,2025-01-26,6
5227,39,108,5,2025-08-21,1
5228,15,117,2,2025-01-12,3
5229,52,108,8,2025-07-09,1
5230,9006,116,6,2025-05-03,4
5231,28,112,7,2025-09-22,2
5232,40,110,2,2025-04-03,3
5233,35,103,6,2025-07-11,4
5234,9,114,7,2025-05-12,3
5235,16,107,2,2025-06-06,3
5236,19,105,7,2025-10-09,6
5237,50,104,3,2025-08-02,6
5238,38,120,7,2025-05-05,1
5239,20,103,4,2025-05-15,3
5240,39,116,7,2025-07-31,6
5241,39,118,2,2025-04-14,4
5242,21,101,4,2025-02-20,2
5243,21,112,3,2025-05-21,5
5244,47,112,2,2025-01-21,2
5245,30,108,3,2025-02-20,1
5246,8,114,4,2025-05-07,5
5247,38,109,2,2025-08-27,4
5248,31,109,6,2025-08-23,6
5249,9007,109,5,2025-03-20,3
5250,38,117,7,2025-05-07,6
5251,48,113,6,2025-02-16,3
5252,18,108,2,2025-08-15,6
5253,22,119,1,2025-03-15,1
5254,10,117,4,2025-08-28,1
5255,34,119,4,2025-09-10,6
5256,21,115,2,2025-07-26,6
5257,18,108,7,2025-04-10,7
5258,37,116,5,2025-10-13,3
5259,22,107,6,2025-07-25,1
5260,25,106,1,2025-07-13,7
5261,23,110,7,2025-09-14,5
5262,14,120,2,2025-09-22,2
5263,7,112,4,2025-01-24,6
5264,44,108,4,2025-09-22,7
5265,5,110,7,2025-08-18,2
5266,17,106,3,2025-03-03,6
5267,35,114,2,2025-04-03,6
5268,7,108,3,2025-08-14,4
5269,35,112,3,2025-03-06,5
5270,39,108,2,2025-05-16,2
5271,35,107,2,2025-07-26,7
5272,16,120,2,2025-07-15,7
5273,2,107,4,2025-09-30,7
5274,47,102,3,2025-02-03,6
5275,17,108,4,2025-03-30,1
5276,42,111,6,2025-10-23,3
5277,11,102,2,2025-06-20,4
5278,9,107,8,2025-03-16,7
5279,41,104,7,2025-03-28,4
5280,49,111,2,2025-04-12,4
5281,45,115,3,2025-06-16,2
5282,40,710,2,2025-03-27,6
5283,9003,108,3,2025-07-06,3
5284,48,118,3,2025-05-14,1
5285,35,105,2,2025-07-03,7
5286,9,116,1,2025-02-16,2
5287,7,112,4,2025-07-07,1
5288,46,116,6,2025-10-05,1
5289,15,116,3,2025-02-10,4
5290,40,111,7,2025-04-09,1
5291,8,106,3,2025-07-28,6
5292,15,111,8,2025-07-05,4
5293,15,117,2,2025-07-22,3
5294,15,120,5,2025-06-17,1
5295,36,119,7,2025-07-24,4
5296,48,104,1,2025-07-02,2
5297,48,112,8,2025-01-23,7
5298,39,103,3,2025-08-14,3
5299,11,114,4,2025-05-15,4
5300,50,120,6,2025-01-16,1
5301,29,102,6,2025-05-03,1
5302,29,114,1,2025-05-11,2
5303,37,119,7,2025-01-27,1
5304,9019,117,5,2025-10-26,6
5305,50,108,8,2025-03-08,7
5306,31,103,4,2025-04-10,7
5307,32,119,5,2025-05-13,2
5308,39,119,4,2025-09-07,6
5309,14,112,8,2025-08-11,4
5310,17,120,7,2025-08-20,1
5311,33,101,8,2025-03-13,1
5312,4,113,5,2025-09-11,4
5313,17,101,7,2025-09-06,3
5314,38,119,3,2025-05-20,1
5315,51,114,4,2025-06-13,7
5316,28,119,7,2025-01-12,6
5317,21,112,1,2025-08-17,4
5318,23,102,6,2025-10-16,7
5319,36,101,1,2025-05-22,7
5320,29,107,5,2025-06-12,7
5321,2,115,4,2025-05-30,2
5322,29,104,4,2025-01-25,7
5323,21,118,4,2025-07-05,4
5324,37,105,4,2025-08-05,6
5325,46,110,4,2025-10-06,7
5326,51,105,4,2025-10-06,2
5327,32,110,5,2025-05-28,4
5328,19,110,7,2025-10-15,1
5329,24,101,5,2025-06-08,2
5330,10,112,6,2025-07-12,3
5331,49,116,7,2025-06-30,6
5332,45,119,8,2025-10-27,7
5333,45,107,1,2025-08-10,3
5334,18,118,6,2025-02-06,3
5335,17,118,2,2025-01-22,4
5336,45,120,2,2025-05-03,7
5337,29,108,7,2025-06-04,7
5338,37,118,1,2025-07-20,2
5339,26,112,7,2025-05-25,2
5340,24,102,7,2025-06-04,5
5341,33,106,8,2025-10-04,3
5342,43,114,6,2025-04-11,2
5343,18,104,7,2025-05-29,1
5344,43,109,1,2025-06-17,3
5345,13,116,8,2025-05-21,3
5346,21,103,2,2025-10-18,4
5347,48,110,3,2025-10-16,2
5348,50,105,2,2025-06-03,6
5349,49,111,4,2025-05-16,5
5350,17,105,6,2025-06-26,4
5351,44,120,3,2025-02-24,2
5352,49,102,7,2025-05-08,4
5353,51,120,5,2025-03-07,5
5354,2,116,6,2025-02-13,3
5355,39,118,8,2025-01-29,2
5356,52,118,4,2025-06-26,4
5357,40,104,3,2025-01-01,3
5358,13,119,8,2025-07-13,3
5359,40,112,5,2025-05-10,3
5360,6,120,5,2025-04-20,3
5361,25,713,3,2025-08-19,6
5362,33,112,2,2025-06-11,4
5363,24,108,2,2025-08-09,4
5364,37,103,2,2025-08-01,5
5365,13,103,2,2025-01-10,3
5366,32,108,6,2025-03-06,1
5367,34,117,1,2025-06-20,6
5368,33,111,6,2025-10-20,1
5369,16,110,8,2025-02-16,5
5370,16,105,7,2025-02-01,2
5371,14,112,4,2025-10-10,2
5372,25,113,1,2025-10-18,1
5373,31,120,7,2025-02-20,7
5374,19,115,1,2025-05-01,4
5375,22,113,6,2025-07-07,3
5376,15,119,6,2025-02-28,6
5377,12,109,2,2025-04-08,1
5378,35,119,6,2025-04-29,4
5379,43,108,2,2025-07-12,4
5380,16,103,2,2025-04-03,4
5381,45,109,7,2025-05-04,1
5382,9016,103,8,2025-03-28,7
5383,9,103,3,2025-08-16,2
5384,20,118,8,2025-02-15,5
5385,1,116,8,2025-03-11,6
5386,3,105,7,2025-03-16,3
5387,18,117,2,2025-09-29,1
5388,24,102,3,2025-10-11,3
5389,42,106,6,2025-05-31,6
5390,7,115,8,2025-02-16,7
5391,44,107,7,2025-08-15,7
5392,13,115,4,2025-05-28,2
5393,8,118,2,2025-09-12,5
5394,37,102,8,2025-04-18,2
5395,41,101,3,2025-10-27,5
5396,32,119,3,2025-08-31,3
5397,7,111,8,2025-03-09,5
5398,6,111,5,2025-08-06,5
5399,21,110,3,2025-03-28,7
5400,24,109,1,2025-04-15,4
5401,52,114,4,2025-03-17,3
5402,15,112,8,2025-07-24,4
5403,11,104,4,2025-03-20,2
5404,50,113,6,2025-07-11,1
5405,9,114,3,2025-06-24,4
5406,2,103,7,2025-08-14,6
5407,22,108,7,2025-10-26,4
5408,21,116,5,2025-01-03,6
5409,33,113,7,2025-10-25,2
5410,46,103,5,2025-02-02,4
5411,49,101,4,2025-06-08,5
5412,16,112,6,2025-04-13,3
5413,52,110,7,2025-07-11,1
5414,33,120,7,2025-08-05,1
5415,4,111,2,2025-09-15,7
5416,49,119,6,2025-05-01,5
5417,8,105,1,2025-10-07,2
5418,31,109,5,2025-04-07,2
5419,42,103,5,2025-03-03,1
5420,13,112,3,2025-04-24,7
5421,15,104,8,2025-06-08,1
5422,25,110,8,2025-07-20,6
5423,47,107,1,2025-09-07,2
5424,12,104,2,2025-03-09,3
5425,35,102,2,2025-04-01,2
5426,24,111,8,2025-10-09,6
5427,6,119,5,2025-05-12,1
5428,37,104,6,2025-03-14,3
5429,44,109,7,2025-10-23,2
5430,30,105,7,2025-05-15,2
5431,10,117,1,2025-10-23,2
5432,9,109,2,2025-10-03,7
5433,23,120,4,2025-09-29,3
5434,27,105,3,2025-06-24,3
5435,29,102,6,2025-08-28,3
5436,13,112,2,2025-10-16,7
5437,27,114,3,2025-03-22,3
5438,16,120,2,2025-01-12,3
5439,36,118,2,2025-04-07,3
5440,42,118,2,2025-07-11,3
5441,34,113,2,2025-06-14,1
5442,1,108,5,2025-01-25,5
5443,52,109,4,2025-06-18,1
5444,2,103,4,2025-02-22,2
5445,52,109,4,2025-06-01,2
5446,2,108,6,2025-06-22,3
5447,27,101,7,2025-07-11,6
5448,6,105,5,2025-05-04,5
5449,5,111,6,2025-05-03,7
5450,36,108,6,2025-07-23,3
5451,38,120,6,2025-08-13,7
5452,7,110,2,2025-08-31,1
5453,51,120,8,2025-04-11,4
5454,17,114,2,2025-05-08,6
5455,17,101,4,2025-04-10,4
5456,16,105,6,2025-06-08,7
5457,24,115,4,2025-02-08,3
5458,10,111,2,2025-05-10,1
5459,23,107,8,2025-02-26,6
5460,11,111,1,2025-06-09,1
5461,3,119,2,2025-09-13,6
5462,20,108,8,2025-10-23,6
5463,35,101,6,2025-05-14,6
5464,40,702,1,2025-01-17,4
5465,19,119,7,2025-03-10,7
5466,17,116,8,2025-02-01,2
5467,41,117,1,2025-08-16,4
5468,36,119,4,2025-10-23,1
5469,44,103,4,2025-06-16,6
5470,48,106,2,2025-02-23,5
5471,43,102,2,2025-01-07,6
5472,49,101,2,2025-10-20,6
5473,22,117,2,2025-04-05,3
5474,21,119,4,2025-02-03,1
5475,17,104,4,2025-02-23,7
5476,13,115,2,2025-03-18,4
5477,39,111,3,2025-07-16,1
5478,38,102,2,2025-09-25,7
5479,42,119,7,2025-03-24,7
5480,9,118,2,2025-07-26,4
5481,26,112,8,2025-01-20,6
5482,12,115,5,2025-01-04,1
5483,47,108,7,2025-01-17,1
5484,14,116,6,2025-10-04,2
5485,8,109,3,2025-06-24,5
5486,30,120,5,2025-08-30,1
5487,46,102,3,2025-01-07,1
5488,48,104,1,2025-01-07,5
5489,5,120,3,2025-09-12,6
5490,17,106,3,2025-01-31,6
5491,8,107,2,2025-02-16,6
5492,17,116,1,2025-06-05,6
5493,28,104,8,2025-07-01,5
5494,15,111,5,2025-03-10,4
5495,4,106,4,2025-05-14,6
5496,27,104,8,2025-07-22,3
5497,3,120,2,2025-05-13,1
5498,12,104,4,2025-04-25,6
5499,1,102,7,2025-01-22,2
5500,5,114,6,2025-05-16,7
