id_cliente,ingreso,categoria,publicidad,ventas
358,20839.8,Basico,56.11,209.97
359,14014.24,Estandar,57.79,199.36
360,18004.28,Estandar,47.01,175.29
361,17972.84,Estandar,32.78,101.2
362,21680.92,Basico,51.33,230.9
363,26901.53,Basico,28.03,92.41
364,13088.8,Estandar,34.59,166.13
365,18146.75,Estandar,38.74,135.37
366,31840.98,Estandar,62.66,234.42
367,14614.13,Estandar,44.56,176.49
368,14217.27,Estandar,43.28,182.85
369,20349.41,Premium,79.32,244.88
370,25477.09,Estandar,55.29,218.28
371,19034.32,Estandar,55.08,236.92
372,30186.08,Estandar,44.45,151.34
373,25587.98,Basico,41.05,148.14
374,25454.23,Basico,17.2,60.25
375,23015.9,Estandar,64.53,211.39
376,42816.49,Premium,56.72,238.63
377,17644.75,Estandar,47.31,141.56
378,9402.84,Basico,47.94,145.07
379,288833.61,Estandar,61.04,
380,16152.1,Basico,26.68,118.32
381,19687.87,Estandar,41.15,200.58
382,29981.71,Premium,32.96,110.9
383,10820.62,Estandar,76.57,260.53
384,12233.38,Estandar,63.13,199.2
385,10824.34,Basico,16.96,76.16
386,14357.85,Basico,27.29,60.26
387,22111.94,Premium,48.01,185.97
388,22776.07,Estandar,42.91,161.12
389,20883.11,Estandar,30.13,111.98
390,11562.61,Basico,79.17,255.67
391,8446.13,Basico,54.69,167.16
392,19322.47,Basico,57.12,215.27
393,16072.71,Basico,39.62,113.54
394,22265.31,Basico,60.83,221.38
395,24238.17,Empresarial,44.29,209.17
396,19898.2,Estandar,45.75,198.96
397,24736.78,Basico,59.17,165.78
398,20541.94,Basico,25.57,85.83
399,22822.97,Basico,73.96,259.8
400,14814.54,Premium,52.74,181.72
401,17803.24,Basico,69.21,199.58
402,20310.06,Premium,33.87,134.63
403,25265.24,Premium,36.15,131.82
404,16517.75,Basico,32.57,168.83
405,22752.0,Estandar,53.75,180.31
406,17273.98,Empresarial,50.99,207.27
407,18194.24,Basico,43.03,121.73
408,25344.87,Basico,34.79,102.15
409,9437.33,Premium,31.0,134.14
410,12042.95,Premium,49.27,199.84
411,11285.06,Estandar,43.02,129.42
412,8376.91,Estandar,39.72,143.72
413,14952.11,Basico,73.21,212.4
414,24644.32,Premium,48.77,166.64
415,17159.21,Estandar,69.05,254.98
416,20317.27,Basico,42.0,139.33
417,27756.52,Estandar,53.67,180.16
418,30172.62,Empresarial,49.17,144.18
419,18505.1,Premium,24.54,79.85
420,30447.37,Basico,71.43,285.37
421,19579.62,Basico,47.97,170.54
422,14142.09,Empresarial,61.2,184.65
423,15397.49,Empresarial,38.72,132.16
424,11291.58,Estandar,47.53,127.4
425,13893.18,Estandar,37.0,109.34
426,16725.57,Estandar,68.54,266.48
427,25115.86,Basico,54.67,185.92
428,34622.86,Basico,55.51,239.34
429,11687.05,Basico,70.37,235.77
430,21752.62,Basico,67.35,227.87
431,13171.49,Premium,61.48,226.61
432,22384.95,Basico,28.67,42.07
433,18108.19,Basico,39.56,147.77
434,9988.43,Estandar,34.94,127.09
435,26236.42,Basico,60.91,245.98
436,15340.47,Basico,52.56,207.05
437,15727.01,Estandar,29.14,82.0
438,13037.52,Basico,47.17,197.28
439,15078.13,Estandar,27.59,98.97
440,22021.22,Premium,49.2,149.92
441,17743.32,Basico,25.17,102.95
442,21269.55,Premium,57.93,194.52
443,21518.59,Premium,55.67,231.04
444,30098.53,Premium,78.62,272.24
445,16814.97,Estandar,62.72,219.57
446,11306.12,Estandar,43.66,177.85
447,27543.67,Estandar,62.27,240.36
448,16881.59,Estandar,29.04,129.6
449,28004.13,Basico,35.56,165.73
450,21680.79,Empresarial,55.0,205.71
451,18107.87,Estandar,17.63,78.83
452,21419.81,Premium,49.44,204.25
453,37528.44,Basico,34.7,125.29
454,39220.04,Basico,51.52,180.54
455,19424.36,Estandar,33.83,167.92
456,20051.65,Estandar,56.36,235.28
457,27630.74,Basico,50.29,175.69
458,14101.25,Basico,71.01,228.78
459,21302.39,Basico,50.1,211.89
460,18787.52,Estandar,38.47,159.27
461,21160.0,Basico,46.3,171.41
462,14162.05,Empresarial,29.84,104.45
463,10868.8,Basico,56.09,202.18
464,9177.0,Basico,58.85,201.89
465,12821.97,Basico,87.04,273.21
466,16146.58,Estandar,40.67,149.31
467,17109.39,Estandar,45.98,169.18
468,37347.86,Estandar,41.36,138.84
469,27919.98,Empresarial,53.18,207.46
470,13538.17,Basico,55.73,224.97
471,21411.81,Estandar,49.2,196.77
472,16440.82,Basico,66.29,218.61
473,17162.34,Basico,40.75,165.21
474,20228.83,Estandar,64.79,222.81
475,23545.97,Basico,58.08,169.15
476,16835.74,Estandar,49.82,191.26
477,27511.19,Estandar,45.28,164.01
478,12712.25,Estandar,86.4,352.68
479,19000.46,Estandar,37.74,173.44
480,47060.34,Estandar,54.47,206.63
481,20497.9,Basico,38.75,146.34
482,31307.88,Basico,76.78,262.12
483,19575.46,Basico,63.3,191.15
484,23231.68,Estandar,39.82,99.98
485,18585.29,Empresarial,57.69,177.02
486,17860.69,Basico,53.87,185.79
487,14431.68,Estandar,42.25,98.34
488,22039.81,Premium,61.37,196.65
489,14072.28,Premium,55.84,186.91
490,23931.6,Estandar,53.24,179.64
491,27718.36,Estandar,49.37,156.51
492,21553.34,Estandar,56.47,186.51
493,17151.02,Premium,53.44,228.76
494,22223.11,Basico,50.89,194.3
495,17016.94,Premium,40.38,131.19
496,26303.08,Basico,75.41,252.05
497,9986.68,Premium,34.24,125.45
498,16857.27,Basico,56.41,175.69
499,9444.76,Basico,45.2,140.88
500,11234.32,Basico,76.39,282.08
501,30557.08,Basico,36.45,122.49
502,25934.12,Basico,38.97,113.44
503,14737.96,Basico,35.45,128.82
504,11205.09,Estandar,54.85,192.99
505,6717.12,Basico,29.4,61.84
506,15674.28,Premium,42.82,151.73
507,44229.41,Premium,17.71,96.61
508,22075.19,Estandar,53.61,197.46
509,15586.33,Basico,42.5,207.48
510,22309.73,Basico,27.68,137.08
511,10978.18,Premium,66.28,261.7
512,17084.67,Basico,30.38,184.2
513,19630.06,Basico,61.95,231.01
514,18395.56,Empresarial,39.48,146.48
515,25003.78,Empresarial,74.02,273.82
516,21388.87,Basico,61.24,195.87
517,23954.56,Estandar,34.88,130.82
518,14899.3,Estandar,36.24,116.16
519,25958.01,Premium,59.08,213.11
520,33527.72,Basico,46.06,146.5
521,13500.04,Basico,47.46,149.95
522,13895.31,Estandar,69.08,244.5
523,30258.26,Basico,38.77,136.74
524,17730.29,Estandar,51.37,131.06
525,30987.45,Basico,64.32,183.0
526,16238.05,Premium,62.14,183.94
527,31548.02,Premium,47.61,145.5
528,19851.21,Estandar,45.67,171.93
529,20751.63,Premium,23.92,99.62
530,32782.54,Basico,34.16,152.52
531,16703.61,Estandar,54.78,208.62
532,13637.89,Basico,47.93,195.39
533,16203.82,Premium,51.12,193.69
534,22210.42,Premium,65.59,228.57
535,10959.75,Premium,32.19,147.27
536,23697.26,Premium,46.46,187.0
537,15700.22,Empresarial,52.83,193.18
538,28331.64,Basico,39.44,174.03
539,8200.98,Empresarial,71.47,182.92
540,14395.95,Estandar,63.63,209.99
541,10506.36,Basico,54.35,180.85
542,14197.48,Estandar,76.91,287.25
543,20675.05,Basico,27.52,144.59
544,17805.64,Basico,49.88,138.39
545,17349.48,Basico,55.5,227.31
546,17930.98,Basico,36.28,103.19
547,20357.12,Estandar,54.51,160.45
548,13319.87,Premium,33.4,117.69
549,24279.74,Estandar,60.36,199.16
550,23907.16,Estandar,65.87,185.23
551,21693.4,Basico,54.09,203.91
552,23035.38,Estandar,22.21,105.83
553,21030.86,Basico,35.5,156.4
554,38648.98,Premium,58.47,190.42
555,18389.17,Basico,50.32,175.0
556,17026.41,Estandar,9.59,48.97
557,14563.38,Premium,68.64,274.99
558,13209.72,Estandar,52.05,110.5
559,12264.14,Premium,37.71,112.99
560,13889.95,Basico,64.92,221.4
561,18495.11,Premium,39.84,116.36
562,21311.53,Estandar,39.67,136.53
563,19300.76,Premium,55.38,188.51
564,14502.3,Estandar,76.72,241.38
565,25979.54,Premium,74.35,252.11
566,24558.04,Empresarial,55.4,207.43
567,17928.07,Basico,56.94,190.59
568,15085.35,Premium,61.87,200.47
569,22970.13,Estandar,31.15,112.41
570,20247.58,Estandar,59.66,204.77
571,11420.39,Premium,38.99,97.36
572,18512.6,Basico,54.78,201.35
573,20779.3,Estandar,46.59,153.15
574,13837.07,Basico,57.52,229.84
575,20260.84,Basico,51.77,195.27
576,11393.66,Premium,5.0,64.75
577,30262.52,Basico,52.68,158.04
578,29342.21,Basico,59.63,195.58
579,17354.71,Basico,56.69,164.67
580,21530.14,Estandar,48.46,152.6
581,8156.15,Premium,74.63,282.66
582,12648.3,Premium,54.67,226.67
583,17105.88,Basico,56.57,166.65
584,13026.66,Estandar,65.67,212.11
585,24343.95,Estandar,55.44,189.96
586,38141.33,Estandar,36.53,147.88
587,12558.9,Basico,13.42,17.62
588,14141.77,Basico,42.84,112.74
589,20586.83,Estandar,61.41,222.62
590,33319.25,Estandar,44.7,109.86
591,12359.36,Estandar,62.02,201.08
592,20684.97,Estandar,52.23,185.97
593,35862.76,Premium,69.32,245.29
594,10634.77,Estandar,45.57,157.73
595,12108.05,Basico,57.01,187.6
596,16345.99,Premium,57.59,219.64
597,15800.46,Premium,72.52,251.95
598,25195.24,Basico,24.4,79.47
599,20631.64,Estandar,43.12,154.63
600,10185.94,Basico,62.73,224.04
601,22706.21,Estandar,73.19,289.84
602,15488.63,Basico,53.6,205.82
603,29615.6,Estandar,45.61,191.75
604,15219.68,Basico,61.36,194.94
605,15171.66,Estandar,63.03,202.29
606,22911.54,Empresarial,44.61,152.39
607,24760.98,Basico,54.95,186.77
608,22177.53,Premium,67.71,204.69
609,10509.56,Empresarial,78.36,294.55
610,22886.72,Premium,61.14,231.61
611,13200.26,Basico,50.66,169.41
612,20585.59,Premium,49.19,188.53
613,11518.31,Basico,58.36,206.49
614,22163.74,Basico,48.26,187.62
615,14295.36,Premium,52.84,150.21
616,12101.42,Estandar,34.13,122.17
617,24339.04,Estandar,69.46,233.86
618,20631.53,Basico,32.9,137.57
619,15292.35,Premium,43.52,139.2
620,31505.35,Estandar,51.46,117.04
621,16248.76,Estandar,79.86,240.54
622,19172.6,Premium,43.66,153.82
623,20829.38,Basico,40.01,145.63
624,15261.93,Basico,41.74,191.48
625,22357.07,Estandar,74.88,266.71
626,15729.48,Empresarial,7.81,46.26
627,16414.6,Basico,34.96,127.56
628,30544.04,Basico,90.97,329.61
629,13171.29,Basico,58.86,187.72
630,8147.99,Premium,33.41,120.06
631,33317.16,Basico,49.37,145.82
632,46270.73,Estandar,51.01,213.61
633,16451.23,Empresarial,62.69,224.16
634,9624.88,Basico,77.59,242.85
635,17006.15,Estandar,55.83,190.21
636,17151.18,Estandar,41.9,162.64
637,17739.1,Premium,61.81,205.33
638,12839.92,Basico,39.53,129.17
639,23221.79,Basico,34.5,110.59
640,22778.62,Basico,23.6,101.64
641,11236.9,Estandar,26.52,93.27
642,24214.79,Premium,36.55,121.97
643,38887.95,Basico,32.33,86.83
644,20134.42,Basico,54.7,191.51
645,16847.14,Premium,32.01,114.7
646,18039.14,Basico,5.0,27.46
647,23513.73,Basico,34.34,131.43
648,80778.45,Estandar,42.92,171.76
649,20081.15,Basico,40.92,164.39
650,16536.7,Basico,72.79,259.48
651,36197.26,Estandar,40.8,140.45
652,17837.17,Basico,63.21,201.79
653,33987.93,Estandar,49.72,148.02
654,12883.35,Estandar,49.37,158.2
655,23284.44,Estandar,37.47,136.65
656,21200.71,Basico,49.12,152.61
657,13986.3,Premium,38.52,141.82
658,20172.76,Basico,52.55,158.77
659,28980.59,Premium,46.46,122.49
660,16927.13,Basico,35.83,151.56
661,10486.18,Premium,64.88,209.26
662,18842.18,Basico,56.4,173.92
663,13823.87,Basico,43.28,126.82
664,16817.59,Estandar,52.18,192.34
665,18424.64,Basico,48.74,205.47
666,10436.05,Basico,36.99,124.58
667,10770.0,Estandar,51.06,172.89
668,22442.76,Premium,40.68,172.91
669,15788.68,Basico,35.83,85.8
670,54760.95,Premium,25.66,148.71
671,24951.65,Premium,44.62,219.43
672,20854.59,Premium,58.5,133.71
673,14766.91,Estandar,39.58,140.26
674,11957.45,Estandar,87.81,274.24
675,25400.72,Estandar,63.29,209.57
676,21424.12,Estandar,69.56,225.19
677,43647.92,Premium,61.93,232.27
678,21961.94,Basico,77.79,258.34
679,21713.64,Basico,38.19,115.63
680,17882.45,Basico,11.59,51.62
681,25232.08,Empresarial,43.31,167.12
682,23594.76,Basico,58.37,171.36
683,29381.01,Estandar,52.27,140.89
684,15796.39,Premium,54.13,237.63
685,16278.61,Empresarial,69.81,220.36
686,16031.55,Basico,55.73,189.33
687,25003.74,Premium,61.98,202.2
688,32030.09,Premium,35.91,145.01
689,16145.65,Basico,33.57,168.38
690,16339.31,Premium,74.21,264.55
691,21161.25,Basico,51.51,141.73
692,17395.79,Estandar,40.65,111.42
693,26455.48,Estandar,40.68,136.13
694,8620.32,Basico,40.26,138.11
695,14195.12,Basico,39.37,98.98
696,14416.87,Basico,30.75,135.82
697,8415.88,Basico,27.49,78.07
698,13530.84,Estandar,47.07,203.26
699,13762.4,Basico,41.11,192.94
700,17669.82,Basico,66.61,220.28
701,27988.19,Estandar,54.4,199.6
702,17400.06,Estandar,53.98,156.54
703,13216.42,Estandar,38.85,156.04
704,18584.18,Empresarial,48.18,156.92
705,27370.22,Basico,55.42,164.61
706,13472.62,Premium,60.74,201.07
707,13784.48,Basico,48.59,158.99
708,23051.64,Estandar,66.19,217.05
709,17543.91,Empresarial,50.12,199.11
710,23780.46,Premium,61.89,192.23
711,18868.02,Estandar,42.65,195.6
712,24235.71,Estandar,22.81,57.59
713,13196.71,Basico,54.03,227.86
714,18878.34,Estandar,60.88,183.31
715,17610.64,Premium,58.63,201.73
716,12387.44,Empresarial,56.33,182.38
717,10968.5,Estandar,44.77,150.2
718,24101.09,Basico,37.9,157.52
