id_usuario,grupo,edad,region,conversion,gasto,tiempo_sitio
532,A,46.0,Norte,0,476.42,40.0
1054,B,31.0,Sureste,0,170.33,177.5
1130,B,26.0,Centro,0,148.47,118.4
329,A,40.0,Occidente,0,383.2,85.0
569,A,30.0,Centro,0,281.64,113.7
938,A,34.0,Occidente,0,271.01,140.1
1118,B,26.0,Centro,0,519.82,48.0
380,A,46.0,Centro,0,296.52,208.2
298,A,34.0,Norte,0,979.23,107.5
398,A,30.0,Centro,0,248.65,43.3
1041,B,29.0,Norte,0,224.91,200.7
853,A,34.0,Sureste,0,230.11,308.1
427,A,18.0,Centro,0,183.75,68.6
664,A,18.0,Sureste,0,182.39,63.7
978,B,33.0,Centro,1,152.35,30.2
416,A,33.0,Occidente,0,580.31,27.9
263,A,38.0,Occidente,0,421.2,67.7
1070,B,36.0,Occidente,0,910.62,129.8
588,A,44.0,Sureste,0,171.67,45.9
657,A,50.0,Norte,1,526.07,77.8
879,A,50.0,Sureste,0,196.86,78.1
732,A,23.0,Sur,0,40.3,41.7
919,A,41.0,Centro,0,264.77,141.5
904,A,37.0,Sur,0,559.58,73.7
510,A,19.0,Sur,0,144.43,58.7
892,A,35.0,Centro,0,441.93,85.4
24,A,24.0,Norte,0,217.12,69.6
761,A,29.0,Centro,0,214.67,91.2
378,A,45.0,Sur,0,297.11,80.3
479,A,45.0,Norte,0,209.16,78.6
165,A,45.0,Centro,0,237.74,32.7
984,B,36.0,Centro,0,568.23,91.1
678,A,20.0,Occidente,0,57.72,28.2
674,A,31.0,Occidente,0,202.37,132.9
884,A,32.0,Sureste,0,265.62,
484,A,33.0,Norte,0,441.86,17.0
1074,B,21.0,Sur,0,238.25,63.9
771,A,21.0,Sureste,0,370.74,17.5
464,A,36.0,Centro,0,698.47,200.7
109,A,36.0,Centro,0,591.01,231.5
743,A,46.0,Centro,0,143.9,135.7
1013,B,26.0,Sur,0,131.45,173.0
976,B,24.0,Occidente,0,797.94,21.7
1102,B,26.0,Sur,0,112.97,157.7
794,A,39.0,Occidente,0,223.24,55.5
71,A,47.0,Sur,0,158.62,82.3
483,A,42.0,Norte,0,83.7,44.5
903,A,35.0,Occidente,0,218.59,53.3
409,A,29.0,Norte,0,139.46,141.2
779,A,45.0,Norte,0,126.9,148.8
41,A,36.0,Occidente,0,401.0,170.2
110,A,51.0,Norte,0,201.18,150.0
448,A,39.0,Centro,0,211.95,48.7
1028,B,27.0,Occidente,0,932.4,144.9
142,A,30.0,Centro,0,97.98,261.1
368,A,23.0,Norte,0,446.58,68.3
645,A,21.0,Norte,0,289.05,177.6
612,A,43.0,Sureste,0,168.34,66.7
685,A,25.0,Norte,1,495.75,36.9
473,A,49.0,Norte,0,448.02,22.9
190,A,35.0,Norte,0,109.03,186.2
1113,B,25.0,Sureste,1,117.76,162.5
223,A,27.0,Sur,0,123.87,94.8
665,A,37.0,Sur,0,247.47,63.1
857,A,37.0,Centro,0,288.38,201.1
957,B,42.0,Occidente,0,678.46,64.9
141,A,38.0,Sur,0,567.1,139.1
490,A,38.0,Sur,0,412.02,60.1
254,A,18.0,Sureste,0,854.94,51.3
948,A,18.0,Occidente,0,323.78,281.7
39,A,51.0,Occidente,0,377.29,70.2
1025,B,28.0,Norte,0,28.23,113.8
264,A,,Centro,0,572.47,127.9
1071,B,32.0,Centro,0,199.57,147.0
397,A,46.0,Centro,0,405.4,27.6
527,A,45.0,Sur,0,207.79,286.0
14,A,55.0,Centro,0,237.66,155.7
410,A,38.0,Centro,0,205.17,73.6
542,A,49.0,Sur,0,29.81,242.5
279,A,40.0,Centro,0,35.11,57.8
610,A,32.0,Occidente,0,389.87,41.7
505,A,34.0,Centro,0,200.63,197.2
858,A,34.0,Norte,1,162.57,42.1
1087,B,19.0,Sureste,0,236.74,229.7
705,A,39.0,Sur,0,158.66,259.5
1106,B,24.0,Norte,0,1033.25,96.2
721,A,30.0,Sur,0,201.12,198.3
61,A,,Sureste,0,173.71,76.0
111,A,46.0,Sur,0,465.86,
5,A,41.0,Sur,0,692.92,46.6
627,A,51.0,Sur,0,845.96,35.2
508,A,37.0,Sur,0,126.3,43.5
739,A,28.0,Norte,0,144.18,170.9
596,A,45.0,Centro,0,312.64,105.8
485,A,32.0,Norte,1,140.45,89.7
780,A,31.0,Sureste,0,512.59,223.3
95,A,27.0,Centro,0,226.83,156.7
1024,B,31.0,Centro,0,65.88,29.5
756,A,30.0,Occidente,1,923.93,
187,A,35.0,Norte,0,54.23,139.3
806,A,26.0,Norte,0,793.81,102.9
772,A,24.0,Sur,1,148.11,125.6
791,A,34.0,Centro,1,167.66,221.3
474,A,44.0,Sureste,0,182.03,143.3
59,A,31.0,Centro,0,193.23,53.4
1052,B,39.0,Centro,1,601.75,153.9
217,A,30.0,Centro,0,89.74,88.5
25,A,30.0,Norte,0,988.85,228.2
1128,B,26.0,Occidente,0,222.87,156.0
173,A,53.0,Centro,0,513.17,95.7
318,A,37.0,Norte,0,878.89,83.2
26,A,19.0,Norte,0,257.52,133.7
489,A,33.0,Centro,0,186.71,293.2
755,A,45.0,Centro,0,193.95,89.3
514,A,25.0,Centro,0,215.94,197.5
891,A,31.0,Occidente,0,621.68,213.6
361,A,37.0,Occidente,0,180.08,70.6
131,A,53.0,Sur,0,982.96,
154,A,38.0,Centro,1,516.8,130.6
738,A,53.0,Centro,0,614.77,134.5
616,A,50.0,Sureste,0,846.12,204.7
831,A,37.0,Centro,0,506.97,94.8
245,A,37.0,Sur,1,31.9,7.5
99,A,33.0,Norte,0,324.73,39.9
64,A,48.0,Sur,0,459.36,98.7
76,A,39.0,Sureste,0,453.55,20.8
229,A,55.0,Centro,0,510.47,44.9
784,A,28.0,Occidente,1,671.23,192.4
834,A,25.0,Occidente,0,803.38,98.3
221,A,38.0,Centro,1,170.75,44.7
790,A,37.0,Sur,0,67.76,103.4
309,A,24.0,Centro,0,377.89,97.7
455,A,22.0,Centro,0,156.75,67.1
968,B,33.0,Norte,0,392.79,68.4
735,A,39.0,Occidente,0,177.33,93.3
135,A,40.0,Sur,0,359.59,60.6
253,A,39.0,Centro,0,739.13,55.7
880,A,54.0,Centro,0,384.88,34.4
844,A,46.0,Centro,0,100.77,109.8
1104,B,31.0,Norte,0,138.08,65.9
4,A,18.0,Centro,0,501.77,26.4
197,A,18.0,Centro,0,643.22,90.8
611,A,29.0,Norte,0,544.77,229.6
169,A,32.0,Sur,0,219.86,76.3
709,A,28.0,Sur,0,181.58,52.7
18,A,45.0,Centro,0,352.53,102.9
1116,B,39.0,Centro,0,422.98,204.1
27,A,44.0,Centro,0,42.61,19.5
836,A,39.0,Centro,0,83.91,132.5
778,A,33.0,Centro,0,262.32,134.7
358,A,18.0,Sur,0,245.75,50.9
1046,B,18.0,Occidente,0,365.79,196.4
929,A,34.0,Occidente,0,198.57,148.2
1124,B,24.0,Sur,0,203.29,133.0
859,A,46.0,Sur,0,659.38,153.5
260,A,50.0,Sur,0,1105.95,29.2
62,A,18.0,Centro,0,452.69,189.3
565,A,49.0,Occidente,0,377.72,211.1
1015,B,29.0,Occidente,0,1121.8,20.0
719,A,47.0,Sur,0,237.08,120.7
84,A,31.0,Norte,0,248.76,196.6
205,A,31.0,Occidente,0,912.88,173.8
973,B,35.0,Sur,0,7619.09,168.8
583,A,21.0,Sur,0,408.32,144.8
796,A,43.0,Centro,0,391.61,76.1
668,A,29.0,Sur,0,347.58,128.3
704,A,54.0,Occidente,0,88.08,44.0
356,A,34.0,Centro,0,1084.03,138.6
799,A,18.0,Centro,0,47.07,107.7
501,A,22.0,Sureste,1,183.58,37.0
493,A,52.0,Centro,0,239.87,33.7
413,A,35.0,Sur,0,382.41,33.5
456,A,20.0,Sureste,0,355.64,88.7
840,A,29.0,Occidente,0,1292.89,241.3
519,A,31.0,Sureste,0,251.16,85.5
908,A,24.0,Centro,0,625.1,65.0
319,A,41.0,Centro,1,477.5,16.5
559,A,23.0,Norte,0,405.09,56.6
337,A,36.0,Centro,0,447.98,104.3
700,A,29.0,Centro,0,522.83,98.6
1073,B,54.0,Occidente,0,631.84,79.9
75,A,25.0,Sur,0,440.48,84.6
954,B,26.0,Sur,0,617.49,102.5
446,A,48.0,Sur,0,100.58,32.1
460,A,38.0,Centro,0,349.21,111.8
787,A,39.0,Norte,0,283.87,97.3
58,A,19.0,Sureste,0,516.65,167.0
1059,B,32.0,Sur,1,117.98,110.1
345,A,40.0,Sur,0,581.56,116.5
1107,B,49.0,Occidente,0,451.25,211.7
1094,B,28.0,Centro,0,247.79,36.2
390,A,31.0,Norte,0,219.34,48.8
218,A,38.0,Sureste,0,519.53,58.4
1056,B,40.0,Sur,0,462.96,57.0
415,A,34.0,Sur,1,82.75,71.0
966,B,44.0,Sureste,0,69.3,49.7
570,A,51.0,Centro,0,1066.38,60.4
566,A,39.0,Centro,0,376.83,94.2
286,A,45.0,Centro,0,255.35,45.7
977,B,36.0,Centro,0,495.22,37.2
320,A,37.0,Norte,0,720.76,153.0
1023,B,34.0,Occidente,0,504.92,181.8
895,A,46.0,Centro,0,226.54,299.8
7,A,40.0,Norte,0,651.93,60.8
1065,B,34.0,Norte,0,179.68,132.1
504,A,33.0,Sur,0,70.33,219.2
545,A,25.0,Sur,0,410.0,65.2
139,A,30.0,Centro,0,196.54,58.6
164,A,37.0,Centro,0,88.29,104.2
624,A,45.0,Sur,0,19.97,222.7
421,A,40.0,Centro,0,132.7,63.9
961,B,32.0,Sureste,0,575.96,37.0
44,A,43.0,Norte,1,247.93,107.4
893,A,29.0,Sur,0,490.03,97.3
642,A,33.0,Sureste,0,288.88,87.6
681,A,36.0,Sur,0,226.28,43.0
688,A,39.0,Sur,0,323.3,130.9
328,A,34.0,Norte,0,1192.51,49.2
982,B,32.0,Centro,0,535.6,160.6
433,A,35.0,Sur,0,205.98,19.1
614,A,26.0,Centro,0,417.42,115.8
20,A,21.0,Centro,0,303.98,130.2
295,A,32.0,Norte,0,239.89,156.9
822,A,40.0,Norte,0,601.38,149.1
404,A,38.0,Occidente,0,328.18,380.7
598,A,40.0,Centro,1,109.79,91.8
1089,B,20.0,Centro,0,827.62,235.3
327,A,32.0,Norte,0,301.84,109.5
340,A,41.0,Norte,0,539.74,73.2
138,A,42.0,Occidente,1,499.54,36.8
702,A,39.0,Centro,0,39.94,41.1
186,A,25.0,Sur,1,1183.21,55.6
821,A,18.0,Sureste,0,826.49,51.7
317,A,37.0,Norte,0,159.4,142.6
986,B,28.0,Occidente,0,325.71,93.3
906,A,33.0,Norte,0,1193.45,70.0
770,A,20.0,Norte,1,111.46,48.2
557,A,26.0,Centro,0,357.84,102.3
400,A,48.0,Sureste,0,922.28,37.1
622,A,18.0,Norte,0,628.46,65.9
680,A,48.0,Norte,0,320.71,89.2
348,A,33.0,Occidente,0,72.15,104.3
669,A,18.0,Occidente,0,888.88,51.8
149,A,24.0,Occidente,0,1513.18,94.4
423,A,35.0,Occidente,0,740.94,87.6
816,A,26.0,Centro,0,132.79,89.4
652,A,38.0,Sur,0,1060.01,49.3
837,A,37.0,Centro,1,834.68,65.0
962,B,,Sur,0,796.48,15.1
572,A,33.0,Norte,1,390.44,211.6
819,A,34.0,Centro,0,243.01,63.5
807,A,39.0,Centro,0,74.17,101.8
723,A,46.0,Sur,1,382.11,53.6
233,A,37.0,Sur,0,334.03,120.9
515,A,48.0,Sur,0,332.01,112.3
351,A,35.0,Centro,0,437.72,64.6
159,A,53.0,Occidente,0,488.23,75.4
992,B,34.0,Occidente,0,95.85,70.5
257,A,39.0,Occidente,1,318.61,17.6
651,A,25.0,Centro,0,392.85,75.3
97,A,32.0,Sur,0,214.41,101.8
1095,B,21.0,Centro,0,87.28,119.2
991,B,23.0,Sureste,0,326.83,81.4
408,A,47.0,Sur,0,521.84,182.9
985,B,32.0,Sur,0,237.62,51.8
315,A,44.0,Occidente,0,331.31,6.5
936,A,27.0,Sureste,0,334.14,78.8
529,A,18.0,Sur,0,320.06,28.2
601,A,25.0,Sur,0,558.39,50.4
695,A,41.0,Occidente,0,260.66,213.3
250,A,26.0,Norte,0,336.36,46.6
494,A,39.0,Sureste,0,101.2,71.3
16,A,46.0,Occidente,0,1228.52,87.9
160,A,23.0,Centro,0,479.07,15.1
620,A,47.0,Occidente,0,69.12,112.1
1098,B,31.0,Occidente,1,609.57,139.1
49,A,30.0,Occidente,0,350.47,39.8
758,A,25.0,Sur,0,1035.4,162.7
492,A,30.0,Norte,0,447.75,61.0
885,A,51.0,Norte,0,197.99,60.4
113,A,37.0,Norte,1,265.77,176.6
952,B,32.0,Sur,0,518.65,84.5
586,A,50.0,Norte,0,522.88,231.3
749,A,49.0,Centro,0,445.81,46.4
463,A,39.0,Sur,0,416.51,176.2
692,A,49.0,Sur,0,428.96,250.1
729,A,66.0,Sureste,0,550.52,202.5
1080,B,27.0,Centro,0,156.93,56.9
832,A,36.0,Sur,0,266.66,26.8
128,A,48.0,Norte,0,510.23,99.9
786,A,28.0,Centro,0,326.49,27.4
801,A,28.0,Occidente,0,152.13,192.4
512,A,20.0,Centro,0,309.82,164.1
238,A,32.0,Occidente,0,786.8,56.6
168,A,34.0,Sureste,0,429.07,60.6
604,A,43.0,Centro,0,183.18,274.7
599,A,40.0,Sur,0,161.14,111.3
81,A,42.0,Norte,0,144.83,217.3
725,A,,Centro,0,814.47,71.2
301,A,35.0,Sureste,0,580.1,63.2
548,A,48.0,Sur,1,332.49,53.1
325,A,18.0,Centro,0,460.49,95.9
373,A,32.0,Norte,0,389.65,127.2
216,A,36.0,Occidente,0,219.57,18.9
432,A,19.0,Occidente,0,334.27,73.3
31,A,22.0,Sureste,0,89.11,
243,A,45.0,Norte,0,569.75,141.1
621,A,24.0,Occidente,0,595.86,72.9
769,A,30.0,Centro,0,140.26,83.5
849,A,32.0,Sureste,0,116.31,31.4
419,A,48.0,Sur,0,499.31,101.0
453,A,44.0,Centro,0,878.94,148.3
661,A,30.0,Sur,0,373.66,96.9
852,A,25.0,Norte,0,354.65,95.9
28,A,21.0,Centro,0,823.14,49.5
643,A,38.0,Sur,0,222.74,78.8
123,A,47.0,Centro,0,135.95,78.2
922,A,28.0,Norte,0,204.69,75.8
1057,B,36.0,Occidente,0,355.76,11.6
541,A,24.0,Centro,0,744.14,270.0
907,A,28.0,Centro,0,518.85,189.0
653,A,,Centro,0,121.34,104.2
644,A,34.0,Occidente,0,67.16,49.6
203,A,27.0,Centro,0,208.28,31.3
1114,B,30.0,Occidente,0,252.67,74.0
363,A,41.0,Sureste,0,284.28,55.5
272,A,28.0,Sur,0,757.9,86.7
768,A,30.0,Norte,0,470.31,27.6
273,A,28.0,Centro,1,212.62,14.9
278,A,35.0,Sur,0,1020.23,91.5
975,B,20.0,Norte,0,138.9,85.6
13,A,55.0,Centro,0,87.23,93.4
535,A,,Norte,0,680.68,240.5
930,A,47.0,Occidente,0,412.77,74.3
850,A,45.0,Occidente,0,1148.51,23.0
148,A,28.0,Sureste,0,880.13,123.8
300,A,36.0,Centro,0,198.07,107.3
116,A,38.0,Norte,0,1194.36,64.2
376,A,42.0,Norte,0,496.46,73.3
1027,B,32.0,Occidente,0,28.75,122.9
898,A,22.0,Sureste,0,523.32,54.7
672,A,,Sureste,0,557.5,150.3
178,A,44.0,Centro,0,271.26,108.3
472,A,21.0,Centro,0,85.0,422.5
52,A,39.0,Norte,0,197.17,171.1
934,A,41.0,Centro,1,434.92,121.4
1014,B,34.0,Sur,0,291.42,88.6
946,A,56.0,Sur,0,225.33,58.6
389,A,40.0,Sureste,0,268.89,251.6
23,A,35.0,Sur,0,273.37,83.8
591,A,18.0,Centro,0,14.38,53.7
656,A,25.0,Centro,0,295.84,112.2
931,A,64.0,Occidente,1,154.84,82.5
774,A,45.0,Centro,0,603.17,62.5
467,A,39.0,Norte,0,358.32,147.4
753,A,18.0,Sur,0,140.86,47.7
701,A,30.0,Centro,0,1170.48,71.2
838,A,36.0,Occidente,1,846.22,88.6
210,A,33.0,Centro,0,271.71,96.1
782,A,48.0,Centro,0,573.77,78.1
143,A,36.0,Sureste,1,302.38,87.9
51,A,26.0,Norte,0,325.97,29.8
352,A,42.0,Sureste,0,539.57,99.4
167,A,46.0,Occidente,0,818.22,142.5
763,A,33.0,Centro,0,899.19,44.4
987,B,33.0,Norte,0,818.12,65.4
82,A,,Centro,0,678.69,113.1
636,A,40.0,Centro,0,45.52,180.5
322,A,43.0,Centro,0,307.89,303.7
896,A,22.0,Occidente,0,66.04,176.9
1077,B,34.0,Norte,0,881.6,35.9
531,A,48.0,Norte,0,607.07,67.9
67,A,38.0,Sur,0,377.18,41.2
335,A,24.0,Norte,0,599.59,267.1
511,A,41.0,Centro,0,222.06,72.4
811,A,44.0,Occidente,0,429.07,55.8
290,A,32.0,Norte,0,716.15,93.3
1064,B,35.0,Norte,0,289.72,20.6
396,A,28.0,Sureste,0,640.24,94.1
659,A,37.0,Norte,0,221.28,108.8
284,A,30.0,Norte,1,67.27,10.5
418,A,42.0,Norte,0,224.82,49.1
870,A,33.0,Norte,0,141.62,86.3
1010,B,18.0,Occidente,0,555.71,19.7
362,A,36.0,Centro,1,318.78,50.1
956,B,30.0,Centro,0,107.0,15.1
65,A,28.0,Centro,0,227.64,105.8
800,A,34.0,Sur,0,450.25,139.0
792,A,40.0,Sur,0,204.14,64.4
265,A,24.0,Centro,1,362.7,35.5
619,A,47.0,Centro,0,567.64,54.5
663,A,37.0,Centro,0,591.66,
1112,B,26.0,Centro,0,520.48,117.8
21,A,49.0,Occidente,0,507.63,257.7
66,A,33.0,Centro,0,353.47,209.8
943,A,35.0,Sur,0,354.94,102.9
722,A,40.0,Sur,0,382.23,58.8
856,A,56.0,Sur,0,549.43,140.8
297,A,32.0,Centro,0,535.34,40.9
573,A,41.0,Centro,0,420.09,49.0
420,A,30.0,Centro,0,226.51,94.3
654,A,34.0,Centro,0,816.22,98.3
1060,B,49.0,Centro,1,194.63,76.0
439,A,46.0,Norte,0,595.38,106.1
262,A,19.0,Centro,0,385.61,22.0
308,A,30.0,Centro,0,256.21,189.1
443,A,35.0,Centro,0,224.0,82.0
805,A,39.0,Norte,0,156.0,24.1
717,A,51.0,Centro,0,161.93,44.0
499,A,24.0,Norte,0,1089.94,124.9
697,A,33.0,Norte,0,764.38,17.6
563,A,34.0,Occidente,0,563.3,347.9
603,A,41.0,Centro,0,962.25,9.3
1018,B,34.0,Sureste,0,356.67,112.7
189,A,22.0,Centro,0,352.78,224.5
1083,B,40.0,Sur,0,11571.12,42.4
252,A,25.0,Centro,0,65.75,92.5
72,A,32.0,Sur,0,781.76,113.7
102,A,38.0,Sur,0,297.72,91.7
618,A,20.0,Centro,1,142.66,52.3
200,A,36.0,Occidente,0,193.5,88.0
972,B,28.0,Sureste,0,1833.34,86.5
281,A,32.0,Occidente,0,148.19,34.2
913,A,36.0,Norte,0,808.3,39.9
1038,B,30.0,Sur,0,669.9,57.2
632,A,47.0,Sur,0,370.31,49.7
468,A,50.0,Centro,0,219.3,33.3
877,A,32.0,Sur,0,29.93,80.8
488,A,28.0,Occidente,0,153.53,259.1
152,A,39.0,Norte,0,168.56,192.5
526,A,47.0,Sur,0,752.09,42.7
331,A,33.0,Centro,0,1004.27,181.3
274,A,36.0,Centro,0,157.65,190.7
683,A,25.0,Norte,0,27.47,77.4
385,A,46.0,Centro,1,521.28,106.1
843,A,45.0,Sureste,0,495.06,57.4
452,A,31.0,Centro,0,118.51,49.6
366,A,56.0,Sur,1,150.93,47.7
282,A,39.0,Norte,0,1498.16,168.2
998,B,29.0,Centro,0,312.39,82.8
927,A,31.0,Centro,0,176.43,28.2
412,A,41.0,Sureste,0,107.52,56.5
757,A,31.0,Norte,0,104.24,77.8
894,A,43.0,Norte,0,155.39,100.7
1007,B,46.0,Centro,0,261.97,62.6
592,A,42.0,Centro,0,449.05,30.5
835,A,39.0,Sur,0,193.47,77.0
150,A,35.0,Sureste,1,829.33,411.5
133,A,30.0,Centro,0,291.8,74.2
208,A,35.0,Norte,1,950.92,9.0
667,A,47.0,Centro,0,496.69,93.2
219,A,53.0,Sur,0,128.55,201.8
240,A,34.0,Sur,0,753.25,125.3
921,A,37.0,Sur,0,166.29,97.2
193,A,32.0,Centro,0,849.05,108.6
192,A,24.0,Sureste,0,997.46,124.3
523,A,26.0,Centro,0,177.87,13.2
803,A,18.0,Norte,0,57.25,54.7
1129,B,28.0,Centro,0,547.66,46.4
628,A,18.0,Sureste,1,864.65,134.7
707,A,25.0,Norte,0,505.06,58.2
899,A,47.0,Sur,0,284.87,89.7
983,B,25.0,Norte,0,325.03,19.6
900,A,36.0,Norte,0,645.69,210.8
324,A,30.0,Norte,0,431.36,237.1
818,A,32.0,Sur,0,306.4,9.9
762,A,28.0,Norte,0,95.52,66.3
587,A,37.0,Norte,0,598.33,13.5
438,A,35.0,Norte,0,333.12,167.3
734,A,27.0,Centro,0,88.72,143.5
747,A,43.0,Centro,0,933.63,51.7
963,B,22.0,Sur,1,119.53,58.8
3,A,34.0,Norte,0,312.36,79.6
230,A,36.0,Centro,0,133.3,64.5
951,B,33.0,Sureste,0,384.95,119.0
1090,B,45.0,Sur,0,19.19,11.8
1085,B,38.0,Occidente,1,614.47,273.1
1042,B,30.0,Centro,0,760.85,44.1
372,A,26.0,Sur,1,63.65,132.9
181,A,42.0,Norte,0,104.97,32.2
633,A,44.0,Occidente,0,548.78,35.9
675,A,48.0,Sur,0,268.27,135.9
959,B,25.0,Centro,0,334.18,59.8
578,A,43.0,Sureste,0,657.3,53.6
897,A,54.0,Norte,0,283.22,21.9
1039,B,23.0,Occidente,1,374.18,105.5
854,A,37.0,Norte,0,99.93,94.3
789,A,23.0,Sureste,0,782.91,122.5
38,A,18.0,Sur,0,430.2,215.6
354,A,49.0,Centro,0,897.65,123.7
955,B,36.0,Centro,1,1359.02,104.3
237,A,26.0,Centro,0,333.81,60.0
829,A,27.0,Norte,0,117.6,30.5
500,A,33.0,Centro,1,172.12,70.6
554,A,18.0,Occidente,0,1829.74,64.2
56,A,33.0,Centro,0,137.12,129.2
303,A,47.0,Sur,0,524.1,74.2
287,A,25.0,Norte,0,243.23,161.0
220,A,46.0,Norte,1,1291.48,89.6
388,A,33.0,Sureste,0,409.7,28.9
658,A,36.0,Sureste,0,904.09,81.8
391,A,30.0,Occidente,0,635.57,53.9
353,A,36.0,Centro,0,621.98,130.3
194,A,32.0,Norte,0,1701.61,80.5
236,A,47.0,Occidente,0,572.76,90.5
883,A,26.0,Occidente,0,349.62,186.0
481,A,32.0,Centro,0,1597.41,48.1
568,A,34.0,Norte,0,764.88,116.4
117,A,43.0,Centro,0,321.66,172.1
855,A,30.0,Sureste,0,325.63,35.2
1045,B,28.0,Sur,0,228.76,216.4
682,A,36.0,Occidente,0,148.57,45.2
751,A,27.0,Norte,0,511.22,171.5
121,A,34.0,Centro,0,264.31,170.4
730,A,39.0,Centro,0,223.13,122.9
886,A,31.0,Centro,0,358.67,239.1
1075,B,41.0,Norte,0,3498.16,135.3
63,A,34.0,Centro,0,191.61,18.0
595,A,40.0,Norte,0,480.09,94.3
454,A,33.0,Centro,0,253.45,88.2
516,A,25.0,Norte,0,165.95,191.6
571,A,30.0,Centro,0,96.23,20.3
224,A,33.0,Occidente,0,432.91,123.0
222,A,43.0,Sureste,0,49.93,81.7
1051,B,43.0,Centro,0,533.21,75.9
466,A,32.0,Sur,0,301.49,196.3
53,A,31.0,Sur,1,600.31,43.9
1032,B,46.0,Sur,0,49.74,277.7
486,A,45.0,Occidente,1,668.35,195.7
1079,B,25.0,Norte,0,741.62,212.3
1084,B,29.0,Norte,0,453.83,48.7
156,A,37.0,Norte,0,203.12,99.1
813,A,28.0,Centro,0,96.65,54.8
783,A,39.0,Norte,0,695.61,138.7
249,A,35.0,Centro,0,177.76,189.0
442,A,48.0,Occidente,0,678.98,95.6
872,A,30.0,Occidente,0,228.18,11.5
1035,B,34.0,Sureste,0,220.64,97.7
543,A,39.0,Sur,0,374.04,19.8
118,A,42.0,Sureste,0,355.81,41.9
1004,B,22.0,Sur,0,16.69,216.8
817,A,33.0,Sureste,0,125.64,108.8
292,A,55.0,Sureste,0,309.07,198.9
1101,B,37.0,Norte,0,22.64,96.8
382,A,23.0,Norte,0,175.55,113.9
726,A,36.0,Norte,0,870.64,122.4
201,A,39.0,Sur,1,577.15,73.3
597,A,34.0,Occidente,0,557.1,67.2
873,A,18.0,Centro,0,462.93,15.4
1076,B,26.0,Occidente,0,38.15,187.3
1122,B,32.0,Sureste,0,316.67,90.2
506,A,42.0,Occidente,0,498.91,56.3
935,A,41.0,Norte,0,138.54,105.9
1125,B,23.0,Centro,0,394.63,96.1
341,A,41.0,Centro,0,85.38,191.5
155,A,49.0,Sureste,1,268.17,85.2
1043,B,28.0,Sur,0,378.71,91.3
1053,B,31.0,Sureste,0,229.34,128.9
890,A,18.0,Norte,0,363.83,108.4
960,B,19.0,Centro,0,622.45,139.0
323,A,51.0,Norte,1,261.09,226.4
733,A,32.0,Centro,0,139.02,120.5
713,A,57.0,Occidente,0,314.89,107.2
