fecha,ventas,unidades,categoria
2025-09-09,100.74,11,Ropa
2025-09-10,95.04,11,Ropa
2025-09-11,103.76,12,Electronica
2025-09-12,117.61,13,Ropa
2025-09-13,130.47,14,Alimentos
2025-09-14,96.32,11,Electronica
2025-09-15,92.31,10,Hogar
2025-09-16,93.51,9,Ropa
2025-09-17,100.67,11,Electronica
2025-09-18,99.84,11,Alimentos
2025-09-19,109.86,12,Electronica
2025-09-20,109.0,11,Electronica
2025-09-21,99.36,12,Alimentos
2025-09-22,83.18,7,Electronica
2025-09-23,90.01,10,Electronica
2025-09-24,96.59,10,Alimentos
2025-09-25,113.71,13,Electronica
2025-09-26,104.68,12,Alimentos
2025-09-27,110.85,13,Alimentos
2025-09-28,85.52,9,Electronica
2025-09-29,101.86,12,Ropa
2025-09-30,72.43,8,Electronica
2025-10-01,87.96,8,Alimentos
2025-10-02,117.96,15,Electronica
2025-10-03,110.84,11,Hogar
2025-10-04,106.83,12,Electronica
2025-10-05,88.14,10,Alimentos
2025-10-06,89.77,10,Electronica
2025-10-07,97.08,10,Electronica
2025-10-08,106.9,13,Ropa
2025-10-09,100.6,10,Ropa
2025-10-10,101.96,11,Hogar
2025-10-11,119.11,13,Electronica
2025-10-12,82.58,8,Electronica
2025-10-13,81.1,9,Ropa
2025-10-14,77.87,10,Ropa
2025-10-15,82.1,9,Hogar
2025-10-16,90.64,11,Hogar
2025-10-17,96.54,11,Hogar
2025-10-18,114.84,12,Electronica
2025-10-19,78.12,8,Ropa
2025-10-20,65.37,7,Alimentos
2025-10-21,81.94,8,Ropa
2025-10-22,88.81,10,Alimentos
2025-10-23,91.74,10,Electronica
2025-10-24,114.49,11,Ropa
2025-10-25,107.42,10,Hogar
2025-10-26,91.76,11,Electronica
2025-10-27,86.33,9,Hogar
2025-10-28,88.04,10,Ropa
2025-10-29,85.36,10,Electronica
2025-10-30,94.68,9,Electronica
2025-10-31,97.61,9,Electronica
2025-11-01,112.04,14,Ropa
2025-11-02,83.08,10,Electronica
2025-11-03,79.0,8,Alimentos
2025-11-04,94.44,10,Hogar
2025-11-05,93.37,10,Ropa
2025-11-06,91.14,9,Electronica
2025-11-07,103.18,12,Ropa
2025-11-08,109.47,11,Alimentos
2025-11-09,77.88,10,Ropa
2025-11-10,85.34,9,Electronica
2025-11-11,82.4,8,Ropa
2025-11-12,83.04,9,Ropa
2025-11-13,82.2,7,Ropa
2025-11-14,98.95,11,Electronica
2025-11-15,113.34,12,Hogar
2025-11-16,78.42,10,Electronica
2025-11-17,101.85,9,Electronica
2025-11-18,92.32,11,Electronica
2025-11-19,98.17,12,Ropa
2025-11-20,98.53,12,Ropa
2025-11-21,113.86,13,Electronica
2025-11-22,103.31,12,Ropa
2025-11-23,64.82,6,Alimentos
2025-11-24,80.56,10,Electronica
2025-11-25,89.53,9,Hogar
2025-11-26,89.63,8,Ropa
2025-11-27,94.44,9,Electronica
2025-11-28,109.7,12,Hogar
2025-11-29,111.08,12,Alimentos
2025-11-30,87.96,10,Ropa
2025-12-01,101.74,9,Alimentos
2025-12-02,102.61,9,Ropa
2025-12-03,124.55,15,Ropa
2025-12-05,120.83,12,Alimentos
2025-12-06,128.81,14,Electronica
2025-12-07,102.6,12,Alimentos
2025-12-08,103.16,12,Ropa
2025-12-09,101.13,11,Electronica
2025-12-10,102.6,12,Hogar
2025-12-11,115.74,12,Ropa
2025-12-12,120.95,13,Ropa
2025-12-13,140.85,16,Ropa
2025-12-14,109.16,12,Ropa
2025-12-15,109.98,12,Electronica
2025-12-16,104.93,12,Hogar
2025-12-17,112.31,13,Alimentos
2025-12-18,119.7,12,Alimentos
2025-12-19,130.22,15,Ropa
2025-12-20,132.58,14,Electronica
2025-12-21,114.82,13,Electronica
2025-12-22,108.36,12,Ropa
2025-12-23,115.9,13,Electronica
2025-12-24,109.97,10,Alimentos
2025-12-25,104.76,13,Hogar
2025-12-26,127.39,13,Ropa
2025-12-27,138.65,17,Ropa
2025-12-28,111.66,12,Alimentos
2025-12-29,111.66,12,Electronica
2025-12-30,108.34,14,Hogar
2025-12-31,108.21,12,Ropa
