fecha,ventas,unidades,promociones,temperatura,region
2024-10-28,112.96,8,0,15.5,Centro
2024-10-29,124.99,9,0,11.9,Sur
2024-10-30,142.09,11,0,13.5,Norte
2024-10-31,124.05,12,0,15.3,Centro
2024-11-01,150.64,13,0,13.1,Norte
2024-11-02,151.14,12,0,12.8,Centro
2024-11-03,125.26,9,0,15.3,Este
2024-11-04,122.08,9,0,13.1,Centro
2024-11-05,143.56,12,0,15.2,Centro
2024-11-06,136.68,12,0,14.1,Centro
2024-11-07,123.34,9,0,12.9,Oeste
2024-11-08,158.01,13,0,14.1,Este
2024-11-09,150.4,10,0,13.8,Oeste
2024-11-10,117.23,10,0,14.8,Sur
2024-11-11,128.0,11,0,12.5,Sur
2024-11-12,122.82,9,0,13.3,Norte
2024-11-13,139.54,13,0,13.1,Oeste
2024-11-14,127.75,9,0,14.3,Norte
2024-11-15,181.92,15,1,11.6,Centro
2024-11-16,188.25,15,1,14.7,Sur
2024-11-17,116.54,9,0,13.8,Norte
2024-11-18,135.1,11,0,11.1,Centro
2024-11-19,133.32,11,0,14.9,Centro
2024-11-20,179.14,15,1,16.4,Centro
2024-11-21,157.57,14,0,14.6,Este
2024-11-22,174.83,14,1,15.2,Centro
2024-11-23,157.5,14,0,13.2,Este
2024-11-24,110.0,8,0,10.5,Norte
2024-11-25,115.95,10,0,10.2,Este
2024-11-26,120.4,9,0,13.4,Centro
2024-11-27,119.12,11,0,12.1,Oeste
2024-11-28,124.17,13,0,11.6,Norte
2024-11-29,179.02,14,1,12.9,Centro
2024-11-30,144.53,9,0,13.9,Centro
2024-12-01,170.14,13,0,10.8,Centro
2024-12-02,154.57,14,0,12.3,Centro
2024-12-03,194.88,16,0,15.3,Este
2024-12-04,165.31,14,0,11.4,Oeste
2024-12-05,202.96,17,1,14.3,Sur
2024-12-06,176.99,15,0,12.3,Norte
2024-12-07,254.66,22,1,13.9,Norte
2024-12-08,209.1,18,1,14.7,Este
2024-12-09,167.15,15,0,14.2,Este
2024-12-10,153.81,13,0,14.5,Centro
2024-12-11,172.49,15,0,11.4,Oeste
2024-12-12,203.62,16,1,14.8,Centro
2024-12-13,205.24,16,0,11.9,Este
2024-12-14,205.84,19,0,13.6,Oeste
2024-12-15,163.84,13,0,13.6,Este
2024-12-16,140.67,12,0,14.0,Centro
2024-12-17,158.36,13,0,13.8,Sur
2024-12-18,178.24,14,0,12.1,Centro
2024-12-19,188.67,15,0,11.3,Este
2024-12-20,202.82,18,0,14.7,Centro
2024-12-21,183.0,15,0,13.7,Sur
2024-12-22,167.14,11,0,15.2,Oeste
2024-12-23,176.49,14,0,13.4,Centro
2024-12-24,152.97,14,0,11.4,Centro
2024-12-25,172.7,14,0,15.0,Sur
2024-12-26,227.39,16,1,13.1,Norte
2024-12-27,190.26,17,0,14.2,Centro
2024-12-28,182.0,15,0,12.8,Centro
2024-12-29,162.53,13,0,16.3,Norte
2024-12-30,164.79,13,0,12.5,Sur
2024-12-31,169.86,15,0,13.4,Sur
2025-01-01,128.92,10,0,14.1,Centro
2025-01-02,135.41,12,0,12.3,Norte
2025-01-03,154.75,13,0,14.5,Centro
2025-01-04,166.88,14,0,16.5,Centro
2025-01-05,124.73,10,0,13.4,Este
2025-01-06,126.0,10,0,14.8,Centro
2025-01-07,134.36,12,0,10.1,Norte
2025-01-08,117.57,8,0,14.3,Oeste
2025-01-09,146.9,10,0,13.9,Norte
2025-01-10,157.49,13,0,13.2,Sur
2025-01-11,165.26,14,0,16.1,Centro
2025-01-12,139.85,12,0,14.1,Centro
2025-01-13,113.1,10,0,14.4,Centro
2025-01-14,116.28,9,0,14.2,Este
2025-01-15,142.16,12,0,11.9,Este
2025-01-16,144.76,12,0,13.2,Centro
2025-01-17,161.95,12,0,16.4,Centro
2025-01-18,163.05,13,0,11.9,Centro
2025-01-19,139.75,14,0,14.0,Sur
2025-01-20,168.69,11,1,14.6,Sur
2025-01-21,143.84,12,0,17.9,Sur
2025-01-22,180.07,12,1,16.5,Oeste
2025-01-23,126.84,10,0,14.6,Centro
2025-01-24,171.08,13,0,17.5,Sur
2025-01-25,183.08,12,0,14.5,Sur
2025-01-26,142.8,12,0,17.2,Centro
2025-01-27,130.05,10,0,13.7,Oeste
2025-01-28,149.08,9,0,17.5,Centro
2025-01-29,154.45,13,0,15.3,Este
2025-01-30,166.95,15,0,14.5,Este
2025-01-31,158.12,14,0,15.8,Oeste
2025-02-01,172.14,14,0,16.6,Norte
2025-02-02,147.41,12,0,15.6,Centro
2025-02-03,143.06,13,0,17.2,Este
2025-02-04,134.85,13,0,15.6,Este
2025-02-05,153.73,14,0,17.5,Norte
2025-02-06,160.92,12,0,17.4,Este
2025-02-07,171.58,14,0,16.7,Centro
2025-02-08,221.07,18,1,16.2,Sur
2025-02-09,141.26,9,0,17.2,Oeste
2025-02-10,161.21,13,0,17.9,Centro
2025-02-11,141.01,14,0,20.3,Norte
2025-02-12,147.74,13,0,18.7,Oeste
2025-02-13,206.22,18,1,,Este
2025-02-14,183.6,15,0,22.1,Oeste
2025-02-15,167.44,13,0,18.3,Centro
2025-02-16,134.93,11,0,18.4,Oeste
2025-02-17,130.27,9,0,18.8,Centro
2025-02-18,154.6,11,0,16.4,Norte
2025-02-19,146.71,13,0,17.3,Norte
2025-02-20,159.68,14,0,17.3,Este
2025-02-21,185.78,14,0,19.1,Oeste
2025-02-22,180.39,16,0,18.0,Este
2025-02-23,154.76,12,0,18.6,Sur
2025-02-24,152.1,13,0,20.1,Norte
2025-02-25,165.46,14,0,19.9,Norte
2025-02-26,167.15,15,0,18.4,Norte
2025-02-27,161.14,13,0,17.8,Centro
2025-02-28,182.03,16,0,20.6,Norte
2025-03-01,201.82,17,0,20.2,Oeste
2025-03-02,160.98,14,0,16.7,Este
2025-03-03,145.75,11,0,18.7,Este
2025-03-04,169.95,16,0,19.6,Centro
2025-03-05,156.22,13,0,20.6,Norte
2025-03-06,186.87,16,0,20.9,Centro
2025-03-07,198.67,14,0,20.0,Centro
2025-03-08,199.01,15,0,20.6,Norte
2025-03-09,163.36,15,0,19.9,Centro
2025-03-10,162.39,13,0,18.9,Centro
2025-03-11,174.95,12,0,19.6,Sur
2025-03-12,168.15,15,0,20.2,Norte
2025-03-13,179.9,14,0,20.2,Norte
2025-03-14,201.96,18,0,17.5,Centro
2025-03-15,195.31,16,0,19.8,Norte
2025-03-16,160.46,13,0,20.6,Norte
2025-03-17,157.37,14,0,20.2,Norte
2025-03-18,162.37,12,0,20.4,Sur
2025-03-19,158.42,11,0,21.6,Centro
2025-03-20,189.7,15,0,19.3,Oeste
2025-03-21,216.19,18,0,18.6,Centro
2025-03-22,251.98,19,1,20.6,Norte
2025-03-23,155.23,10,0,22.4,Centro
2025-03-24,181.44,16,0,23.8,Norte
2025-03-25,192.1,15,0,22.6,Centro
2025-03-26,177.01,14,0,19.3,Oeste
2025-03-27,188.29,13,0,21.2,Centro
2025-03-28,182.88,14,0,22.1,Sur
2025-03-29,213.32,17,0,22.0,Centro
2025-03-30,165.71,14,0,22.7,Centro
2025-03-31,181.03,14,0,20.6,Norte
2025-04-01,213.89,19,1,22.1,Norte
2025-04-02,191.84,15,0,22.8,Norte
2025-04-03,202.34,15,0,23.5,Oeste
2025-04-04,199.94,18,0,21.1,Este
2025-04-05,204.09,17,0,21.9,Oeste
2025-04-06,159.57,12,0,18.4,Centro
2025-04-07,181.14,14,0,21.6,Este
2025-04-08,181.67,16,0,21.9,Sur
2025-04-09,175.64,16,0,21.2,Sur
2025-04-10,201.35,15,0,23.1,Oeste
2025-04-11,207.98,17,0,22.8,Sur
2025-04-12,209.39,17,0,19.6,Oeste
2025-04-13,180.26,13,0,23.4,Este
2025-04-14,199.17,16,0,21.7,Centro
2025-04-15,198.14,16,0,23.9,Sur
2025-04-16,194.45,17,0,21.3,Norte
2025-04-17,207.59,18,0,23.4,Oeste
2025-04-18,205.43,16,0,23.0,Este
2025-04-19,225.0,18,0,23.9,Centro
2025-04-20,191.78,16,0,23.7,Centro
2025-04-21,188.23,14,0,23.2,Centro
2025-04-22,200.91,17,0,21.4,Norte
2025-04-23,192.37,15,0,21.5,Centro
2025-04-24,210.88,16,0,22.9,Este
2025-04-25,226.91,17,0,23.9,Sur
2025-04-26,199.82,18,0,23.0,Este
2025-04-27,206.49,16,0,24.9,Centro
2025-04-28,166.71,15,0,23.6,Norte
2025-04-29,194.61,15,0,22.6,Centro
2025-04-30,214.61,18,0,23.7,Oeste
2025-05-01,206.75,19,0,24.5,Centro
2025-05-02,210.84,16,0,24.7,Centro
2025-05-03,222.12,15,0,27.1,Centro
2025-05-04,208.89,18,0,23.3,Este
2025-05-05,181.96,14,0,24.3,Centro
2025-05-06,216.01,17,0,,Sur
2025-05-07,207.71,16,0,24.4,Este
2025-05-08,201.87,16,0,23.8,Este
2025-05-09,223.49,17,0,22.2,Centro
2025-05-10,226.67,18,0,23.8,Centro
2025-05-11,211.01,17,0,23.0,Norte
2025-05-12,212.18,16,0,22.1,Centro
2025-05-13,191.17,14,0,23.5,Sur
2025-05-14,207.81,16,0,23.2,Centro
2025-05-15,208.7,15,0,25.6,Norte
2025-05-16,245.75,19,0,25.7,Centro
2025-05-17,226.78,18,0,23.5,Sur
2025-05-18,221.79,17,0,24.5,Centro
2025-05-19,207.87,16,0,22.1,Sur
2025-05-20,200.03,16,0,24.1,Centro
2025-05-21,208.32,16,0,25.5,Oeste
2025-05-22,212.51,18,0,26.2,Sur
2025-05-23,223.21,20,0,23.9,Centro
2025-05-24,244.32,19,0,26.5,Centro
2025-05-25,196.5,16,0,22.7,Centro
2025-05-26,189.38,15,0,23.1,Centro
2025-05-27,210.78,17,0,26.0,Centro
2025-05-28,199.93,18,0,27.5,Oeste
2025-05-29,215.82,18,0,25.7,Sur
2025-05-30,229.62,16,0,24.9,Centro
2025-05-31,237.35,20,0,21.7,Sur
2025-06-01,231.43,20,0,22.0,Centro
2025-06-02,214.33,17,0,25.2,Oeste
2025-06-03,219.55,19,0,24.5,Centro
2025-06-04,202.66,15,0,23.3,Este
2025-06-05,219.21,16,0,25.1,Este
2025-06-06,243.21,20,0,25.1,Centro
2025-06-07,238.11,17,0,26.4,Centro
2025-06-08,222.73,18,0,25.2,Centro
2025-06-09,203.91,18,0,26.8,Oeste
2025-06-10,246.73,17,1,24.9,Norte
2025-06-11,256.09,19,1,24.7,Sur
2025-06-12,229.38,17,0,26.5,Este
2025-06-13,236.58,19,0,23.4,Este
2025-06-14,247.51,19,0,29.1,Norte
2025-06-15,213.09,19,0,25.4,Norte
2025-06-16,210.33,18,0,25.4,Este
2025-06-17,225.74,19,0,25.5,Centro
2025-06-18,226.48,18,0,27.5,Oeste
2025-06-19,228.41,19,0,25.9,Centro
2025-06-20,240.17,18,0,22.3,Centro
2025-06-21,259.62,22,0,26.7,Este
2025-06-22,214.47,16,0,24.1,Centro
2025-06-23,215.92,18,0,24.7,Centro
2025-06-24,250.18,21,1,22.6,Centro
2025-06-25,242.25,20,0,25.3,Norte
2025-06-26,217.01,17,0,23.4,Este
2025-06-27,296.6,24,1,24.5,Centro
2025-06-28,233.73,15,0,23.9,Centro
2025-06-29,219.94,18,0,27.2,Norte
2025-06-30,235.62,19,0,27.2,Oeste
2025-07-01,227.84,18,0,24.3,Centro
2025-07-02,227.74,19,0,24.2,Oeste
2025-07-03,225.5,18,0,23.5,Oeste
2025-07-04,246.48,18,0,25.7,Centro
2025-07-05,250.71,20,0,23.5,Este
2025-07-06,210.41,17,0,23.3,Sur
2025-07-07,217.41,18,0,25.3,Norte
2025-07-08,225.33,18,0,23.0,Norte
2025-07-09,218.69,19,0,23.7,Este
2025-07-10,223.31,17,0,21.3,Este
2025-07-11,232.78,19,0,24.6,Este
2025-07-12,257.28,22,0,26.4,Oeste
2025-07-13,223.82,16,0,24.5,Norte
2025-07-14,222.66,18,0,25.6,Este
2025-07-15,232.97,18,0,22.0,Oeste
2025-07-16,227.16,18,0,23.6,Centro
2025-07-17,235.15,18,0,21.8,Centro
2025-07-18,249.22,20,0,22.8,Norte
2025-07-19,252.21,22,0,24.2,Oeste
2025-07-20,212.74,16,0,23.1,Centro
2025-07-21,242.12,18,0,20.7,Este
2025-07-22,218.37,16,0,20.8,Centro
2025-07-23,219.14,20,0,20.6,Centro
2025-07-24,235.04,18,0,23.4,Sur
2025-07-25,248.11,20,0,25.6,Centro
2025-07-26,238.43,19,0,24.5,Oeste
2025-07-27,228.59,17,0,19.5,Centro
2025-07-28,218.29,17,0,24.4,Oeste
2025-07-29,210.99,20,0,23.6,Centro
2025-07-30,236.84,21,0,19.8,Oeste
2025-07-31,236.06,18,0,21.6,Sur
2025-08-01,232.01,19,0,23.6,Centro
2025-08-02,269.26,21,0,22.7,Centro
2025-08-03,222.91,16,0,19.8,Centro
2025-08-04,218.04,19,0,22.6,Sur
2025-08-05,236.86,20,0,18.4,Este
2025-08-06,225.37,19,0,21.1,Norte
2025-08-07,228.3,18,0,23.1,Norte
2025-08-08,236.78,19,0,21.3,Sur
2025-08-09,255.99,21,0,20.4,Norte
2025-08-10,219.73,18,0,22.4,Sur
2025-08-11,216.89,17,0,22.4,Norte
2025-08-12,211.62,15,0,22.9,Este
2025-08-13,223.59,18,0,22.1,Oeste
2025-08-14,226.36,19,0,22.3,Centro
2025-08-15,228.48,17,0,21.7,Centro
2025-08-16,233.85,19,0,20.9,Centro
2025-08-17,218.97,18,0,20.5,Sur
2025-08-18,189.05,16,0,19.9,Centro
2025-08-19,219.86,19,0,18.4,Oeste
2025-08-20,215.76,16,0,18.7,Sur
2025-08-21,265.64,19,1,19.6,Norte
2025-08-22,235.07,18,0,20.2,Este
2025-08-23,253.32,21,0,21.9,Centro
2025-08-24,207.48,16,0,19.6,Este
2025-08-25,214.3,16,0,21.1,Centro
2025-08-26,223.24,16,0,21.1,Sur
2025-08-27,229.11,20,1,19.0,Oeste
2025-08-28,233.25,20,0,20.2,Este
2025-08-29,228.05,19,0,18.8,Oeste
