id_venta,id_cliente,id_producto,fecha,cantidad
1151,5,111,2025-02-22,5
1152,18,101,2025-04-29,2
1153,3,103,2025-06-13,5
1154,20,103,2025-01-07,5
1155,19,113,2025-01-01,2
1156,3,101,2025-01-01,3
1157,9005,107,2025-01-29,3
1158,13,109,2025-01-10,4
1159,24,108,2025-05-28,4
1160,2,111,2025-04-20,5
1161,6,113,2025-06-26,2
1162,15,106,2025-05-25,3
1163,6,113,2025-06-23,3
1164,10,105,2025-02-12,5
1165,20,115,2025-02-21,2
1166,5,108,2025-06-02,3
1167,21,112,2025-02-14,1
1168,4,114,2025-01-11,5
1169,6,112,2025-05-01,2
1170,18,113,2025-05-25,2
1171,24,109,2025-06-24,3
1172,6,101,2025-06-17,3
1173,9,108,2025-01-22,5
1174,28,103,2025-05-19,3
1175,30,114,2025-06-02,3
1176,18,104,2025-05-06,1
1177,14,104,2025-05-28,1
1178,11,104,2025-05-31,2
1179,19,110,2025-03-22,5
1180,18,109,2025-01-08,5
1181,9,115,2025-03-24,4
1182,1,107,2025-02-06,4
1183,5,105,2025-01-21,2
1184,29,101,2025-01-23,1
1185,13,101,2025-05-06,1
1186,15,106,2025-04-01,2
1187,15,114,2025-04-08,2
1188,24,108,2025-05-15,1
1189,2,114,2025-04-09,2
1190,3,102,2025-04-24,1
1191,9,102,2025-01-16,4
1192,15,113,2025-06-03,5
1193,21,102,2025-03-22,4
1194,15,101,2025-01-28,3
1195,14,107,2025-05-27,3
1196,29,114,2025-05-13,2
1197,9003,111,2025-01-10,1
1198,18,102,2025-02-04,3
1199,17,113,2025-01-03,3
1200,15,113,2025-02-18,1
1201,25,113,2025-01-18,3
1202,9,114,2025-05-08,2
1203,29,104,2025-04-05,1
1204,10,115,2025-06-26,4
1205,17,105,2025-05-15,3
1206,16,113,2025-04-21,4
1207,26,109,2025-04-02,4
1208,14,112,2025-01-10,5
1209,9,110,2025-01-13,5
1210,1,110,2025-04-21,4
1211,11,110,2025-01-01,5
1212,25,112,2025-01-08,3
1213,1,112,2025-02-09,5
1214,27,103,2025-06-09,4
1215,17,500,2025-03-24,4
1216,5,109,2025-05-08,5
1217,10,105,2025-03-16,3
1218,17,108,2025-02-01,4
1219,10,115,2025-03-08,2
1220,4,113,2025-01-17,5
1221,20,113,2025-05-19,4
1222,21,107,2025-02-03,4
1223,4,112,2025-03-09,3
1224,9,106,2025-06-26,5
1225,8,111,2025-04-17,1
1226,20,110,2025-03-24,1
1227,22,104,2025-04-08,3
1228,22,104,2025-05-22,4
1229,29,101,2025-02-15,5
1230,24,103,2025-04-25,3
1231,10,107,2025-06-07,4
1232,4,108,2025-04-14,3
1233,19,103,2025-03-22,5
1234,9000,107,2025-01-27,4
1235,30,110,2025-02-14,3
1236,7,104,2025-06-20,5
1237,8,106,2025-04-08,1
1238,2,106,2025-02-24,5
1239,5,108,2025-03-17,1
1240,17,106,2025-04-15,2
1241,17,112,2025-04-07,5
1242,12,105,2025-05-06,4
1243,10,507,2025-02-16,5
1244,25,106,2025-04-27,4
1245,14,103,2025-03-21,4
1246,25,111,2025-06-19,2
1247,29,104,2025-01-29,1
1248,10,105,2025-01-27,1
1249,7,112,2025-03-25,2
1250,29,115,2025-04-02,1
1251,20,111,2025-05-05,3
1252,9,114,2025-03-14,4
1253,19,113,2025-06-14,5
1254,9008,108,2025-03-27,3
1255,28,112,2025-01-24,5
1256,8,105,2025-01-22,5
1257,30,107,2025-06-25,5
1258,29,109,2025-01-25,3
1259,6,115,2025-06-20,2
1260,5,113,2025-02-20,5
1261,16,108,2025-01-17,2
1262,2,110,2025-02-24,3
1263,9,104,2025-04-21,1
1264,14,113,2025-03-19,4
1265,30,109,2025-05-22,4
1266,30,108,2025-04-20,1
1267,5,112,2025-03-14,2
1268,27,110,2025-04-25,3
1269,3,102,2025-06-24,3
1270,23,105,2025-03-16,5
1271,26,103,2025-01-28,2
1272,27,112,2025-03-15,5
1273,7,101,2025-06-01,3
1274,27,104,2025-02-09,5
1275,4,109,2025-06-20,2
1276,16,111,2025-04-16,1
1277,15,108,2025-04-19,1
1278,10,113,2025-02-27,2
1279,1,114,2025-06-15,5
1280,24,102,2025-01-07,1
1281,11,115,2025-02-23,2
1282,20,110,2025-03-17,1
1283,13,110,2025-03-27,5
1284,12,102,2025-03-27,4
1285,27,110,2025-01-27,4
1286,3,111,2025-02-10,4
1287,23,109,2025-01-18,4
1288,23,102,2025-04-14,4
1289,12,108,2025-03-05,1
1290,8,115,2025-04-12,5
1291,1,111,2025-04-17,4
1292,29,103,2025-05-07,4
1293,29,115,2025-04-09,2
1294,8,115,2025-04-27,5
1295,1,103,2025-04-16,2
1296,4,113,2025-04-28,1
1297,3,107,2025-04-21,5
1298,25,109,2025-02-26,2
1299,27,107,2025-02-14,1
1300,5,112,2025-05-22,4
