metros,habitaciones,banios,antiguedad,distancia_centro,precio
102.7,3,2.0,13,4.6,2599000
77.4,1,1.0,8,0.8,1606000
164.4,4,1.0,6,2.3,3962000
154.0,4,2.0,18,15.5,3600000
92.6,2,2.0,3,5.6,2429000
140.9,3,1.0,19,3.7,3199000
47.1,3,2.0,19,0.5,1224000
123.3,4,2.0,8,8.8,3213000
135.4,4,1.0,14,8.5,3165000
191.8,3,2.0,10,6.7,4165000
80.3,4,,4,5.0,2497000
57.5,4,2.0,18,4.0,2202000
74.7,3,2.0,17,6.3,1949000
54.9,2,2.0,9,1.9,1536000
175.1,4,2.0,44,19.8,3573000
184.7,2,4.0,12,6.2,3820000
129.4,3,2.0,2,2.6,2915000
170.0,4,1.0,24,4.2,3465000
121.0,4,2.0,21,11.5,2992000
110.7,3,3.0,22,1.2,3086000
100.0,2,1.0,5,2.4,2673000
101.0,3,4.0,14,8.0,2506000
45.3,2,4.0,12,2.7,1539000
126.9,2,1.0,11,11.0,2912000
113.2,4,4.0,28,1.0,3075000
148.5,2,2.0,12,10.1,3194000
119.2,3,3.0,9,0.5,2931000
107.7,3,2.0,9,0.3,2886000
75.8,5,2.0,5,16.0,2122000
118.2,3,2.0,13,6.1,2891000
148.2,1,3.0,30,3.0,3153000
63.5,2,1.0,9,1.9,1702000
118.9,3,2.0,15,6.7,2939000
125.5,3,,11,5.0,2890000
82.7,3,2.0,11,33.5,1868000
88.5,3,2.0,21,28.6,2076000
125.4,1,2.0,5,7.1,2427000
64.0,3,2.0,3,4.1,2020000
130.7,3,1.0,24,4.7,3068000
74.7,2,1.0,8,8.0,1735000
162.8,2,1.0,9,0.7,3300000
220.2,2,2.0,50,2.8,4249000
76.3,2,4.0,20,0.5,2105000
139.0,3,1.0,6,0.5,3215000
82.3,2,4.0,25,1.5,2450000
161.8,2,3.0,21,4.6,3734000
58.1,2,2.0,0,10.8,1763000
136.6,5,2.0,14,4.7,3444000
75.7,4,3.0,5,2.9,2196000
105.7,2,1.0,11,0.6,2706000
68.6,2,2.0,44,5.6,1653000
152.0,2,2.0,22,2.2,3312000
77.3,3,2.0,24,6.7,2152000
139.8,1,3.0,11,26.5,2821000
99.5,4,1.0,24,0.8,2742000
109.8,3,2.0,7,1.7,2802000
121.6,4,2.0,13,4.5,3186000
80.7,2,2.0,21,24.2,1896000
124.5,4,2.0,21,10.3,2990000
183.9,4,2.0,3,16.0,4065000
80.0,2,3.0,38,2.8,2005000
167.7,3,2.0,6,33.8,3252000
182.4,2,3.0,50,0.8,3620000
78.3,2,2.0,22,0.4,2112000
49.5,2,1.0,20,13.5,1102000
128.6,3,1.0,6,18.3,2773000
90.4,3,1.0,8,0.7,2152000
199.1,5,2.0,36,0.8,4397000
116.6,2,2.0,33,0.3,2598000
78.9,5,3.0,11,0.8,2472000
63.4,2,3.0,10,1.6,1614000
164.0,4,1.0,10,24.6,3496000
89.3,2,1.0,25,7.7,1880000
117.0,2,1.0,24,10.6,2394000
158.0,4,2.0,16,10.5,3718000
93.2,2,1.0,14,5.4,2317000
112.9,3,1.0,11,11.2,2398000
114.3,3,4.0,50,6.3,3005000
145.7,3,3.0,4,2.6,3355000
141.6,3,1.0,9,5.8,3070000
105.1,4,2.0,15,5.3,2582000
117.9,2,2.0,3,12.1,2662000
98.3,3,3.0,8,28.0,2680000
48.5,4,2.0,44,3.7,1392000
126.6,1,1.0,23,10.1,2203000
200.1,2,3.0,8,0.7,4293000
75.2,4,2.0,8,10.5,2272000
80.2,3,1.0,4,3.3,2142000
75.8,3,2.0,9,0.3,2235000
147.6,2,2.0,18,3.2,3015000
135.2,3,2.0,16,6.6,2945000
107.9,2,1.0,9,0.9,2501000
73.7,3,2.0,6,18.0,2236000
119.2,4,1.0,11,0.6,3044000
44.6,2,3.0,10,18.6,1457000
121.5,3,1.0,21,8.6,2572000
154.2,5,1.0,14,2.8,3743000
58.7,4,2.0,13,3.5,1747000
46.0,4,3.0,27,9.5,1965000
186.1,3,3.0,33,6.4,3837000
87.5,4,2.0,16,7.8,2263000
166.1,1,1.0,16,3.5,3074000
108.1,2,3.0,11,4.7,2606000
107.7,2,2.0,6,32.1,2290000
134.7,3,1.0,22,1.7,3275000
75.2,4,4.0,19,3.8,2474000
121.0,2,1.0,12,2.4,2559000
97.8,3,4.0,14,10.1,2707000
55.6,4,3.0,26,10.1,1649000
130.2,3,2.0,29,2.4,2882000
103.2,3,4.0,1,0.6,2816000
107.9,3,3.0,7,0.3,2603000
60.5,2,1.0,12,3.9,1783000
186.6,2,2.0,5,3.7,4288000
154.5,5,1.0,15,31.2,3374000
158.4,2,2.0,8,4.4,3308000
101.3,1,3.0,15,2.1,2321000
37.2,4,2.0,8,15.5,1382000
202.9,2,2.0,8,4.7,4230000
112.3,3,2.0,15,6.4,2489000
81.3,2,3.0,23,0.7,2165000
133.8,3,1.0,18,3.4,3323000
167.5,2,2.0,12,20.2,3094000
114.0,2,1.0,2,6.2,2380000
172.5,3,2.0,8,3.0,3740000
163.7,4,1.0,7,6.9,3778000
66.6,3,2.0,20,16.9,1930000
84.7,5,1.0,14,2.2,2594000
158.1,1,1.0,14,4.9,2894000
30.0,3,4.0,6,22.3,1194000
108.3,3,1.0,29,1.3,2404000
50.6,5,2.0,14,8.9,1872000
93.6,1,1.0,6,6.7,2053000
101.6,3,2.0,6,8.0,2314000
98.9,4,2.0,15,3.0,2566000
90.1,2,2.0,6,2.6,2333000
65.6,4,1.0,7,8.1,1863000
218.1,1,2.0,5,1.7,4320000
199.0,4,2.0,20,3.8,4634000
62.7,5,3.0,6,1.5,2584000
186.2,3,2.0,32,0.3,3638000
97.0,3,2.0,17,24.6,2280000
120.8,1,1.0,5,4.0,3021000
112.2,5,1.0,18,24.4,2807000
85.3,3,1.0,29,1.1,2151000
159.3,1,1.0,11,6.2,3395000
120.7,4,1.0,32,1.6,2926000
93.6,3,2.0,17,10.9,2439000
56.3,2,2.0,8,10.7,1535000
74.8,2,4.0,44,0.8,2027000
41.1,1,1.0,4,17.0,1114000
115.6,3,2.0,9,1.5,2964000
61.2,3,3.0,12,6.6,1822000
103.0,3,2.0,40,29.7,2160000
176.7,4,1.0,20,15.0,3488000
169.0,4,1.0,18,22.0,3544000
113.5,3,1.0,7,2.9,2861000
111.1,1,1.0,11,0.8,2464000
199.6,4,3.0,8,1.5,4355000
138.4,3,1.0,18,4.9,2780000
100.2,3,1.0,26,11.0,2308000
50.8,3,3.0,50,1.1,1762000
132.7,3,3.0,9,7.5,3069000
152.3,5,2.0,4,2.7,3525000
86.6,2,2.0,10,2.9,2067000
128.1,4,2.0,24,7.6,3124000
98.6,1,1.0,6,4.4,2357000
106.7,5,2.0,12,11.7,2805000
30.0,2,2.0,18,1.2,1325000
105.0,2,,9,10.9,2716000
158.6,2,1.0,14,0.5,3165000
86.6,3,2.0,6,1.5,2529000
117.4,2,2.0,28,7.5,2638000
81.0,3,2.0,10,13.5,1915000
131.2,3,1.0,14,2.0,3282000
105.3,1,1.0,2,2.8,2285000
72.7,2,3.0,5,5.4,1679000
175.0,4,2.0,23,1.7,3837000
156.8,4,2.0,9,11.7,3442000
87.8,4,1.0,6,10.4,2226000
137.4,4,1.0,3,1.1,3227000
139.2,2,2.0,27,4.4,2963000
143.9,2,3.0,20,10.4,3086000
38.8,2,4.0,19,2.9,1425000
160.3,4,2.0,34,7.0,3697000
89.4,5,2.0,10,0.4,2533000
98.9,3,3.0,4,6.6,2770000
233.7,1,2.0,13,1.2,4404000
128.6,2,2.0,39,12.4,2799000
97.6,2,1.0,13,3.1,2529000
30.0,3,3.0,26,2.3,1302000
177.5,1,2.0,4,12.9,3576000
54.5,5,3.0,7,0.4,1974000
69.8,3,3.0,23,3.5,4281200
100.1,5,1.0,14,3.2,2976000
178.7,4,3.0,11,2.3,4250000
149.8,4,3.0,26,17.0,3502000
107.9,3,2.0,22,9.7,2257000
128.9,3,1.0,14,0.5,2858000
88.0,3,1.0,1,8.8,2510000
121.3,3,2.0,12,5.2,2946000
118.3,3,2.0,17,16.2,2796000
158.6,5,2.0,2,2.6,3902000
158.5,4,1.0,16,6.0,3476000
137.2,4,3.0,26,4.9,3376000
98.7,4,1.0,12,4.7,2310000
148.4,2,1.0,5,4.3,2917000
110.9,2,2.0,1,1.6,2515000
66.3,3,2.0,16,9.9,1891000
96.9,3,1.0,3,4.2,2170000
118.8,4,1.0,19,22.3,2741000
156.0,3,1.0,37,2.1,3186000
106.7,3,3.0,7,8.0,2556000
60.6,3,,10,19.8,1977000
117.6,1,2.0,39,7.6,2417000
120.1,3,3.0,13,14.4,2703000
123.4,4,3.0,9,12.3,3109000
156.4,2,1.0,24,3.1,3018000
160.9,3,4.0,9,6.4,3785000
88.3,3,3.0,7,1.2,2610000
87.3,2,1.0,18,5.4,2152000
68.2,2,1.0,25,1.8,2063000
146.4,5,1.0,7,9.5,3195000
180.2,3,1.0,14,5.3,3848000
100.8,2,3.0,11,3.7,2259000
104.1,2,2.0,12,2.2,2439000
181.0,3,3.0,5,35.0,3759000
137.8,3,3.0,19,0.5,3625000
134.6,3,2.0,32,0.3,3072000
61.4,2,2.0,6,1.7,1734000
145.5,4,1.0,19,24.8,3327000
73.2,3,1.0,24,27.1,1712000
64.0,2,2.0,14,7.4,2003000
99.4,3,1.0,19,14.8,2416000
88.6,3,1.0,7,1.7,2416000
105.0,4,3.0,31,25.0,2261000
50.2,5,2.0,25,1.1,2221000
158.1,2,1.0,27,0.7,3188000
165.7,4,2.0,5,0.8,3862000
30.0,4,3.0,17,6.0,1367000
159.0,5,1.0,7,10.6,3552000
78.5,2,1.0,33,3.2,1662000
153.6,3,4.0,6,26.7,3441000
111.9,2,2.0,15,4.0,2260000
116.3,4,1.0,2,1.1,2894000
106.7,1,2.0,14,4.4,2514000
169.5,3,3.0,5,8.0,3901000
59.2,2,1.0,18,12.5,1559000
142.4,2,1.0,11,4.3,2903000
164.6,3,1.0,9,6.3,3311000
147.2,4,4.0,33,2.2,3737000
219.6,3,1.0,46,7.3,4306000
91.2,4,2.0,3,29.9,2292000
158.1,2,4.0,9,0.4,3557000
110.2,3,1.0,21,15.2,2594000
170.5,3,4.0,16,5.8,4166000
114.7,1,4.0,21,2.0,2863000
97.5,3,3.0,12,21.7,2017000
173.8,3,1.0,26,4.6,3627000
92.9,3,2.0,14,2.8,2182000
51.4,4,3.0,17,1.4,2037000
91.7,3,4.0,5,2.0,2568000
142.9,1,1.0,13,12.5,2931000
177.6,2,3.0,22,6.7,3686000
120.0,3,2.0,15,17.1,2573000
174.3,2,1.0,13,1.8,3481000
53.9,1,2.0,17,0.9,1195000
95.1,3,3.0,14,0.3,2331000
102.0,3,2.0,12,5.0,2309000
109.8,2,2.0,22,35.0,2067000
118.8,4,4.0,11,8.3,2928000
146.1,3,2.0,4,2.6,3431000
95.0,2,2.0,32,14.7,2175000
121.3,4,2.0,8,10.7,3049000
113.0,3,2.0,3,0.3,3001000
73.3,3,2.0,19,11.9,1941000
109.9,3,4.0,35,2.5,5814600
108.5,1,2.0,19,1.1,2740000
107.6,4,3.0,30,1.8,2963000
116.4,3,1.0,6,4.4,2774000
118.4,5,1.0,4,3.9,3090000
95.5,4,2.0,9,2.4,2652000
172.3,3,1.0,25,1.3,3651000
62.4,2,1.0,18,10.1,1588000
82.6,2,2.0,19,32.3,1873000
240.1,2,1.0,13,10.5,4577000
68.3,3,1.0,10,2.5,1648000
54.1,2,2.0,14,2.0,1253000
148.1,3,2.0,11,1.7,3527000
30.0,2,4.0,9,1.0,1089000
104.4,5,2.0,16,5.6,2920000
211.6,2,2.0,10,6.5,4132000
45.5,5,4.0,15,8.6,1760000
30.0,5,3.0,2,8.0,1535000
47.5,3,1.0,14,2.4,1563000
155.4,4,1.0,10,2.8,3365000
165.6,3,2.0,31,8.0,3459000
91.9,3,2.0,3,3.0,2416000
145.7,2,3.0,13,1.7,3076000
177.6,2,3.0,22,3.3,4008000
195.4,3,2.0,11,2.2,3932000
103.9,3,4.0,10,0.6,6028000
30.0,3,2.0,22,12.4,1383000
78.1,2,1.0,18,13.4,1601000
95.8,3,3.0,19,1.7,2496000
103.3,2,1.0,9,0.5,2425000
106.5,1,3.0,8,9.4,2265000
165.4,2,4.0,15,1.7,3670000
172.3,1,2.0,23,3.5,3556000
107.3,2,2.0,4,0.5,2493000
164.4,4,2.0,12,1.8,3927000
131.1,1,2.0,9,11.0,2794000
117.9,3,2.0,13,11.4,2668000
155.8,2,2.0,20,1.6,3526000
118.3,4,3.0,6,2.9,2968000
207.6,3,2.0,19,1.0,4539000
50.3,2,1.0,9,0.5,1361000
91.8,3,2.0,25,34.0,2005000
109.3,3,3.0,7,7.5,2718000
134.8,3,2.0,23,5.5,3126000
172.1,2,2.0,4,10.2,3229000
113.9,5,3.0,14,12.8,3103000
51.0,3,2.0,19,11.5,1550000
152.9,2,2.0,7,0.3,3402000
149.0,4,3.0,9,1.4,3706000
30.0,3,1.0,13,7.4,1247000
114.8,4,4.0,10,3.3,2760000
43.4,3,1.0,8,28.3,1080000
85.1,4,1.0,22,7.7,2305000
74.4,2,3.0,27,22.0,1818000
151.4,4,1.0,26,1.6,3325000
120.3,4,3.0,17,14.0,3098000
57.1,2,3.0,19,2.7,1647000
154.6,2,3.0,6,31.9,3322000
50.5,2,4.0,12,1.2,1881000
129.9,5,1.0,13,5.1,3277000
78.4,2,3.0,15,11.0,2090000
98.5,3,1.0,15,4.0,2308000
137.7,1,2.0,13,4.4,3034000
138.5,3,3.0,17,30.1,3048000
175.2,3,2.0,15,3.9,3777000
111.3,5,2.0,15,6.5,2767000
128.8,3,2.0,7,0.4,2996000
95.3,4,2.0,5,12.9,2345000
123.2,3,4.0,15,7.3,3155000
134.8,1,1.0,9,3.6,2983000
110.6,2,2.0,8,0.3,2759000
33.8,3,3.0,20,6.3,1782000
129.9,5,2.0,12,0.3,3281000
131.4,4,1.0,30,0.3,3193000
84.4,2,2.0,18,6.7,1869000
57.2,2,2.0,7,1.5,1639000
181.4,2,1.0,20,1.5,3484000
137.1,5,3.0,16,7.4,3568000
104.7,4,2.0,7,0.4,2735000
63.8,4,4.0,8,2.6,1874000
78.0,3,3.0,19,1.1,2098000
173.6,3,2.0,3,6.1,4109000
121.2,3,1.0,2,7.6,2886000
90.2,2,2.0,14,8.9,2278000
137.9,3,1.0,13,2.1,3140000
78.4,1,4.0,15,0.7,2000000
182.5,2,1.0,13,0.6,3776000
175.9,4,1.0,17,3.9,3933000
94.0,4,2.0,27,20.4,2173000
86.7,3,1.0,13,1.7,2350000
30.0,3,1.0,4,2.1,1445000
48.3,3,2.0,2,0.7,1650000
54.7,4,1.0,10,6.5,1692000
121.1,4,1.0,10,8.0,2806000
100.3,4,2.0,4,7.2,2947000
54.5,4,3.0,1,13.8,1818000
102.3,2,2.0,9,4.7,2528000
137.7,2,2.0,35,1.0,2947000
138.8,3,2.0,16,2.4,3158000
30.0,2,2.0,15,7.6,987000
109.2,4,4.0,11,6.6,2795000
52.7,2,1.0,10,5.3,1590000
155.6,2,2.0,17,8.0,3138000
150.3,3,3.0,5,7.1,3546000
74.6,5,3.0,41,14.9,2235000
80.5,2,1.0,5,6.2,2089000
94.2,3,1.0,19,10.6,2158000
30.0,3,3.0,5,2.0,1586000
130.1,1,1.0,14,7.9,2625000
102.7,3,3.0,20,16.3,2914000
158.7,4,3.0,3,3.4,3542000
65.6,3,3.0,6,10.6,2343000
87.1,4,1.0,6,9.0,2315000
47.2,2,3.0,10,0.4,1605000
69.8,2,2.0,15,6.1,1723000
61.8,5,3.0,35,1.0,1893000
159.8,3,1.0,8,23.9,3241000
83.6,3,1.0,34,11.7,1945000
120.6,4,2.0,16,0.8,3062000
97.9,2,1.0,5,0.9,2501000
57.9,4,2.0,11,6.3,1935000
107.4,2,4.0,4,3.0,2731000
142.0,2,2.0,10,0.3,3216000
60.7,2,3.0,9,5.5,1483000
151.4,4,1.0,14,3.4,3215000
76.8,2,1.0,19,0.7,1661000
93.3,4,1.0,12,11.3,2341000
138.9,5,2.0,5,17.3,3087000
85.1,3,4.0,30,9.9,2176000
116.7,3,1.0,37,12.1,2349000
100.8,3,2.0,11,1.7,2635000
120.8,2,2.0,15,2.1,2818000
30.0,3,4.0,10,1.6,1424000
32.7,3,1.0,14,10.1,899000
142.7,5,1.0,14,20.7,3275000
161.7,5,1.0,4,8.8,3843000
74.0,4,2.0,10,14.9,2243000
104.0,4,1.0,24,7.1,2860000
128.3,3,3.0,23,3.4,3231000
146.2,3,2.0,10,3.9,3362000
30.0,4,2.0,15,0.5,1408000
75.1,3,2.0,10,0.3,2005000
100.0,5,1.0,19,8.3,2875000
146.6,3,2.0,3,4.0,3395000
227.4,3,4.0,18,5.6,4962000
104.7,4,3.0,31,5.7,2634000
51.7,5,3.0,7,2.3,1864000
133.1,2,3.0,28,4.5,2903000
174.4,4,1.0,15,4.5,3821000
119.9,3,1.0,12,3.4,2828000
74.2,2,1.0,10,12.0,1670000
158.1,4,1.0,29,4.2,3538000
144.9,3,1.0,10,6.5,3403000
68.8,3,2.0,34,15.8,1515000
132.2,2,2.0,31,14.1,2440000
159.9,3,3.0,9,15.5,3749000
168.2,3,3.0,11,2.2,3573000
112.0,3,4.0,2,0.3,2889000
98.9,2,1.0,12,2.1,2399000
170.2,5,1.0,13,2.3,3954000
60.5,3,2.0,26,16.8,1647000
134.7,4,1.0,32,7.3,3097000
53.3,3,1.0,20,0.6,2029000
162.9,3,2.0,24,1.0,3885000
103.4,3,1.0,11,1.2,2421000
172.1,3,2.0,4,7.0,3952000
137.1,3,2.0,15,9.3,3189000
60.0,3,2.0,25,13.7,1679000
179.1,3,2.0,1,19.8,3657000
184.8,2,2.0,14,1.6,3949000
154.7,3,1.0,2,2.6,3402000
80.7,2,1.0,7,1.9,1943000
101.2,2,2.0,14,3.1,2277000
121.5,5,3.0,33,17.2,3211000
83.3,3,3.0,13,6.0,2157000
191.2,3,2.0,19,9.4,3917000
121.5,3,1.0,15,4.7,2926000
30.0,5,2.0,7,0.3,1603000
130.3,3,2.0,17,0.5,3042000
99.3,4,2.0,4,5.4,2829000
111.6,3,2.0,12,8.9,2887000
98.4,5,2.0,28,1.7,2390000
151.3,4,2.0,14,9.0,3483000
165.4,4,3.0,15,11.6,3572000
127.7,2,1.0,10,3.7,2737000
99.7,2,3.0,3,9.6,2431000
113.1,2,1.0,10,3.6,2487000
115.9,2,1.0,22,7.9,2345000
78.9,4,4.0,16,10.1,2197000
141.1,1,4.0,5,33.7,2983000
135.7,1,1.0,2,3.0,3081000
184.3,2,2.0,7,3.7,3546000
171.5,2,1.0,11,1.3,3530000
84.1,2,2.0,11,1.6,2243000
151.9,4,3.0,11,8.3,3602000
72.2,3,4.0,12,17.4,1883000
146.3,1,2.0,17,3.5,2958000
91.8,3,2.0,9,1.4,2458000
69.0,3,2.0,6,2.3,1965000
127.6,2,1.0,18,4.2,2754000
30.0,4,4.0,22,2.4,1557000
36.2,4,3.0,8,1.9,1567000
107.0,4,2.0,41,9.3,2754000
118.7,4,2.0,32,0.3,2867000
98.4,1,1.0,5,5.4,1989000
43.9,5,1.0,2,11.1,2072000
78.2,4,3.0,11,2.2,2359000
132.6,5,2.0,15,6.5,2919000
141.2,1,2.0,41,7.7,3017000
114.3,5,2.0,40,7.4,3112000
167.1,4,3.0,19,4.1,8696600
132.9,4,1.0,9,3.0,3281000
81.4,2,3.0,26,12.7,2342000
102.4,4,3.0,14,9.9,2561000
51.9,5,4.0,4,2.7,2170000
110.1,4,2.0,4,0.8,3210000
165.0,3,1.0,9,0.5,3973000
145.8,5,2.0,24,0.7,3525000
178.1,3,2.0,5,6.1,4214000
101.4,3,1.0,9,0.4,2640000
175.6,3,2.0,31,2.9,4018000
106.3,5,2.0,16,9.8,2964000
181.2,1,3.0,18,2.4,3775000
114.0,3,1.0,24,10.1,2941000
146.8,4,2.0,9,9.6,3354000
181.4,4,3.0,33,2.0,4400000
106.3,3,3.0,20,9.1,2957000
124.8,5,3.0,11,9.6,3479000
173.0,5,3.0,29,3.5,4079000
109.0,1,4.0,19,1.7,2579000
55.6,3,2.0,12,5.2,1527000
211.4,1,2.0,18,17.8,3968000
93.9,2,1.0,6,7.1,2291000
122.1,3,1.0,27,1.3,2569000
167.0,5,1.0,40,8.0,3706000
87.6,4,1.0,3,3.9,2713000
69.6,2,1.0,8,6.3,1741000
126.4,2,1.0,7,9.3,2902000
34.3,3,1.0,21,5.1,1340000
102.0,3,4.0,14,11.8,2576000
126.0,2,1.0,9,9.0,2700000
102.9,4,3.0,10,6.7,2794000
45.5,5,1.0,8,1.1,1483000
186.7,3,4.0,19,12.7,4232000
119.7,4,3.0,14,19.2,2915000
179.4,3,2.0,10,1.0,4100000
103.3,4,2.0,8,4.7,2787000
75.4,3,1.0,29,2.1,1939000
127.1,2,4.0,26,9.8,2929000
105.3,5,3.0,19,9.0,2927000
62.0,3,3.0,24,1.1,2145000
181.1,4,2.0,4,14.7,4022000
87.0,3,2.0,5,1.4,2387000
32.2,1,3.0,5,11.2,887000
174.8,2,1.0,13,4.3,3598000
92.3,3,2.0,25,2.8,2578000
87.6,4,1.0,9,1.2,2472000
35.6,2,4.0,27,1.3,1196000
193.3,4,1.0,8,7.6,4043000
57.0,4,1.0,11,5.6,1702000
117.6,4,2.0,9,0.9,3166000
156.1,3,3.0,11,0.8,3748000
134.0,5,2.0,12,0.5,2872000
112.3,3,1.0,2,9.5,2634000
38.4,3,1.0,16,8.7,1332000
78.6,2,3.0,11,0.4,1961000
123.5,2,4.0,33,5.8,2781000
79.6,1,3.0,18,0.6,2177000
124.2,3,2.0,15,16.4,2884000
145.7,2,4.0,32,16.6,3059000
158.3,2,2.0,30,8.4,3261000
59.8,4,2.0,34,18.2,1707000
213.8,2,2.0,8,11.7,4361000
149.5,2,2.0,5,12.3,2968000
114.9,2,3.0,2,5.9,2628000
164.0,4,2.0,24,2.6,3911000
221.4,2,1.0,2,1.7,4475000
50.3,3,1.0,14,2.8,1441000
104.9,3,1.0,3,6.9,2408000
30.0,4,2.0,26,1.3,1520000
123.7,3,1.0,18,2.1,2770000
131.4,4,1.0,26,4.4,3158000
113.2,1,2.0,15,1.9,2377000
85.5,2,2.0,6,6.2,1947000
30.0,2,3.0,9,18.0,1153000
131.8,2,2.0,23,9.7,2826000
180.5,2,3.0,3,7.7,3973000
88.4,2,4.0,8,6.1,2463000
134.8,3,3.0,7,4.7,3158000
44.4,3,2.0,12,1.4,1625000
135.6,3,1.0,19,15.8,2871000
97.3,4,4.0,26,2.0,2827000
80.7,2,1.0,4,0.7,2063000
80.8,2,1.0,6,9.7,1839000
97.3,3,2.0,4,1.4,2412000
132.2,1,1.0,12,3.3,2776000
56.0,1,4.0,5,0.3,1864000
97.1,3,2.0,16,1.0,2624000
113.1,5,2.0,28,1.3,2840000
65.5,4,2.0,3,0.4,1987000
195.8,2,2.0,6,7.5,3936000
76.6,4,1.0,34,12.7,1917000
84.9,4,2.0,14,3.3,2102000
71.0,3,3.0,8,14.5,2133000
195.9,4,2.0,50,1.7,4140000
139.9,3,3.0,10,2.8,3384000
72.9,2,1.0,18,1.1,1782000
164.8,3,1.0,7,6.8,3568000
124.0,3,1.0,6,3.8,2778000
126.6,3,2.0,19,6.7,2928000
99.5,3,3.0,36,10.0,2300000
81.3,5,3.0,9,5.5,2541000
130.2,5,2.0,5,6.9,3561000
90.5,4,2.0,24,19.2,2393000
196.8,4,3.0,9,2.5,4499000
57.9,5,1.0,16,3.1,1768000
184.1,2,1.0,8,8.9,3837000
110.0,2,4.0,10,6.6,2794000
128.5,3,2.0,6,1.4,3106000
152.5,4,4.0,19,3.3,3741000
86.6,3,2.0,16,4.4,2243000
153.9,4,3.0,16,3.8,3767000
30.0,2,1.0,7,1.4,1344000
82.6,2,1.0,15,18.1,1913000
73.4,4,2.0,39,10.1,1880000
58.6,2,1.0,5,4.6,1457000
105.3,3,1.0,7,8.0,2635000
132.4,2,1.0,7,15.9,2628000
146.6,2,1.0,13,1.0,3174000
125.8,4,3.0,5,2.0,3174000
85.0,3,2.0,18,5.5,2048000
131.6,3,1.0,2,11.2,3103000
120.6,2,1.0,21,0.3,2776000
157.1,4,1.0,16,29.0,3126000
150.0,3,2.0,38,4.2,3370000
116.4,3,1.0,5,3.1,2819000
74.6,4,3.0,24,2.4,2392000
85.6,2,1.0,11,1.3,2106000
90.3,4,1.0,10,11.0,2587000
100.8,3,3.0,5,21.8,2454000
127.1,3,3.0,9,3.7,3038000
147.2,2,1.0,9,21.3,2829000
112.7,5,3.0,3,12.2,2907000
115.7,4,2.0,16,4.6,2749000
121.4,2,3.0,14,7.8,2821000
91.8,2,2.0,18,4.0,2169000
73.4,4,2.0,8,5.7,2246000
36.0,4,4.0,22,0.4,1489000
83.7,4,1.0,29,8.3,2058000
136.3,3,2.0,10,0.4,3054000
83.4,4,2.0,6,11.9,2667000
104.3,3,1.0,13,12.2,2415000
136.0,2,1.0,12,1.9,2942000
138.4,3,1.0,11,2.7,3119000
66.4,5,2.0,18,4.6,2431000
159.9,2,2.0,9,6.4,3158000
165.7,3,2.0,5,2.4,3700000
64.2,4,1.0,14,6.3,1669000
77.9,3,2.0,19,2.5,1738000
168.6,4,4.0,20,0.4,3893000
108.4,4,2.0,9,0.3,2916000
30.0,1,,15,0.7,904000
52.0,5,3.0,30,11.0,1965000
