metros,habitaciones,banios,antiguedad,precio
77.2,4,1,26.0,2198000
139.3,3,3,6.0,3732000
111.1,4,1,8.0,2815000
148.6,2,3,20.0,3551000
138.9,3,4,7.0,3596000
117.1,1,1,16.0,2763000
86.1,3,2,9.0,2324000
59.4,3,4,13.0,1977000
102.1,3,2,3.0,2900000
154.3,4,3,11.0,3937000
128.6,3,2,23.0,2901000
70.2,3,2,17.0,2025000
126.9,2,1,4.0,3006000
135.4,3,1,31.0,3269000
84.6,2,3,22.0,2173000
126.1,2,2,4.0,2577000
122.3,3,2,6.0,3166000
74.3,4,2,4.0,2198000
134.3,3,2,13.0,2973000
142.4,3,3,6.0,3104000
163.3,3,4,1.0,4127000
162.2,4,2,9.0,3963000
64.9,3,3,19.0,2048000
82.5,3,3,11.0,2639000
140.6,1,2,15.0,3176000
140.6,3,4,12.0,3795000
140.6,3,1,17.0,3084000
274.1,3,1,12.0,5711000
142.8,3,3,9.0,3282000
165.4,3,2,11.0,3809000
158.2,3,3,27.0,3692000
146.1,4,3,15.0,3804000
107.4,4,1,4.0,2904000
150.4,4,3,11.0,3897000
89.1,5,2,13.0,2867000
110.5,1,2,9.0,2886000
100.6,2,2,1.0,2520000
123.3,1,4,5.0,2828000
212.6,3,1,7.0,4666000
45.3,4,2,33.0,1623000
147.5,2,2,14.0,3581000
55.5,5,3,2.0,2239000
101.1,2,2,9.0,2459000
163.6,5,1,24.0,3908000
122.6,3,1,6.0,3121000
76.9,2,2,20.0,2041000
91.4,3,3,2.0,2531000
147.2,2,1,0.0,3579000
90.8,2,1,22.0,2098000
128.7,3,4,7.0,3364000
121.8,4,1,7.0,3242000
93.9,3,4,12.0,2467000
205.8,3,2,14.0,4630000
145.4,3,3,0.0,3449000
39.0,4,1,6.0,1781000
127.5,2,1,10.0,2791000
93.5,3,3,14.0,2721000
154.1,2,3,4.0,3764000
88.3,2,3,8.0,2527000
115.4,4,1,6.0,3071000
140.2,2,3,,3281000
154.6,3,3,22.0,3598000
72.0,4,2,8.0,2545000
106.6,2,3,3.0,2642000
101.0,3,3,5.0,2632000
93.9,2,2,30.0,2430000
190.6,5,1,5.0,4421000
136.2,3,2,3.0,3207000
69.6,4,1,7.0,1988000
156.7,3,2,9.0,3622000
204.9,1,2,6.0,4262000
161.3,3,1,2.0,3762000
59.2,5,2,13.0,2366000
100.6,3,1,12.0,2672000
170.7,4,3,16.0,4120000
91.7,4,4,12.0,2793000
137.8,2,1,29.0,3121000
151.0,2,4,17.0,3761000
82.9,3,2,15.0,2361000
117.6,3,1,22.0,2788000
35.0,4,1,11.0,1417000
79.0,5,2,9.0,2379000
109.9,3,3,13.0,3016000
70.1,2,3,1.0,2184000
185.3,4,1,11.0,4358000
62.8,2,1,9.0,1755000
102.4,4,2,14.0,3058000
125.2,3,1,20.0,2931000
177.7,4,1,15.0,4262000
62.6,2,1,5.0,1781000
166.5,3,3,18.0,3824000
120.4,3,4,29.0,3210000
80.7,3,2,21.0,2340000
138.5,2,4,3.0,3455000
128.0,4,2,15.0,3316000
96.0,4,2,3.0,2770000
122.8,2,1,8.0,3217000
104.6,2,2,13.0,2768000
124.5,1,4,12.0,3071000
146.5,3,2,21.0,3480000
183.4,3,2,29.0,4246000
70.5,3,2,14.0,2201000
205.3,2,1,7.0,4351000
41.9,3,3,1.0,1695000
113.9,3,2,24.0,2852000
143.5,3,2,9.0,2981000
131.2,5,2,10.0,3563000
95.1,2,2,10.0,2359000
111.7,4,1,14.0,3174000
100.3,3,2,14.0,2662000
96.4,3,1,8.0,2355000
154.0,4,3,9.0,3869000
134.3,4,3,6.0,3376000
92.3,5,3,5.0,3002000
156.0,2,2,5.0,3592000
132.3,2,2,9.0,3249000
152.5,4,1,5.0,3586000
145.2,3,3,0.0,3609000
86.8,2,1,7.0,2010000
97.6,2,2,3.0,2610000
149.9,2,1,11.0,3412000
144.4,4,1,6.0,3630000
119.2,2,2,14.0,2850000
124.7,3,1,3.0,3125000
171.1,2,3,2.0,4152000
96.3,3,2,9.0,2565000
141.9,2,1,7.0,3227000
111.9,3,2,3.0,2749000
111.3,2,1,17.0,2485000
164.0,4,1,4.0,3931000
153.0,2,3,5.0,3740000
152.5,3,1,20.0,3457000
172.2,4,3,15.0,4144000
120.8,4,1,4.0,3077000
147.3,3,1,8.0,3369000
107.6,3,3,3.0,2959000
133.0,3,2,19.0,3003000
114.8,4,1,19.0,3163000
123.9,5,2,32.0,3212000
143.8,4,1,40.0,3517000
87.3,3,3,6.0,2347000
203.7,4,2,17.0,4759000
79.8,3,3,1.0,2523000
71.4,2,3,12.0,2135000
166.3,3,2,14.0,3698000
151.7,5,4,4.0,4122000
145.0,2,2,6.0,3169000
145.1,4,4,19.0,3718000
119.5,2,1,14.0,2929000
84.1,3,2,29.0,2427000
123.0,2,2,27.0,2868000
92.9,3,2,2.0,2428000
159.0,4,2,6.0,3995000
114.1,3,3,4.0,3031000
87.0,4,1,17.0,2130000
107.1,4,1,12.0,2977000
136.5,5,3,4.0,3727000
97.5,2,2,5.0,2675000
87.1,3,4,23.0,2382000
129.7,2,3,7.0,2670000
129.8,5,4,1.0,3744000
99.7,5,3,4.0,3112000
101.2,3,1,33.0,2266000
129.3,4,1,20.0,3081000
62.1,3,3,3.0,2509000
63.7,3,2,12.0,1963000
91.3,2,1,19.0,2357000
111.5,4,2,2.0,2961000
132.4,2,4,21.0,2906000
179.0,4,2,14.0,4200000
154.3,4,2,5.0,3778000
113.6,4,2,15.0,2985000
119.2,1,1,12.0,2610000
79.9,3,2,13.0,2336000
119.3,2,2,11.0,2841000
108.5,3,1,5.0,2573000
132.9,2,3,5.0,3285000
86.9,5,2,8.0,2450000
140.8,3,3,10.0,3177000
181.3,3,3,16.0,4300000
115.6,3,1,34.0,2851000
136.1,3,2,12.0,3303000
147.6,3,2,16.0,3293000
104.0,3,3,18.0,2684000
129.0,5,1,17.0,3345000
120.5,3,2,4.0,2824000
123.9,5,2,25.0,3229000
89.1,4,1,22.0,2594000
121.0,2,1,11.0,3028000
139.9,5,2,5.0,3645000
178.0,2,3,10.0,4117000
158.4,4,2,2.0,3616000
206.1,3,2,27.0,4611000
89.3,4,2,6.0,2523000
154.9,4,3,8.0,3942000
127.3,4,1,26.0,3130000
207.6,4,3,24.0,4979000
87.7,3,1,13.0,2225000
86.4,2,2,29.0,2293000
96.0,3,1,4.0,2500000
35.0,2,1,13.0,1234000
99.0,4,2,4.0,2798000
89.6,3,1,21.0,2232000
126.0,5,3,21.0,3472000
133.7,3,1,31.0,3103000
195.0,4,2,10.0,4566000
158.0,2,2,36.0,3473000
96.9,4,1,4.0,2828000
84.1,5,1,10.0,2742000
139.7,3,2,4.0,3251000
67.2,3,2,12.0,2202000
193.3,4,2,5.0,4341000
167.2,2,2,21.0,3774000
101.2,3,2,14.0,2769000
51.5,3,1,4.0,1454000
174.2,2,2,18.0,3838000
115.4,3,4,28.0,2965000
169.5,2,2,15.0,3637000
56.2,1,2,3.0,1812000
96.0,2,2,9.0,2354000
120.2,5,3,17.0,3265000
121.9,3,3,8.0,3164000
102.0,5,2,4.0,3133000
144.9,3,4,23.0,3565000
77.3,3,1,8.0,2364000
114.3,3,1,28.0,2855000
124.8,3,3,6.0,2886000
140.6,2,3,8.0,3259000
148.5,3,1,6.0,3395000
75.0,2,1,9.0,2066000
58.6,3,1,14.0,1435000
171.1,4,1,4.0,4426000
133.3,2,3,3.0,3307000
90.1,2,2,,2396000
182.0,4,2,2.0,4505000
124.6,3,2,3.0,3492000
167.2,2,1,6.0,3796000
122.7,5,1,11.0,3437000
202.4,2,2,13.0,4371000
190.2,4,4,11.0,4578000
110.0,5,3,26.0,3095000
158.9,2,1,32.0,3288000
145.8,2,3,8.0,3329000
174.7,2,3,4.0,3766000
81.4,3,3,38.0,2292000
147.4,2,2,22.0,3072000
162.3,4,2,21.0,3926000
49.7,2,2,6.0,1625000
72.7,3,1,18.0,2089000
38.4,5,1,11.0,1699000
109.2,4,1,9.0,3371000
148.7,3,2,9.0,3755000
180.1,3,3,14.0,3989000
123.0,3,2,27.0,3051000
185.1,3,1,40.0,3911000
64.8,3,4,7.0,2056000
51.9,2,4,12.0,1605000
117.8,4,3,9.0,3289000
135.4,3,4,14.0,3349000
118.7,2,2,8.0,3010000
37.3,3,4,6.0,1866000
116.4,3,1,7.0,3103000
67.8,4,2,6.0,2129000
146.8,4,1,9.0,3658000
134.7,4,1,3.0,3487000
82.4,1,1,6.0,1918000
99.4,3,2,14.0,2527000
77.6,3,3,14.0,2572000
117.5,1,2,12.0,2711000
158.2,2,1,25.0,3523000
80.6,4,3,14.0,2411000
140.2,2,2,24.0,3005000
98.8,3,2,40.0,2443000
88.3,2,2,19.0,2255000
115.7,1,1,3.0,2441000
78.6,2,2,12.0,2125000
97.9,5,4,11.0,2835000
72.1,4,1,28.0,1998000
198.6,5,2,9.0,4849000
121.4,3,3,5.0,3246000
92.0,2,3,7.0,2409000
128.6,3,1,3.0,2980000
115.5,3,1,,2611000
111.2,4,1,10.0,2886000
144.6,2,2,3.0,3447000
150.3,3,2,30.0,3635000
98.8,2,1,33.0,2252000
97.0,3,4,11.0,2599000
109.0,4,2,,3050000
35.0,3,1,7.0,1308000
59.4,3,2,8.0,1869000
174.7,3,2,10.0,4213000
185.8,3,1,4.0,4282000
110.0,4,1,20.0,2904000
143.1,4,3,1.0,3521000
132.5,5,2,22.0,3539000
243.2,4,2,25.0,5497000
164.8,3,2,7.0,3792000
114.9,4,1,10.0,3211000
81.8,3,1,27.0,2388000
55.7,2,2,16.0,1948000
128.1,4,1,8.0,3300000
89.7,1,1,8.0,2201000
63.1,5,3,15.0,2578000
94.1,3,4,34.0,2695000
76.7,3,3,9.0,2259000
187.5,4,3,7.0,4420000
155.3,4,1,10.0,3771000
119.7,3,4,10.0,2991000
179.2,3,1,13.0,3982000
123.1,2,4,10.0,3260000
85.5,3,4,,2188000
180.9,2,3,5.0,4306000
141.6,4,4,14.0,3881000
78.5,3,2,14.0,2198000
112.4,4,1,5.0,3065000
85.0,1,2,,2084000
64.7,2,2,14.0,2053000
157.0,4,1,0.0,3953000
196.4,2,2,4.0,4069000
64.1,2,4,29.0,2046000
142.5,1,1,6.0,3040000
94.0,5,3,3.0,2982000
100.5,4,4,1.0,2916000
96.3,3,4,4.0,3050000
85.4,2,4,9.0,2577000
121.9,3,2,3.0,2981000
86.8,4,4,16.0,2518000
130.8,4,3,5.0,3417000
118.0,2,1,13.0,2817000
110.4,2,2,26.0,2679000
83.7,2,3,25.0,2435000
96.9,4,1,13.0,2791000
150.2,4,2,4.0,3893000
140.0,2,2,10.0,3289000
80.9,1,1,,1726000
124.0,2,2,45.0,2783000
150.1,5,3,1.0,4147000
53.2,2,2,10.0,1670000
141.7,4,1,16.0,3542000
93.5,3,1,11.0,2421000
142.8,3,2,12.0,3278000
89.5,2,4,5.0,2492000
47.8,2,1,19.0,1511000
54.9,3,2,10.0,1760000
121.9,4,1,12.0,3091000
130.4,3,2,21.0,3032000
83.8,3,3,8.0,2634000
145.5,1,3,24.0,3169000
53.5,5,1,3.0,2299000
117.4,4,2,12.0,3355000
71.6,2,1,5.0,1937000
93.9,5,2,4.0,2733000
121.9,3,2,33.0,2659000
85.6,3,1,3.0,2138000
104.6,4,1,11.0,2613000
160.3,4,2,3.0,4140000
96.9,4,4,23.0,2890000
153.4,2,4,7.0,3712000
74.8,3,1,21.0,1759000
141.2,5,3,15.0,3592000
177.7,2,2,41.0,3928000
35.0,3,2,2.0,1575000
88.1,3,3,4.0,2538000
143.1,3,4,20.0,3651000
111.9,3,4,13.0,3278000
134.8,5,2,8.0,3571000
95.8,2,2,36.0,2351000
123.5,2,3,10.0,3052000
113.8,2,1,5.0,3067000
166.7,4,2,21.0,3662000
130.2,3,2,10.0,3316000
133.5,2,2,11.0,3102000
103.5,4,1,16.0,2864000
100.5,4,1,17.0,2622000
102.7,4,4,4.0,3045000
135.8,5,1,8.0,3649000
103.2,2,2,3.0,3073000
131.6,4,1,13.0,3418000
203.0,3,1,33.0,4225000
154.8,4,1,4.0,3687000
107.0,4,1,2.0,2830000
168.0,4,3,6.0,3871000
103.7,4,1,8.0,2765000
38.5,2,4,17.0,1655000
79.7,3,2,8.0,2121000
45.2,5,2,13.0,2129000
105.9,5,2,7.0,3161000
120.7,1,2,9.0,2636000
187.1,2,3,5.0,4167000
133.1,2,1,4.0,3300000
111.2,4,2,17.0,3104000
153.2,4,3,7.0,3871000
35.0,2,4,14.0,1458000
129.4,3,3,5.0,3311000
150.8,4,2,10.0,3658000
60.9,4,3,1.0,1916000
165.8,3,2,7.0,4173000
133.5,3,2,5.0,3316000
103.4,3,1,22.0,2663000
145.3,2,2,3.0,3355000
210.8,3,1,9.0,4478000
127.3,4,2,13.0,3272000
129.9,4,3,20.0,3158000
101.6,3,1,18.0,2928000
86.0,4,1,10.0,2303000
153.2,2,1,11.0,3239000
85.8,3,4,22.0,2460000
122.9,1,2,9.0,2979000
100.9,2,2,11.0,2534000
139.2,4,3,23.0,3368000
133.3,5,3,44.0,3702000
161.5,2,2,12.0,3729000
99.6,3,2,15.0,2724000
109.2,4,3,18.0,3141000
80.8,2,2,23.0,2482000
102.2,3,1,21.0,2913000
135.1,4,3,6.0,3445000
150.3,3,2,13.0,3807000
83.1,2,1,21.0,2149000
154.8,3,2,26.0,3667000
174.2,4,1,9.0,3826000
136.5,3,1,13.0,3209000
195.1,1,3,14.0,4024000
89.0,4,1,10.0,2666000
70.2,1,2,12.0,1986000
48.9,4,2,45.0,1449000
179.8,2,1,9.0,3877000
146.2,5,4,9.0,4134000
117.8,3,1,2.0,2914000
131.2,3,2,2.0,3373000
75.0,2,2,14.0,2107000
217.8,3,1,21.0,4718000
125.2,4,1,18.0,3121000
124.4,5,3,5.0,3327000
149.0,3,4,17.0,3516000
139.2,3,1,9.0,3406000
129.0,4,2,7.0,3357000
88.4,4,3,3.0,2698000
138.9,3,3,5.0,3407000
195.3,3,2,15.0,4320000
173.8,3,2,13.0,4143000
183.7,4,2,11.0,4272000
99.6,1,3,1.0,2278000
80.4,3,3,11.0,2505000
115.0,3,1,6.0,2845000
122.2,4,2,13.0,3212000
163.8,2,4,23.0,4018000
52.3,3,3,7.0,1900000
181.2,3,4,11.0,4331000
113.7,3,3,36.0,2716000
102.9,2,2,12.0,2531000
79.5,3,2,10.0,2392000
53.8,3,2,5.0,1625000
152.9,3,1,18.0,3540000
122.9,3,2,4.0,3121000
68.4,4,3,24.0,2281000
68.2,4,1,16.0,2299000
106.6,2,3,6.0,2785000
186.8,4,2,5.0,4624000
109.6,3,4,5.0,2874000
59.9,2,1,2.0,1771000
110.2,2,1,14.0,2620000
109.1,3,2,1.0,2709000
35.0,4,1,9.0,1717000
117.8,4,3,9.0,3573000
110.8,4,3,8.0,3100000
147.8,3,1,14.0,3510000
194.0,3,2,6.0,4391000
165.1,2,2,11.0,3581000
109.2,3,2,24.0,2506000
75.7,3,4,15.0,2267000
222.9,2,3,7.0,4615000
122.4,2,2,10.0,3179000
120.6,3,3,8.0,3112000
119.0,4,2,9.0,3114000
127.9,5,4,12.0,3758000
114.2,5,2,3.0,3085000
97.1,3,3,2.0,2615000
98.1,3,3,5.0,2746000
118.7,3,1,15.0,3061000
98.3,4,3,16.0,2921000
91.5,2,1,18.0,2292000
124.3,3,2,5.0,3139000
109.8,4,2,11.0,3052000
180.2,3,4,7.0,4316000
35.0,3,3,9.0,1430000
163.7,3,3,7.0,3916000
169.8,2,3,12.0,3687000
37.1,3,2,6.0,1566000
106.3,3,4,22.0,2823000
105.1,1,2,22.0,2795000
63.7,1,2,14.0,1695000
88.9,4,1,20.0,2290000
75.6,2,3,3.0,2169000
190.1,3,3,23.0,4398000
157.4,2,2,13.0,3792000
170.9,5,1,6.0,4094000
148.9,2,3,5.0,3263000
74.8,3,1,28.0,2187000
99.0,4,3,18.0,2643000
139.6,4,4,9.0,3631000
71.1,2,2,3.0,1989000
148.5,4,1,24.0,3547000
110.4,3,3,4.0,3065000
105.0,3,3,7.0,2749000
148.4,2,2,9.0,3354000
137.8,2,4,5.0,3378000
105.6,4,1,9.0,2867000
166.4,3,2,10.0,3880000
76.8,3,3,8.0,2406000
144.6,4,3,13.0,3817000
143.7,4,1,29.0,3509000
107.6,2,3,3.0,2833000
133.0,3,2,11.0,3023000
70.0,2,2,4.0,2012000
157.0,4,1,2.0,3870000
112.6,4,3,19.0,3200000
99.1,5,1,12.0,2762000
162.0,2,2,2.0,3569000
91.8,2,1,9.0,2210000
63.7,2,3,5.0,2047000
57.7,2,2,9.0,1918000
144.2,2,3,16.0,3310000
68.8,5,1,15.0,2445000
190.2,2,2,7.0,4174000
36.7,2,2,20.0,1322000
187.9,4,3,25.0,4390000
128.4,3,4,17.0,3425000
116.1,4,1,6.0,3095000
98.2,2,2,9.0,2833000
136.0,3,1,28.0,3038000
118.5,1,2,8.0,2789000
164.1,2,1,15.0,3494000
124.6,5,2,5.0,3302000
126.0,2,2,20.0,2946000
105.5,3,2,5.0,2810000
117.7,3,2,9.0,3430000
132.3,3,3,15.0,3284000
51.6,4,2,32.0,1691000
66.1,1,1,12.0,1713000
149.7,4,3,8.0,3491000
126.8,5,1,8.0,3367000
112.6,3,2,19.0,2863000
120.7,5,2,14.0,3446000
133.9,2,2,16.0,3252000
98.4,3,1,27.0,2418000
88.9,2,2,10.0,2298000
127.8,4,4,13.0,3353000
80.9,5,2,8.0,2465000
136.3,2,2,5.0,3240000
51.9,4,2,6.0,1779000
161.2,2,1,1.0,3515000
138.9,3,2,15.0,3201000
130.2,3,3,14.0,3360000
159.3,5,1,15.0,4208000
186.6,3,1,5.0,3974000
160.6,3,1,6.0,3419000
46.4,2,2,6.0,1552000
68.8,2,4,21.0,2077000
95.0,2,1,12.0,2375000
121.0,2,2,10.0,2831000
140.7,4,1,17.0,3415000
91.0,3,4,6.0,2739000
127.5,3,1,13.0,3229000
89.8,2,2,35.0,1943000
95.5,4,3,24.0,2708000
63.7,4,3,13.0,2267000
83.1,2,2,11.0,2074000
65.9,4,2,14.0,2450000
81.0,3,2,26.0,2169000
162.1,2,1,25.0,3492000
82.0,3,1,29.0,2273000
225.3,3,2,12.0,4829000
139.7,2,1,1.0,2914000
127.4,5,1,34.0,3223000
85.7,4,2,5.0,2737000
148.0,4,4,17.0,3765000
97.0,3,2,1.0,2525000
124.9,3,1,10.0,3177000
222.4,4,1,8.0,4902000
116.2,3,4,29.0,2969000
166.0,2,1,13.0,3638000
91.9,3,1,10.0,2560000
118.6,4,2,14.0,3496000
190.8,3,2,0.0,4468000
94.9,2,2,6.0,2618000
192.5,4,1,7.0,4341000
148.3,2,1,16.0,3132000
97.5,2,4,4.0,2668000
145.3,2,1,12.0,3263000
158.9,3,2,9.0,3572000
144.9,4,3,6.0,3698000
57.2,3,2,7.0,1971000
90.9,2,2,9.0,2414000
110.1,4,1,1.0,3033000
117.0,4,2,17.0,3142000
144.8,4,3,5.0,3650000
127.1,2,4,8.0,3099000
66.6,3,1,28.0,1737000
135.2,5,1,18.0,3759000
144.4,4,4,3.0,3809000
142.4,1,3,0.0,3219000
163.2,2,3,15.0,3578000
153.4,3,1,8.0,4000000
138.4,5,2,12.0,3492000
117.2,3,3,17.0,2967000
53.6,3,2,19.0,1861000
137.2,2,2,7.0,3292000
128.3,4,1,9.0,3397000
130.9,4,2,13.0,3635000
68.9,3,1,14.0,2090000
76.8,4,2,12.0,2236000
162.1,5,4,26.0,4145000
118.4,2,2,14.0,2881000
147.3,3,3,17.0,3884000
121.1,2,1,12.0,2602000
121.2,4,2,4.0,3406000
157.5,3,4,6.0,3908000
99.4,3,1,3.0,2733000
123.8,4,1,21.0,3109000
101.5,3,2,2.0,2603000
102.6,5,1,9.0,3053000
107.6,3,3,7.0,2997000
128.9,2,4,7.0,3358000
100.9,4,2,8.0,2842000
170.2,4,1,29.0,3838000
84.2,3,2,,2188000
112.5,4,3,24.0,3192000
102.4,5,1,8.0,3005000
177.9,2,2,18.0,3745000
127.9,5,2,11.0,3387000
161.3,2,2,4.0,3577000
60.6,2,1,26.0,1444000
130.7,2,3,23.0,2978000
155.6,4,1,4.0,3595000
123.3,4,1,15.0,3078000
162.6,2,3,6.0,3632000
99.3,3,3,2.0,2525000
176.4,3,1,5.0,4289000
212.0,2,1,25.0,4584000
105.5,4,1,19.0,2686000
102.2,4,1,8.0,2828000
178.1,3,1,25.0,3998000
183.2,5,1,22.0,4518000
99.1,3,2,5.0,2551000
103.2,5,3,29.0,3195000
108.7,4,2,7.0,2906000
66.2,3,2,8.0,1869000
83.3,2,1,1.0,2284000
79.8,4,4,6.0,2826000
89.3,3,3,9.0,2950000
118.6,2,3,13.0,2743000
129.4,1,3,4.0,3108000
182.0,3,4,5.0,4265000
80.1,3,2,29.0,2353000
159.4,4,1,21.0,3545000
111.4,4,2,23.0,2784000
118.0,2,3,10.0,2808000
147.0,4,3,13.0,3746000
75.1,2,2,16.0,1952000
135.3,4,1,29.0,3398000
126.7,4,2,2.0,3487000
139.7,3,4,7.0,3647000
131.6,4,2,12.0,3624000
218.2,3,2,11.0,4856000
94.5,3,1,5.0,2328000
98.8,4,2,15.0,2983000
95.1,3,3,7.0,2583000
97.8,3,2,10.0,2767000
94.5,3,3,14.0,2871000
167.6,4,2,7.0,4117000
176.8,3,2,17.0,3800000
97.2,2,1,20.0,2212000
86.7,4,3,5.0,2879000
138.9,4,2,7.0,3507000
97.9,2,2,4.0,2518000
145.3,2,2,10.0,3449000
128.1,2,4,13.0,3278000
59.4,3,1,8.0,1909000
181.9,3,3,12.0,4185000
191.8,4,1,7.0,4357000
95.5,4,2,7.0,2880000
104.5,3,1,13.0,2742000
131.4,3,2,7.0,3209000
133.4,4,2,10.0,3584000
146.3,3,1,13.0,3392000
200.4,5,2,12.0,4641000
112.9,3,4,7.0,2960000
88.1,2,1,21.0,2035000
64.8,4,3,15.0,2206000
