id_usuario,edad,ciudad,plataforma,pedidos_mes,gasto_mensual,tiempo_entrega_min,calificacion
1019,35,Puebla,iOS,8,1522.46,36.1,3.5
1086,52,Monterrey,Android,6,1230.37,31.1,5.0
1158,28,Puebla,android,6,1104.53,25.3,3.6
1068,53,cdmx,iOS,7,1434.22,31.1,3.9
1076,40,puebla ,iOS,6,1260.5,43.8,5.0
1130,31,Ciudad de México,iOS,6,1147.13,29.6,3.6
1010,28,GDL,ios,9,2018.52,24.7,4.3
1084,24,Guadalajara,iOS,5,929.92,32.0,3.3
1011,50,Guadalajara,Android,5,779.37,24.0,5.0
1145,50,cdmx,android,4,993.02,45.4,4.0
1088,44,,android,7,553.65,47.9,5.0
1163,52,Ciudad de México,Android,10,2279.7,27.5,4.4
1133,32,,iOS,7,1146.78,-12.0,2.9
1009,29,Puebla,Android,4,465.63,25.1,3.8
1109,29,GDL,iOS,7,1041.68,35.4,4.1
1032,36,cdmx,Android,7,1634.27,26.6,4.3
1029,36,puebla ,iOS,10,2305.48,35.4,3.6
1039,54,puebla ,iOS,5,747.7,35.7,3.1
1056,48,CDMX,iOS,5,834.6,22.3,4.8
1112,32,GDL,Android,3,391.0,30.6,4.4
1091,45,Puebla,iOS,4,1010.89,28.1,3.5
1100,43,,iOS,3,335.76,28.1,4.6
1178,25,Puebla,iOS,5,1050.72,28.9,
1074,36,cdmx,Android,6,566.66,22.8,3.7
1059,37,puebla ,Android,7,936.27,30.4,4.5
1121,40,Monterrey,Android,4,522.26,22.7,3.7
1044,49,Ciudad de México,Android,8,1034.9,29.1,4.9
1159,23,,Android,7,844.68,27.8,5.0
1161,25,GDL,Android,5,993.59,28.7,4.0
1036,43,Monterrey,Android,4,861.27,26.9,3.8
1144,36,CDMX,Android,8,1678.88,33.1,5.0
1164,27,Monterrey,android,5,915.95,30.7,4.3
1114,32,Ciudad de México,ios,6,763.0,30.6,4.7
1137,53,Puebla,Android,7,1219.49,25.0,4.7
1052,53,Guadalajara,Android,10,1200.99,40.2,4.4
1177,33,CDMX,Android,6,963.03,39.0,3.6
1061,36,Monterrey,Android,5,967.14,32.9,3.0
1048,34,CDMX,ios,7,802.16,18.2,5.0
1030,39,puebla ,iOS,9,1815.15,38.1,3.5
1176,54,Puebla,iOS,6,956.58,14.8,3.5
1013,18,GDL,Android,2,374.6,28.6,5.0
1095,38,Ciudad de México,Android,3,726.55,26.5,5.0
1096,44,Ciudad de México,Android,4,716.61,140.0,4.3
1055,51,GDL,Android,10,1713.29,43.3,4.1
1075,18,Monterrey,iOS,5,843.4,23.3,3.9
1140,18,Monterrey,Android,4,792.52,24.7,5.0
1080,37,cdmx,iOS,3,404.74,24.7,3.7
1099,50,Puebla,Android,7,643.22,38.6,5.0
1124,38,GDL,android,8,1594.57,30.2,3.0
1143,29,Guadalajara,android,10,1422.68,26.0,4.4
1117,54,Ciudad de México,ios,5,749.58,18.5,4.8
1085,36,Puebla,Android,4,534.17,32.4,5.0
1001,41,CDMX,Android,2,488.75,24.7,
1113,48,puebla ,Android,4,675.36,15.8,5.0
1155,51,Puebla,iOS,10,3900.0,27.9,4.5
1116,39,Monterrey,ios,5,1226.5,28.4,4.5
1018,22,cdmx,iOS,8,1531.93,45.2,3.3
1099,50,Puebla,Android,7,643.22,38.6,5.0
1054,47,Puebla,iOS,6,1299.03,31.1,3.7
1175,31,Guadalajara,Android,9,,30.1,
1028,35,Guadalajara,android,4,834.74,45.6,4.1
1127,23,puebla ,iOS,6,999.76,27.8,4.1
1049,19,Monterrey,Android,6,1123.74,38.1,5.0
1094,27,,iOS,6,1461.57,30.9,3.9
1020,48,GDL,ios,4,493.97,46.3,4.1
1037,41,CDMX,Android,6,1179.84,30.8,3.7
1079,23,CDMX,android,5,1422.66,34.7,4.1
1123,41,Guadalajara,Android,3,823.49,22.0,3.7
1033,54,GDL,ios,6,783.7,35.3,4.7
1007,26,CDMX,Android,8,1421.56,31.7,4.1
1062,32,cdmx,iOS,10,4200.0,28.3,4.2
1035,47,Monterrey,Android,3,573.46,26.5,3.7
1054,47,Puebla,iOS,6,1299.03,31.1,3.7
1097,36,Guadalajara,Android,8,1055.21,18.2,3.9
1110,26,cdmx,iOS,3,499.57,25.0,3.8
1104,22,CDMX,Android,7,1229.48,32.2,4.0
1069,43,GDL,Android,9,1825.87,10.8,4.8
1090,19,GDL,Android,4,833.3,22.7,4.2
1129,34,Guadalajara,Android,9,1724.76,28.8,3.5
1060,27,Monterrey,iOS,6,763.93,28.6,4.5
1002,43,GDL,ios,8,895.32,34.3,4.5
1066,21,Guadalajara,Android,5,,21.7,2.9
1150,49,Monterrey,iOS,8,1919.79,34.2,4.1
1081,27,Puebla,Android,7,1527.95,31.5,5.0
1026,54,puebla ,iOS,6,1292.0,22.2,3.4
1142,18,Guadalajara,iOS,8,1179.75,35.3,4.4
1167,24,cdmx,iOS,5,951.87,48.5,3.1
1093,21,CDMX,iOS,7,1670.9,37.3,4.9
1172,39,GDL,iOS,9,1811.04,20.5,3.6
1148,37,Ciudad de México,Android,8,1908.8,31.5,5.0
1166,19,Puebla,Android,2,302.74,33.5,4.6
1119,39,Monterrey,Android,6,864.64,31.7,4.9
1149,22,Monterrey,Android,5,597.18,24.5,3.8
1138,53,puebla ,ios,3,425.08,25.1,
1169,50,Guadalajara,Android,4,519.5,43.6,4.1
1107,32,Ciudad de México,Android,6,1069.23,29.1,4.4
1147,42,,Android,2,332.05,26.8,3.9
1021,29,Guadalajara,iOS,7,1660.72,38.4,4.1
1000,52,Guadalajara,Android,5,893.47,27.4,4.1
1131,26,puebla ,Android,5,1021.46,33.8,4.1
1152,35,Ciudad de México,Android,4,275.15,25.3,4.5
1106,42,CDMX,iOS,5,1159.53,37.5,4.9
