id_estudiante,edad,carrera,ciudad,semestre,horas_estudio,asistencia,horas_sueno,salario,promedio
28,24,Ciencias de la Computación,CDMX,9,5.9,87.8,4.6,4115.0,8.19
29,22,MAC,CDMX,4,11.3,87.8,8.2,3064.0,9.58
30,21,Física,Querétaro,4,13.4,88.2,8.1,5270.0,9.87
31,21,MAC,Querétaro,9,18.0,74.6,6.2,5290.0,10.0
32,19,MAC,Puebla,6,21.7,83.2,7.0,,10.0
33,18,MAC,CDMX,6,11.7,83.2,3.4,2642.0,8.4
34,22,MAC,Querétaro,3,6.0,89.6,5.0,8658.0,7.77
35,25,Física,Puebla,2,1.5,97.0,6.1,5088.0,8.11
36,18,Ciencias de la Computación,Toluca,2,11.1,72.3,5.1,3182.0,8.86
37,24,MAC,CDMX,3,6.7,83.5,7.4,6149.0,9.07
38,24,Actuaría,Querétaro,2,8.3,100.0,9.1,4304.0,9.5
39,20,Física,Toluca,7,7.6,76.1,5.0,4045.0,8.24
40,23,Ciencias de la Computación,CDMX,1,9.4,75.1,5.4,5512.0,7.9
41,19,Física,Naucalpan,6,14.3,87.4,6.8,2175.0,9.21
42,24,MAC,Toluca,9,10.6,95.1,8.6,5135.0,9.24
43,23,Física,CDMX,7,9.4,85.1,4.9,7943.0,8.55
44,20,MAC,Naucalpan,4,5.9,100.0,6.8,5339.0,8.26
45,18,Ciencias de la Computación,Toluca,1,3.3,95.3,8.9,3823.0,8.4
46,25,Actuaría,Querétaro,8,45.0,95.1,4.4,3587.0,8.37
47,21,Física,CDMX,1,9.8,91.6,4.8,3761.0,8.48
48,25,MAC,Toluca,7,17.1,100.0,5.9,4043.0,10.0
49,23,Actuaría,Querétaro,7,10.5,82.5,5.8,,8.59
50,24,Ciencias de la Computación,Querétaro,2,13.9,61.0,7.6,6149.0,9.09
51,24,Física,Querétaro,7,8.0,100.0,6.8,1380.0,8.94
52,19,Actuaría,CDMX,2,5.3,79.5,4.2,6052.0,7.47
53,20,Ciencias de la Computación,Querétaro,3,6.1,86.3,7.2,3817.0,8.15
54,21,Ciencias de la Computación,Querétaro,8,7.1,100.0,5.7,,9.36
55,21,MAC,Naucalpan,9,18.5,65.8,8.2,2471.0,10.0
56,18,Actuaría,Toluca,3,6.7,70.0,5.7,6892.0,7.08
57,22,Actuaría,Toluca,9,13.4,65.8,5.7,6742.0,7.95
58,19,Física,Toluca,9,6.4,75.5,7.2,,8.28
59,23,MAC,Naucalpan,7,13.7,90.3,7.5,1773.0,9.39
60,23,MAC,Querétaro,2,11.5,91.3,7.1,5992.0,9.05
61,25,Ciencias de la Computación,Querétaro,3,9.4,88.3,4.3,5229.0,9.27
62,23,Ciencias de la Computación,Naucalpan,7,9.8,68.0,7.2,1611.0,7.22
63,20,Ciencias de la Computación,,9,7.4,57.3,5.2,,8.21
64,25,Ciencias de la Computación,Naucalpan,8,11.8,85.7,6.8,,9.82
65,21,Física,Puebla,4,8.2,79.3,4.6,5501.0,7.84
66,20,Ciencias de la Computación,Toluca,3,5.1,90.5,7.1,25000.0,8.13
67,25,Ciencias de la Computación,Toluca,9,4.9,93.4,5.5,5024.0,7.89
68,20,Actuaría,CDMX,3,10.7,86.7,4.8,7153.0,8.38
69,18,Actuaría,Puebla,4,16.3,94.1,7.4,6707.0,9.57
70,21,MAC,Naucalpan,9,10.6,87.8,6.8,0.0,9.64
71,24,Física,Naucalpan,6,9.5,91.4,5.7,3929.0,9.71
72,19,MAC,CDMX,3,11.1,76.5,8.4,4204.0,8.73
73,21,MAC,Querétaro,1,15.2,82.8,5.9,1346.0,10.0
74,19,Actuaría,CDMX,4,10.9,87.4,6.5,4670.0,8.96
75,23,Actuaría,Puebla,9,8.4,94.8,6.8,6748.0,9.65
76,21,MAC,Querétaro,4,14.4,80.3,5.7,2544.0,9.17
77,20,Ciencias de la Computación,CDMX,7,11.7,91.3,7.1,5106.0,9.19
78,19,Ciencias de la Computación,Toluca,3,16.1,81.8,5.8,2852.0,9.63
79,22,MAC,Toluca,7,10.7,83.6,6.0,3291.0,10.0
80,23,MAC,Naucalpan,7,5.1,95.0,8.3,7159.0,8.88
81,25,MAC,Puebla,6,4.5,61.1,5.1,3523.0,7.36
82,21,Ciencias de la Computación,Toluca,7,16.6,69.4,3.4,5332.0,9.69
83,19,Ciencias de la Computación,Toluca,6,16.9,67.2,8.6,1132.0,9.29
84,24,MAC,Toluca,4,9.3,57.0,9.8,,8.22
85,23,Ciencias de la Computación,Querétaro,7,8.5,76.9,6.0,,8.93
86,23,MAC,Puebla,8,15.8,94.0,4.0,4172.0,9.52
87,18,Actuaría,Naucalpan,8,5.6,81.6,6.1,5536.0,8.34
88,20,Ciencias de la Computación,Querétaro,2,6.4,87.4,6.1,1962.0,8.39
89,24,MAC,,7,12.6,98.1,6.3,6629.0,9.47
90,24,MAC,Querétaro,1,8.4,100.0,5.1,3917.0,8.98
91,21,Actuaría,Puebla,6,10.0,84.2,7.3,4133.0,7.86
92,24,Física,Naucalpan,6,9.3,100.0,7.2,3615.0,9.31
93,24,Ciencias de la Computación,Puebla,4,11.4,86.1,4.6,3455.0,8.4
94,21,Ciencias de la Computación,Naucalpan,9,15.6,75.0,7.4,5750.0,8.65
95,25,MAC,Naucalpan,8,10.4,77.9,9.2,4961.0,8.85
96,20,MAC,Toluca,1,12.6,67.2,6.7,5673.0,8.9
97,19,Ciencias de la Computación,Querétaro,2,1.8,74.3,6.1,4484.0,7.29
98,23,MAC,Toluca,2,9.8,80.7,6.3,5424.0,9.12
99,23,Ciencias de la Computación,Naucalpan,9,6.6,94.6,7.3,3746.0,7.9
100,19,Física,Toluca,5,5.1,100.0,4.3,8514.0,8.12
101,24,MAC,Naucalpan,7,6.5,68.4,6.7,1678.0,7.85
102,19,Ciencias de la Computación,Puebla,8,8.7,89.7,6.0,6770.0,8.67
103,24,MAC,Naucalpan,7,13.7,72.5,8.9,6962.0,9.32
104,18,Actuaría,Toluca,1,4.7,90.7,6.3,,7.74
105,24,Actuaría,Naucalpan,2,10.1,83.4,8.7,,9.26
106,24,Actuaría,Naucalpan,4,8.1,63.0,5.1,,8.2
107,24,Física,Querétaro,4,8.7,96.1,7.3,6248.0,7.9
108,23,Física,Naucalpan,7,14.0,77.7,6.9,4550.0,8.21
109,21,Ciencias de la Computación,CDMX,2,12.2,78.6,5.4,4109.0,8.91
110,23,Ciencias de la Computación,Naucalpan,4,15.3,72.2,6.7,4123.0,9.14
111,20,Actuaría,Toluca,3,9.4,77.1,8.1,5203.0,8.64
112,24,MAC,CDMX,2,7.2,90.1,6.1,7022.0,8.51
113,22,Física,Naucalpan,2,9.1,82.7,4.3,4826.0,8.66
114,21,Ciencias de la Computación,,2,11.0,88.9,6.5,2859.0,9.45
115,22,MAC,Toluca,6,10.7,89.3,5.3,5984.0,8.33
116,22,Actuaría,Puebla,4,5.7,100.0,6.1,6158.0,7.9
117,18,Actuaría,Querétaro,4,10.4,80.9,6.4,5678.0,8.23
118,19,MAC,Naucalpan,5,10.9,67.3,4.3,5842.0,8.68
119,19,Física,Querétaro,7,20.1,97.8,4.4,4012.0,10.0
120,18,Actuaría,Naucalpan,8,17.5,81.0,7.1,2828.0,9.45
121,21,Ciencias de la Computación,Puebla,5,6.6,98.4,5.8,2937.0,7.31
122,23,Ciencias de la Computación,Toluca,6,8.9,89.6,3.2,,7.72
123,23,Ciencias de la Computación,Puebla,7,4.1,83.4,7.5,,7.7
124,21,Actuaría,Puebla,7,7.6,89.2,6.9,4350.0,8.32
125,24,MAC,Toluca,2,11.3,100.0,5.6,3708.0,8.93
126,22,Física,Naucalpan,9,14.8,100.0,4.8,0.0,9.54
127,18,Ciencias de la Computación,Toluca,2,7.1,85.8,7.6,2255.0,8.36
128,24,Actuaría,,4,7.4,86.9,7.0,6518.0,9.07
129,22,Ciencias de la Computación,Querétaro,6,1.4,97.9,9.6,3304.0,7.78
130,23,MAC,Querétaro,4,9.3,74.9,7.0,5149.0,8.16
131,22,Ciencias de la Computación,CDMX,3,5.8,89.0,7.0,1997.0,8.62
132,22,MAC,Toluca,9,7.9,84.7,6.3,7090.0,7.77
133,18,MAC,,1,6.5,88.8,7.6,4241.0,8.69
134,22,Actuaría,Puebla,3,9.6,75.0,7.3,5022.0,8.69
135,24,MAC,Querétaro,9,3.0,65.9,8.1,8686.0,7.68
136,20,MAC,CDMX,7,4.1,60.1,5.8,7230.0,8.48
137,22,MAC,Puebla,1,18.5,71.6,5.9,3948.0,9.28
138,18,Actuaría,Querétaro,7,4.9,79.5,5.9,3432.0,9.11
139,20,Ciencias de la Computación,Querétaro,9,5.6,81.5,7.5,,8.16
140,21,MAC,Naucalpan,1,17.3,100.0,8.4,5418.0,9.36
141,25,Física,CDMX,4,21.6,98.3,5.9,4311.0,10.0
142,19,Ciencias de la Computación,Querétaro,5,5.3,73.5,5.9,3789.0,7.5
143,20,MAC,Querétaro,2,8.5,89.2,6.9,7141.0,8.33
144,21,MAC,Toluca,2,11.4,80.1,6.2,4294.0,9.08
145,25,Ciencias de la Computación,Querétaro,2,16.9,81.6,7.7,8639.0,9.91
146,24,Ciencias de la Computación,CDMX,2,6.1,87.2,3.6,4663.0,7.91
147,18,Actuaría,Puebla,4,9.0,92.4,5.4,7714.0,9.23
148,19,Ciencias de la Computación,CDMX,5,13.1,80.9,5.5,,9.64
149,24,MAC,Querétaro,3,11.7,97.8,3.5,6233.0,9.76
150,18,Actuaría,Puebla,3,8.5,71.3,5.2,3196.0,8.61
151,24,Física,Querétaro,2,9.5,85.1,5.3,2963.0,9.36
152,20,MAC,Toluca,8,4.5,100.0,6.2,5327.0,7.41
153,25,Ciencias de la Computación,CDMX,2,9.0,87.7,7.9,6279.0,8.63
154,20,Actuaría,CDMX,9,8.9,100.0,6.2,4572.0,8.44
155,21,Ciencias de la Computación,Naucalpan,5,10.9,86.1,5.2,2184.0,8.92
156,23,Actuaría,Puebla,8,7.8,92.0,6.4,2052.0,8.35
157,19,Actuaría,CDMX,6,11.9,84.3,7.9,1931.0,9.0
158,22,MAC,Querétaro,3,14.1,83.0,5.2,1318.0,10.0
159,22,MAC,Naucalpan,6,10.6,75.6,5.3,4697.0,8.59
160,24,Ciencias de la Computación,Toluca,3,11.4,90.2,7.2,6525.0,9.29
161,25,MAC,Naucalpan,2,10.2,74.8,6.2,4476.0,8.54
162,23,MAC,Toluca,3,10.0,93.0,7.3,,9.0
163,21,MAC,Toluca,3,7.1,98.0,6.5,4157.0,8.65
164,21,MAC,CDMX,2,11.3,89.4,7.4,4207.0,9.29
165,21,Ciencias de la Computación,Toluca,1,9.6,81.6,5.2,8273.0,9.22
166,24,Actuaría,Puebla,9,18.4,90.4,6.5,1877.0,10.0
167,20,Ciencias de la Computación,Querétaro,5,16.3,81.3,6.2,3797.0,9.64
168,19,MAC,Naucalpan,4,11.5,96.2,4.9,,9.36
169,20,Física,Querétaro,9,0.0,63.0,4.5,,7.42
170,18,Actuaría,Querétaro,3,5.6,81.0,7.4,5514.0,8.21
171,18,Actuaría,Querétaro,4,14.8,61.1,6.0,4706.0,9.46
172,18,Ciencias de la Computación,Naucalpan,8,11.1,67.1,5.2,5094.0,9.03
173,24,Ciencias de la Computación,Querétaro,6,11.9,100.0,6.4,,9.35
174,23,Ciencias de la Computación,Toluca,4,3.0,95.7,8.0,3043.0,8.64
175,23,MAC,CDMX,3,13.7,76.4,3.5,6081.0,9.21
176,21,MAC,Naucalpan,1,11.8,67.0,4.6,2029.0,9.25
177,23,Física,Puebla,1,5.6,49.4,5.3,,7.82
178,19,MAC,CDMX,2,8.1,78.5,8.4,4822.0,8.39
179,25,Física,Toluca,8,11.1,100.0,6.9,3391.0,9.34
180,22,Actuaría,Puebla,6,10.2,90.2,7.5,4459.0,7.49
181,25,Actuaría,CDMX,4,8.8,78.3,5.0,,8.67
182,19,Ciencias de la Computación,Toluca,8,9.6,90.6,5.0,2571.0,6.94
183,21,Física,Naucalpan,2,9.0,66.3,7.1,3863.0,7.57
184,23,MAC,Toluca,2,10.6,81.4,6.6,2513.0,9.05
185,21,MAC,Naucalpan,4,15.9,86.2,7.2,5081.0,9.8
186,21,Física,Querétaro,9,0.0,84.0,6.3,2430.0,6.99
187,19,Actuaría,CDMX,6,9.1,94.5,6.9,5782.0,8.5
188,21,MAC,Querétaro,8,10.7,89.1,6.7,2373.0,9.64
189,19,Actuaría,Puebla,3,11.2,93.0,7.5,3481.0,8.87
190,20,Ciencias de la Computación,,8,8.5,76.7,7.5,3376.0,9.67
191,23,Ciencias de la Computación,Querétaro,1,3.0,95.8,4.4,6885.0,8.02
192,23,Actuaría,CDMX,3,11.3,100.0,3.6,5095.0,9.24
193,22,Actuaría,Querétaro,5,16.9,73.4,7.8,4119.0,10.0
194,20,MAC,Toluca,1,3.9,74.3,8.0,5398.0,8.05
195,25,Actuaría,Querétaro,8,13.5,100.0,5.2,707.0,8.88
196,18,MAC,Querétaro,8,8.7,82.7,4.1,4422.0,8.43
197,20,Actuaría,Toluca,5,9.8,100.0,6.6,,8.99
198,18,Física,Naucalpan,3,5.8,79.7,7.7,4738.0,7.59
199,20,MAC,CDMX,1,8.7,100.0,8.8,4622.0,8.86
200,25,MAC,CDMX,6,15.2,86.6,7.2,,9.11
201,20,MAC,Naucalpan,5,12.3,88.1,6.0,6112.0,9.56
202,25,Ciencias de la Computación,Querétaro,7,16.9,100.0,5.3,905.0,9.81
203,21,Física,Toluca,6,14.7,80.7,6.5,1472.0,9.16
204,23,MAC,Toluca,2,11.8,73.7,6.1,4879.0,8.77
205,21,Ciencias de la Computación,Naucalpan,2,17.0,79.6,5.2,3213.0,9.61
206,20,Actuaría,Toluca,8,11.8,90.4,9.2,,9.54
207,24,Actuaría,Puebla,2,13.3,66.2,8.8,3933.0,8.53
208,25,Ciencias de la Computación,Querétaro,9,8.8,92.6,8.0,1018.0,8.32
209,20,MAC,Puebla,1,10.3,78.5,5.3,2218.0,9.23
210,24,MAC,Puebla,7,7.2,98.8,7.6,0.0,8.52
211,20,Actuaría,Querétaro,9,14.0,56.3,7.3,4079.0,8.18
212,23,MAC,Toluca,4,5.3,75.6,7.1,4161.0,8.35
213,24,Física,Querétaro,1,13.1,64.8,8.1,3736.0,9.18
214,21,MAC,Naucalpan,8,9.2,75.1,7.3,6442.0,7.83
215,23,MAC,CDMX,2,14.7,88.0,7.5,6657.0,9.57
216,20,MAC,Toluca,5,13.0,82.8,7.3,4193.0,9.53
217,18,Actuaría,CDMX,9,17.3,82.0,6.9,658.0,9.84
218,18,MAC,CDMX,7,12.9,83.1,4.2,5611.0,9.32
219,21,MAC,Querétaro,1,3.7,87.4,6.6,5500.0,4.8
220,25,Ciencias de la Computación,Puebla,8,9.7,72.9,5.8,5057.0,8.71
