ID_Transaccion,ID_Cliente,Region,Categoria,Unidades,Precio_Unitario,Ingresos,Total_Gastado,Fecha
100,1099,Sur,Deportes,9.0,654.84,5893.56,6380.71,2025-09-28
128,1121,Centro,Belleza,11.0,2335.31,25688.41,29094.75,2025-07-11
73,1067,Sur,Electronica,,1111.51,,20854.47,2025-09-01
323,1186,Centro,Ropa,6.0,156.43,938.58,1002.01,2025-08-25
243,1057,Centro,Ropa,,2287.54,,7191.98,2025-08-11
277,1087,Oeste,Ropa,4.0,1202.2,4808.8,5762.66,2025-09-08
96,1032,Este,Hogar,1.0,1537.13,1537.13,2169.26,2025-10-11
299,1167,Norte,Deportes,7.0,142.96,1000.72,1491.96,2025-03-13
250,1192,Norte,Hogar,8.0,1626.89,13015.12,15177.06,2025-01-02
43,1106,Este,Electronica,10.0,715.81,7158.1,8119.79,2025-07-31
139,1044,Norte,Hogar,2.0,379.7,759.4,934.25,2025-02-19
90,1074,Centro,Ropa,4.0,871.09,3484.36,5712.99,2025-06-12
14,1090,Centro,Belleza,8.0,175.65,1405.2,1591.66,2025-06-14
266,1025,Centro,Hogar,11.0,498.48,5483.28,8985.34,2025-02-13
37,1172,Norte,Belleza,8.0,1281.02,10248.16,10347.7,2025-10-09
72,1005,Sur,Deportes,1.0,1406.82,1406.82,1497.74,2025-07-21
70,1112,Centro,Deportes,3.0,2145.79,6437.37,10165.96,2025-02-17
91,1170,Centro,Hogar,4.0,819.26,3277.04,5603.54,2025-03-17
296,1089,Centro,Hogar,8.0,2158.7,17269.6,27078.75,2025-05-26
183,1044,Oeste,Electronica,1.0,616.61,616.61,821.25,2025-06-17
151,1101,Centro,Deportes,9.0,1498.55,13486.95,18480.35,2025-09-13
22,1110,Centro,Hogar,7.0,1256.23,8793.61,14508.03,2025-09-13
232,1183,Oeste,Ropa,6.0,314.14,1884.84,2900.41,2025-01-29
75,1030,Oeste,Belleza,9.0,1263.13,11368.17,19277.55,2025-10-27
156,1032,Oeste,Deportes,1.0,1687.71,1687.71,2052.89,2025-04-04
167,1192,Oeste,Deportes,3.0,1490.81,4472.43,7218.53,2025-01-20
82,1001,Oeste,Hogar,4.0,2224.93,8899.72,11147.89,2025-04-10
367,1034,Centro,Electronica,1.0,1688.28,1688.28,2929.05,2025-01-20
247,1102,Norte,Ropa,2.0,2086.39,4172.78,5391.85,2025-09-12
140,1167,Centro,Electronica,1.0,559.11,559.11,862.88,2025-06-29
320,1009,Centro,Deportes,1.0,1695.1,1695.1,2500.74,2025-06-18
236,1079,Centro,Hogar,8.0,628.61,5028.88,8466.19,2025-10-07
45,1105,Sur,Hogar,3.0,585.68,1757.04,2860.05,2025-03-29
125,1127,Oeste,Electronica,9.0,1425.22,12826.98,16200.78,2025-03-23
392,1198,Oeste,Electronica,3.0,1221.95,3665.85,5787.82,2025-06-10
283,1172,Norte,Hogar,,1541.55,,7434.71,2025-03-28
226,1166,Centro,Hogar,7.0,2347.69,16433.83,17191.11,2025-07-14
270,1109,Norte,Ropa,2.0,1288.26,2576.52,4177.44,2025-04-17
54,1010,Centro,Belleza,4.0,1749.22,6996.88,9571.94,2025-02-26
335,1159,Este,Deportes,3.0,557.91,1673.73,2943.28,2025-04-01
168,1104,Este,Electronica,3.0,1496.16,4488.48,5840.3,2025-07-27
377,1143,Sur,Deportes,7.0,336.38,2354.66,2760.74,2025-10-09
161,1158,Centro,Deportes,11.0,569.82,6268.02,8465.53,2025-10-11
26,1069,Centro,Ropa,10.0,1123.39,11233.9,13300.47,2025-05-20
301,1017,Sur,Deportes,5.0,265.71,1328.55,1434.31,2025-02-09
63,1195,Centro,Ropa,5.0,1831.46,9157.3,11798.74,2025-06-28
219,1152,Oeste,Deportes,4.0,161.98,647.92,846.94,2025-07-02
365,1037,Sur,Hogar,5.0,1845.17,9225.85,12628.2,2025-09-10
328,1113,Norte,Electronica,3.0,929.96,2789.88,4465.67,2025-06-16
217,1062,Oeste,Hogar,11.0,2063.07,22693.77,34005.64,2025-03-29
111,1186,Oeste,Deportes,1.0,949.27,949.27,1511.11,2025-06-18
160,1075,Norte,Hogar,3.0,468.14,1404.42,1890.91,2025-10-17
337,1101,Centro,Electronica,8.0,2071.82,16574.56,20899.36,2025-02-06
379,1152,Centro,Electronica,11.0,2114.48,23259.28,34382.41,2025-04-04
21,1070,Sur,Belleza,1.0,1221.37,1221.37,1600.35,2025-02-23
353,1124,Norte,Electronica,4.0,1340.76,5363.04,9590.68,2025-03-24
180,1189,Centro,Belleza,3.0,1723.3,5169.9,7342.43,2025-07-21
10,1078,Este,Electronica,4.0,1793.81,7175.24,9364.02,2025-03-03
263,1072,Este,Ropa,3.0,1356.66,4069.98,4993.38,2025-10-20
55,1131,Este,Deportes,6.0,2181.13,13086.78,14987.22,2025-01-08
195,1071,Este,Electronica,,426.08,,4157.37,2025-01-12
295,1144,Este,Ropa,2.0,1766.07,3532.14,5379.89,2025-04-14
69,1182,Norte,Belleza,7.0,216.22,1513.54,1786.34,2025-02-15
341,1130,Centro,Electronica,1.0,632.57,632.57,872.56,2025-05-05
190,1130,Centro,Hogar,5.0,2171.14,10855.7,14830.93,2025-09-18
61,1184,Sur,Hogar,,1841.47,,18893.19,2025-04-23
35,1193,Norte,Electronica,,502.38,,7750.7,2025-02-17
237,1158,Centro,Ropa,5.0,1407.65,7038.25,7232.34,2025-06-11
189,1116,Sur,Deportes,7.0,1159.93,8119.51,12156.26,2025-02-08
223,1056,Centro,Ropa,3.0,750.82,2252.46,2935.63,2025-05-26
89,1197,Centro,Electronica,11.0,1198.59,13184.49,14890.91,2025-03-24
282,1091,Norte,Electronica,5.0,1330.11,6650.55,9801.2,2025-08-16
318,1047,Centro,Ropa,,2380.61,,10269.61,2025-09-27
269,1060,Centro,Ropa,10.0,1394.81,13948.1,15661.8,2025-03-18
102,1107,Sur,Deportes,11.0,100.85,1109.35,1421.22,2025-01-30
384,1099,Oeste,Belleza,10.0,2030.08,20300.8,27544.64,2025-08-01
97,1086,Oeste,Hogar,3.0,403.76,1211.28,1462.98,2025-02-07
339,1172,Oeste,Electronica,11.0,2203.49,24238.39,31863.79,2025-06-03
334,1125,Centro,Electronica,5.0,1276.11,6380.55,9999.31,2025-09-21
255,1025,Oeste,Electronica,8.0,1971.15,15769.2,19826.1,2025-10-22
312,1103,Centro,Electronica,4.0,381.07,1524.28,2193.69,2025-03-27
396,1095,Sur,Electronica,8.0,2059.16,16473.28,24524.87,2025-02-01
324,1012,Centro,Belleza,3.0,428.86,1286.58,2083.66,2025-03-31
179,1102,Norte,Belleza,6.0,2192.63,13155.78,17517.47,2025-07-17
265,1125,Este,Deportes,9.0,2427.24,21845.16,27514.51,2025-07-22
117,1023,Este,Belleza,6.0,379.9,2279.4,3518.45,2025-01-05
305,1172,Sur,Deportes,10.0,889.15,8891.5,9323.32,2025-06-04
274,1179,Centro,Deportes,11.0,1756.51,19321.61,24521.15,2025-03-26
31,1061,Centro,Belleza,7.0,1010.93,7076.51,8489.95,2025-04-07
325,1029,Norte,Belleza,8.0,1566.36,12530.88,18445.31,2025-02-09
311,1076,Norte,Ropa,10.0,1659.21,16592.1,20700.88,2025-03-14
38,1042,Norte,Hogar,9.0,2304.57,20741.13,29974.85,2025-10-13
71,1016,Sur,Electronica,3.0,647.98,1943.94,3246.2,2025-08-17
39,1156,Sur,Belleza,,158.87,,895.92,2025-03-08
317,1008,Centro,Belleza,6.0,2360.86,14165.16,25262.07,2025-07-17
124,1112,Sur,Electronica,9.0,678.39,6105.51,7301.04,2025-01-20
400,1013,Centro,Ropa,3.0,2145.83,6437.49,7024.11,2025-01-11
310,1043,Sur,Belleza,2.0,2241.38,4482.76,7430.2,2025-10-14
144,1060,Este,Belleza,9.0,1836.2,16525.8,26296.84,2025-02-07
309,1163,Este,Belleza,6.0,1937.74,11626.44,18982.4,2025-05-15
362,1036,Oeste,Hogar,6.0,2168.28,13009.68,17665.94,2025-01-22
332,1107,Sur,Hogar,7.0,1950.41,13652.87,21278.71,2025-08-29
218,1187,Este,Electronica,2.0,1286.61,2573.22,3437.99,2025-02-28
52,1133,Este,Electronica,,415.36,,5790.13,2025-07-13
230,1106,Sur,Ropa,1.0,1095.83,1095.83,1226.61,2025-06-16
176,1068,Este,Hogar,6.0,324.89,1949.34,2622.53,2025-07-01
333,1132,Este,Hogar,4.0,736.15,2944.6,3600.91,2025-07-03
84,1157,Centro,Ropa,3.0,1738.22,5214.66,9156.13,2025-05-17
260,1195,Sur,Ropa,6.0,1137.51,6825.06,8039.82,2025-07-30
146,1174,Norte,Belleza,7.0,1754.27,12279.89,14441.09,2025-02-25
182,1080,Norte,Deportes,6.0,1513.31,9079.86,9837.12,2025-08-02
157,1125,Sur,Belleza,8.0,1137.85,9102.8,11809.69,2025-08-21
238,1089,Este,Belleza,2.0,600.62,1201.24,1882.45,2025-08-17
257,1108,Centro,Electronica,8.0,110.0,880.0,1052.22,2025-07-08
153,1086,Oeste,Electronica,11.0,1767.4,19441.4,30077.32,2025-08-23
208,1008,Sur,Belleza,2.0,1552.96,3105.92,3421.13,2025-01-25
79,1040,Oeste,Hogar,10.0,2090.3,20903.0,31819.17,2025-10-03
141,1013,Este,Belleza,8.0,1932.08,15456.64,16125.04,2025-04-01
306,1041,Centro,Electronica,9.0,481.7,4335.3,6238.97,2025-02-19
281,1091,Norte,Hogar,9.0,1887.09,16983.81,18352.86,2025-01-11
253,1134,Oeste,Ropa,6.0,2398.58,14391.48,22068.85,2025-03-05
373,1153,Este,Belleza,1.0,1175.95,1175.95,1754.15,2025-04-14
196,1085,Centro,Ropa,11.0,547.12,6018.32,7950.47,2025-06-02
105,1015,Sur,Ropa,1.0,2468.99,2468.99,3825.65,2025-03-24
78,1099,Oeste,Hogar,4.0,443.31,1773.24,2518.13,2025-02-18
380,1037,Oeste,Hogar,7.0,1039.66,7277.62,9850.41,2025-06-28
391,1055,Oeste,Ropa,,1044.72,,13812.13,2025-05-05
101,1042,Centro,Deportes,7.0,444.45,3111.15,4698.56,2025-06-11
354,1189,Norte,Electronica,1.0,1117.19,1117.19,1748.27,2025-06-19
268,1159,Centro,Hogar,1.0,791.38,791.38,1345.53,2025-08-13
200,1007,Este,Ropa,11.0,648.31,7131.41,7665.22,2025-03-19
374,1144,Oeste,Ropa,8.0,2323.22,18585.76,25953.67,2025-10-13
134,1083,Norte,Electronica,9.0,339.63,3056.67,4422.82,2025-09-15
327,1029,Centro,Deportes,3.0,1691.85,5075.55,5398.38,2025-09-22
351,1081,Centro,Ropa,11.0,2228.38,24512.18,29490.92,2025-08-31
299,1167,Norte,Deportes,7.0,142.96,1000.72,1491.96,2025-03-13
135,1025,Norte,Ropa,1.0,652.82,652.82,800.38,2025-03-30
273,1193,Sur,Deportes,8.0,770.24,6161.92,8714.82,2025-09-03
95,1134,Este,Ropa,,2190.49,,23289.6,2025-08-08
132,1073,Sur,Belleza,11.0,1380.6,15186.6,15671.92,2025-08-02
234,1113,Este,Belleza,3.0,2104.67,6314.01,7096.87,2025-02-16
258,1166,Este,Electronica,11.0,1313.56,14449.16,14578.47,2025-04-16
6,1185,Centro,Ropa,8.0,1929.39,15435.12,23725.68,2025-08-17
336,1040,Centro,Ropa,4.0,2163.34,8653.36,9287.2,2025-05-22
369,1032,Sur,Deportes,8.0,2483.3,19866.4,33956.57,2025-05-30
27,1014,Norte,Electronica,5.0,1527.57,7637.85,8678.99,2025-09-28
372,1045,Este,Belleza,6.0,1881.88,11291.28,18362.68,2025-08-18
92,1113,Este,Deportes,4.0,687.06,2748.24,2855.7,2025-02-08
116,1074,Norte,Electronica,10.0,538.57,5385.7,6907.87,2025-04-23
76,1170,Centro,Belleza,3.0,1291.6,3874.8,6039.82,2025-03-23
289,1022,Centro,Deportes,6.0,118.24,709.44,975.7,2025-10-22
197,1026,Oeste,Belleza,1.0,983.59,983.59,1399.88,2025-07-07
290,1017,Este,Belleza,8.0,1429.35,11434.8,17388.33,2025-07-23
397,1184,Centro,Hogar,6.0,1884.47,11306.82,16813.76,2025-07-10
119,1077,Oeste,Hogar,2.0,1523.4,3046.8,5479.92,2025-06-28
78,1099,Oeste,Hogar,4.0,443.31,1773.24,2518.13,2025-02-18
382,1021,Centro,Ropa,9.0,675.27,6077.43,10369.6,2025-07-12
207,1132,Centro,Hogar,7.0,348.19,2437.33,2648.52,2025-10-25
74,1148,Este,Hogar,2.0,2005.17,4010.34,6568.99,2025-03-23
9,1146,Norte,Hogar,6.0,2432.41,14594.46,25670.45,2025-10-06
46,1165,Centro,Deportes,7.0,559.44,3916.08,4344.23,2025-07-12
213,1104,Centro,Deportes,4.0,2218.47,8873.88,15878.55,2025-02-13
7,1160,Oeste,Hogar,5.0,563.5,2817.5,3392.55,2025-06-11
28,1075,Este,Electronica,4.0,2253.45,9013.8,13649.08,2025-01-15
4,1126,Norte,Deportes,2.0,306.47,612.94,975.39,2025-08-23
278,1140,Oeste,Deportes,4.0,155.01,620.04,1073.42,2025-03-24
272,1108,Este,Electronica,11.0,2379.0,26169.0,45290.82,2025-01-04
149,1188,Centro,Electronica,4.0,2084.24,8336.96,9817.3,2025-01-14
42,1151,Este,Belleza,9.0,274.27,2468.43,3278.75,2025-10-15
342,1172,Centro,Hogar,5.0,2335.01,11675.05,17005.7,2025-03-23
17,1076,Sur,Electronica,8.0,91.75,734.0,964.95,2025-04-28
158,1133,Este,Deportes,5.0,1909.81,9549.05,9897.88,2025-10-22
164,1008,Centro,Electronica,5.0,1463.2,7316.0,10756.4,2025-08-03
8,1186,Centro,Ropa,3.0,787.39,2362.17,3328.1,2025-04-05
80,1093,Centro,Ropa,1.0,205.23,205.23,356.13,2025-04-10
147,1013,Norte,Ropa,6.0,1608.54,9651.24,15924.67,2025-05-25
165,1116,Sur,Deportes,1.0,198.76,198.76,235.74,2025-01-24
152,1092,Centro,Electronica,4.0,860.36,3441.44,5716.67,2025-01-18
26,1069,Centro,Ropa,10.0,1123.39,11233.9,13300.47,2025-05-20
179,1102,Norte,Belleza,6.0,2192.63,13155.78,17517.47,2025-07-17
345,1025,Centro,Hogar,3.0,1436.1,4308.3,5228.32,2025-07-22
259,1025,Sur,Hogar,9.0,1307.4,11766.6,21053.99,2025-02-22
143,1141,Sur,Deportes,9.0,2258.67,20328.03,36277.52,2025-08-31
175,1098,Sur,Deportes,9.0,1547.0,13923.0,21284.01,2025-08-29
288,1078,Este,Ropa,3.0,2489.24,7467.72,8562.89,2025-08-31
77,1047,Centro,Belleza,4.0,2473.6,9894.4,15230.67,2025-07-15
184,1161,Oeste,Ropa,2.0,1856.32,3712.64,4080.51,2025-10-23
330,1182,Centro,Hogar,3.0,2062.61,6187.83,10590.11,2025-04-14
178,1019,Norte,Ropa,5.0,1356.31,6781.55,9265.75,2025-10-23
280,1096,Norte,Electronica,5.0,1721.51,8607.55,15285.59,2025-09-01
51,1020,Centro,Ropa,8.0,2080.76,16646.08,24037.5,2025-08-02
94,1054,Sur,Electronica,1.0,442.86,442.86,568.53,2025-07-26
169,1186,Sur,Deportes,,1670.75,,21789.73,2025-03-11
245,1158,Sur,Electronica,3.0,2290.51,6871.53,10631.63,2025-06-07
202,1106,Sur,Belleza,10.0,898.7,8987.0,11352.92,2025-05-28
83,1113,Este,Deportes,4.0,1689.82,6759.28,7151.07,2025-08-26
93,1011,Norte,Ropa,4.0,963.41,3853.64,6178.43,2025-07-07
159,1022,Este,Hogar,6.0,2494.36,14966.16,24388.15,2025-02-06
86,1066,Norte,Ropa,5.0,1092.95,5464.75,8417.22,2025-02-27
192,1174,Norte,Belleza,10.0,1337.8,13378.0,16048.76,2025-04-20
154,1138,Centro,Belleza,5.0,2395.87,11979.35,18143.13,2025-10-02
155,1115,Centro,Electronica,10.0,1501.8,15018.0,22825.29,2025-05-20
131,1186,Este,Deportes,11.0,1088.93,11978.23,18623.8,2025-01-21
284,1077,Norte,Ropa,3.0,1038.48,3115.44,4468.64,2025-07-28
271,1077,Oeste,Hogar,7.0,1637.85,11464.95,12821.91,2025-07-03
11,1154,Centro,Hogar,5.0,1557.46,7787.3,13243.01,2025-05-20
87,1176,Centro,Deportes,5.0,967.13,4835.65,8089.54,2025-07-25
36,1077,Oeste,Electronica,,1929.06,,10374.67,2025-02-20
214,1180,Centro,Belleza,3.0,1343.58,4030.74,4315.92,2025-02-12
29,1106,Norte,Ropa,9.0,2487.92,22391.28,39802.64,2025-03-21
394,1097,Este,Ropa,10.0,1292.38,12923.8,22299.32,2025-04-08
95,1134,Este,Ropa,,2190.49,,23289.6,2025-08-08
108,1171,Norte,Electronica,6.0,253.91,1523.46,1993.19,2025-08-17
199,1072,Este,Deportes,6.0,1302.47,7814.82,8826.8,2025-08-16
305,1172,Sur,Deportes,10.0,889.15,8891.5,9323.32,2025-06-04
294,1155,Centro,Hogar,1.0,1580.2,1580.2,2616.21,2025-07-14
30,1018,Norte,Deportes,1.0,270.56,270.56,324.08,2025-01-26
12,1065,Este,Electronica,,824.46,,5901.67,2025-05-17
143,1141,Sur,Deportes,9.0,2258.67,20328.03,36277.52,2025-08-31
300,1122,Este,Hogar,8.0,2103.6,16828.8,20574.45,2025-02-03
308,1195,Norte,Deportes,10.0,1053.74,10537.4,15683.08,2025-02-09
68,1136,Sur,Ropa,11.0,137.49,1512.39,1552.24,2025-07-09
315,1174,Centro,Ropa,10.0,294.74,2947.4,4492.11,2025-08-04
33,1100,Oeste,Deportes,7.0,932.13,6524.91,11016.99,2025-07-05
264,1188,Centro,Hogar,6.0,988.17,5929.02,7913.0,2025-06-27
20,1131,Oeste,Deportes,10.0,1910.74,19107.4,27250.83,2025-10-02
287,1038,Norte,Ropa,,1665.09,,24294.93,2025-08-25
122,1096,Este,Hogar,9.0,2239.95,20159.55,29769.33,2025-10-26
302,1007,Norte,Ropa,2.0,551.0,1102.0,1636.47,2025-06-05
137,1176,Oeste,Hogar,4.0,243.05,972.2,1310.22,2025-04-12
293,1113,Centro,Belleza,7.0,1399.4,9795.8,13758.98,2025-03-30
203,1073,Norte,Deportes,2.0,2054.07,4108.14,5910.46,2025-09-05
85,1187,Norte,Deportes,11.0,717.23,7889.53,10699.88,2025-01-19
316,1195,Sur,Deportes,6.0,1064.59,6387.54,7461.09,2025-04-07
114,1175,Centro,Ropa,9.0,2478.81,22309.29,32654.82,2025-08-22
388,1101,Este,Hogar,1.0,1210.8,1210.8,1645.19,2025-09-03
44,1051,Norte,Electronica,11.0,2466.19,27128.09,43205.61,2025-08-17
321,1071,Norte,Hogar,6.0,1185.32,7111.92,8505.03,2025-08-02
347,1022,Oeste,Electronica,4.0,778.3,3113.2,4613.56,2025-03-24
358,1154,Este,Belleza,8.0,560.09,4480.72,6758.87,2025-01-24
326,1039,Centro,Belleza,5.0,642.78,3213.9,3498.65,2025-02-04
227,1187,Oeste,Deportes,2.0,1368.45,2736.9,4757.53,2025-08-16
292,1015,Oeste,Ropa,1.0,2080.8,2080.8,3629.9,2025-02-28
366,1130,Centro,Hogar,7.0,2012.97,14090.79,21333.75,2025-04-12
112,1118,Centro,Deportes,9.0,106.46,958.14,1715.8,2025-01-18
34,1144,Sur,Electronica,2.0,775.68,1551.36,1832.34,2025-03-19
174,1037,Centro,Hogar,4.0,1380.77,5523.08,9674.43,2025-01-23
1,1087,Centro,Hogar,8.0,900.44,7203.52,8088.07,2025-03-16
136,1023,Centro,Belleza,2.0,1356.88,2713.76,4009.26,2025-02-25
371,1161,Centro,Belleza,1.0,2049.68,2049.68,3112.97,2025-10-21
360,1108,Centro,Ropa,11.0,1919.16,21110.76,36720.57,2025-07-28
226,1166,Centro,Hogar,7.0,2347.69,16433.83,17191.11,2025-07-14
357,1065,Este,Deportes,11.0,2071.5,22786.5,26146.32,2025-01-02
191,1198,Este,Hogar,6.0,1830.44,10982.64,11160.66,2025-08-10
386,1103,Norte,Ropa,10.0,249.68,2496.8,2860.22,2025-07-31
286,1072,Norte,Hogar,10.0,321.88,3218.8,3948.74,2025-02-11
322,1030,Centro,Deportes,5.0,1903.37,9516.85,15194.03,2025-10-03
244,1062,Norte,Deportes,3.0,445.4,1336.2,1966.66,2025-07-14
267,1184,Centro,Hogar,11.0,853.59,9389.49,16583.29,2025-09-13
390,1087,Centro,Belleza,7.0,1162.41,8136.87,14412.11,2025-05-26
49,1036,Sur,Deportes,5.0,1484.66,7423.3,7439.38,2025-06-23
205,1095,Centro,Hogar,11.0,1949.46,21444.06,21859.72,2025-01-08
103,1048,Centro,Hogar,4.0,194.35,777.4,912.13,2025-07-27
67,1187,Sur,Belleza,1.0,295.21,295.21,412.59,2025-05-23
298,1186,Centro,Electronica,4.0,2321.36,9285.44,15785.99,2025-05-12
227,1187,Oeste,Deportes,2.0,1368.45,2736.9,4757.53,2025-08-16
350,1045,Oeste,Belleza,11.0,1281.69,14098.59,14825.6,2025-01-31
254,1173,Este,Electronica,2.0,1497.16,2994.32,4124.48,2025-02-02
216,1009,Este,Electronica,,592.41,,7580.07,2025-03-28
338,1160,Centro,Belleza,6.0,2263.2,13579.2,16128.53,2025-10-19
364,1064,Centro,Electronica,2.0,2213.51,4427.02,7881.53,2025-05-24
162,1123,Norte,Hogar,,1385.44,,8286.91,2025-02-12
88,1175,Centro,Electronica,5.0,1341.89,6709.45,12028.7,2025-02-27
65,1123,Sur,Deportes,4.0,2167.37,8669.48,10100.1,2025-01-02
211,1109,Sur,Electronica,4.0,203.28,813.12,1214.91,2025-02-13
158,1133,Este,Deportes,5.0,1909.81,9549.05,9897.88,2025-10-22
204,1198,Sur,Ropa,2.0,1007.69,2015.38,2373.03,2025-02-22
15,1193,Oeste,Belleza,,1842.93,,18308.33,2025-08-28
113,1192,Este,Deportes,1.0,1520.36,1520.36,2550.07,2025-01-22
393,1019,Oeste,Deportes,2.0,1488.44,2976.88,5046.63,2025-02-12
344,1189,Norte,Belleza,7.0,1102.44,7717.08,8589.35,2025-05-27
363,1123,Norte,Electronica,1.0,784.34,784.34,1254.64,2025-01-05
368,1134,Este,Belleza,2.0,2128.15,4256.3,5103.05,2025-03-10
225,1000,Norte,Hogar,4.0,2355.65,9422.6,16718.76,2025-03-06
210,1141,Oeste,Ropa,10.0,1053.17,10531.7,18799.31,2025-08-07
177,1037,Sur,Hogar,1.0,741.04,741.04,1184.35,2025-03-31
307,1056,Oeste,Electronica,5.0,1171.64,5858.2,6609.63,2025-01-05
171,1089,Sur,Electronica,11.0,1632.54,17957.94,29667.16,2025-01-20
170,1042,Sur,Deportes,10.0,1822.92,18229.2,24519.27,2025-01-29
148,1004,Centro,Belleza,10.0,1912.79,19127.9,30395.83,2025-04-10
62,1115,Norte,Belleza,2.0,777.11,1554.22,2505.17,2025-08-02
231,1013,Oeste,Hogar,6.0,369.07,2214.42,3159.34,2025-06-23
47,1194,Norte,Ropa,2.0,1468.21,2936.42,3860.7,2025-01-18
241,1034,Este,Belleza,,970.79,,3287.59,2025-09-01
115,1115,Norte,Electronica,9.0,703.43,6330.87,9505.25,2025-01-12
248,1057,Sur,Belleza,7.0,1607.71,11253.97,17531.73,2025-05-06
376,1033,Sur,Hogar,10.0,1448.43,14484.3,16241.69,2025-02-12
109,1170,Norte,Belleza,11.0,1512.96,16642.56,27771.28,2025-06-21
220,1167,Oeste,Deportes,7.0,1732.9,12130.3,21167.31,2025-01-09
291,1144,Centro,Electronica,7.0,1897.44,13282.08,14644.1,2025-05-20
